resource_id,original_id,split,subject,topic,skill,grade,category,need_image_probability,gate_prediction,completion_decision,known_human_label,known_target,question,choices,hint,lecture,solution,review_bucket
r015246,r015246,validation,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",grade5,Classification,0.9090315493868931,1,need_completion_accidental_missing,,,Select the fish.,red howler | American bullfrog | human | leafy seadragon,,"Fish live underwater. They have fins, not limbs.","A leafy seadragon is a fish. It lives underwater. It has fins, not limbs.
A seadragon's body looks like a clump of seaweed. This helps the seadragon hide from its predators.
An American bullfrog is an amphibian. It has moist skin and begins its life in water.
Frogs live near water or in damp places. Most frogs lay their eggs in water.
A human is a mammal. It has hair and feeds its young milk.
Humans are a type of animal called a primate. Monkeys and apes are also primates.
A red howler is a mammal. It has hair and feeds its young milk.
Howler monkeys have loud calls, or howls. Their calls can be heard over three miles away!",high_confidence_need_completion
r014602,r014602,validation,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",grade5,Classification,0.9080665294669923,1,need_completion_accidental_missing,,,Select the bird.,sea otter | albatross | box turtle | common toad,,"Birds have feathers, two wings, and a beak.","A sea otter is a mammal. It has fur and feeds its young milk.
Sea otters have very thick fur. Their fur keeps them warm in cold water.
A common toad is an amphibian. It has moist skin and begins its life in water.
Toads do not have teeth! They swallow their food whole.
A box turtle is a reptile. It has scaly, waterproof skin.
Box turtles can live to be over 100 years old!
An albatross is a bird. It has feathers, two wings, and a beak.
Albatrosses live near the ocean. They hunt squid, fish, and other small animals.",high_confidence_need_completion
r011290,r011290,train,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",grade5,Classification,0.9067053328387531,1,need_completion_accidental_missing,,,Select the reptile.,green sea turtle | salmon | green tree frog | anchovy,,"Reptiles have scaly, waterproof skin. Most reptiles live on land.","A green sea turtle is a reptile. It has scaly, waterproof skin.
Sea turtles live in the water, but they lay their eggs on land.
A salmon is a fish. It lives underwater. It has fins, not limbs.
Unlike most other fish, salmon can live in both fresh water and salt water.
An anchovy is a fish. It lives underwater. It has fins, not limbs.
An anchovy is a small fish that lives in the ocean. Like some other types of fish, anchovies swim in large groups called schools.
A green tree frog is an amphibian. It has moist skin and begins its life in water.
There are many kinds of tree frogs. Most tree frogs are very small. They can walk on thin branches.",high_confidence_need_completion
r008347,r008347,train,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",grade5,Classification,0.9018318407785557,1,need_completion_accidental_missing,,,Select the bird.,gray tree frog | Surinam horned frog | turkey vulture | green moray eel,,"Birds have feathers, two wings, and a beak.","A green moray eel is a fish. It lives underwater. It has fins, not limbs.
Eels are long and thin. They may have small fins. They look like snakes, but they are fish!
A Surinam horned frog is an amphibian. It has moist skin and begins its life in water.
Frogs live near water or in damp places. Most frogs lay their eggs in water.
A gray tree frog is an amphibian. It has moist skin and begins its life in water.
There are many kinds of tree frogs. Most tree frogs are very small. They can walk on thin branches.
A turkey vulture is a bird. It has feathers, two wings, and a beak.
Vultures do not usually hunt live animals. They eat animals that are already dead! This behavior is called scavenging.",high_confidence_need_completion
r010664,r010664,train,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",grade5,Classification,0.9011392762887956,1,need_completion_accidental_missing,,,Select the mammal.,California toad | gray crowned crane | giraffe | western rattlesnake,,Mammals have hair or fur and feed their young milk.,"A gray crowned crane is a bird. It has feathers, two wings, and a beak.
Cranes wade in shallow water to look for food. Cranes eat insects, worms, and plants.
A California toad is an amphibian. It has moist skin and begins its life in water.
Toads do not have teeth! They swallow their food whole.
A giraffe is a mammal. It has hair and feeds its young milk.
Giraffes eat mostly leaves that are too high up for other animals to reach.
A western rattlesnake is a reptile. It has scaly, waterproof skin.
Rattlesnakes have fangs they can use to inject venom into their prey.",high_confidence_need_completion
r016866,r016866,validation,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",grade5,Classification,0.8983963175153612,1,need_completion_accidental_missing,,,Select the mammal.,bald eagle | yak | American alligator | anchovy,,Mammals have hair or fur and feed their young milk.,"An American alligator is a reptile. It has scaly, waterproof skin.
Alligators live in and around water. They can live near ponds, rivers, marshes, and lakes.
An anchovy is a fish. It lives underwater. It has fins, not limbs.
An anchovy is a small fish that lives in the ocean. Like some other types of fish, anchovies swim in large groups called schools.
A bald eagle is a bird. It has feathers, two wings, and a beak.
Bald eagles live in trees near water. They build nests that can be up to 13 feet wide!
A yak is a mammal. It has hair and feeds its young milk.
Yaks live in cold places. Their long hair helps keep them warm.",high_confidence_need_completion
r020541,r020541,test,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",grade5,Classification,0.8970323526589559,1,need_completion_accidental_missing,,,Select the bird.,seahorse | Hermann's tortoise | loon | salmon,,"Birds have feathers, two wings, and a beak.","A seahorse is a fish. It lives underwater. It has fins, not limbs.
Seahorses live in shallow, warm water. They can use their tails to hold on to plants.
A loon is a bird. It has feathers, two wings, and a beak.
Loons usually live near lakes. They dive in the water to hunt for food.
A salmon is a fish. It lives underwater. It has fins, not limbs.
Unlike most other fish, salmon can live in both fresh water and salt water.
A Hermann's tortoise is a reptile. It has scaly, waterproof skin.
A tortoise's shell protects it from predators. When a tortoise feels threatened, it can pull its head and legs inside its shell.",high_confidence_need_completion
r020324,r020324,test,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",grade5,Classification,0.8964187361994921,1,need_completion_accidental_missing,,,Select the amphibian.,hippopotamus | California toad | bald eagle | fruit bat,,Amphibians have moist skin and begin their lives in water.,"A fruit bat is a mammal. It has hair and feeds its young milk.
Fruit bats eat fruit and drink nectar from flowers. They have special teeth to help them bite through fruit skins.
A bald eagle is a bird. It has feathers, two wings, and a beak.
Bald eagles live in trees near water. They build nests that can be up to 13 feet wide!
A hippopotamus is a mammal. It has hair and feeds its young milk.
Hippopotamuses keep cool by lying in mud or water.
A California toad is an amphibian. It has moist skin and begins its life in water.
Toads do not have teeth! They swallow their food whole.",high_confidence_need_completion
r010044,r010044,train,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",grade5,Classification,0.8914130555066611,1,need_completion_accidental_missing,,,Select the mammal.,hippopotamus | great white shark | arroyo toad | great crested newt,,Mammals have hair or fur and feed their young milk.,"An arroyo toad is an amphibian. It has moist skin and begins its life in water.
Toads do not have teeth! They swallow their food whole.
A great crested newt is an amphibian. It has moist skin and begins its life in water.
Some newts live in water. Other newts live on land but lay their eggs in water.
A great white shark is a fish. It lives underwater. It has fins, not limbs.
Great white sharks can live for up to 70 years.
A hippopotamus is a mammal. It has hair and feeds its young milk.
Hippopotamuses keep cool by lying in mud or water.",high_confidence_need_completion
r017855,r017855,test,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",grade5,Classification,0.890569582682444,1,need_completion_accidental_missing,,,Select the mammal.,ostrich | fire salamander | elephant seal | parrotfish,,Mammals have hair or fur and feed their young milk.,"A parrotfish is a fish. It lives underwater. It has fins, not limbs.
Parrotfish have fins and live underwater near coral reefs. They get their name from their bird-like beak!
An elephant seal is a mammal. It has hair and feeds its young milk.
Seals have flippers instead of arms! They use their flippers to swim underwater or to crawl on the beach.
A fire salamander is an amphibian. It has moist skin and begins its life in water.
Fire salamanders can release poison from their skin. This poison helps protect them from predators.
An ostrich is a bird. It has feathers, two wings, and a beak.
The ostrich is the largest bird alive today. Ostriches cannot fly, but they can run very fast.",high_confidence_need_completion
r009364,r009364,train,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",grade5,Classification,0.8891142985136097,1,need_completion_accidental_missing,,,Select the amphibian.,piranha | emerald tree boa | ostrich | red salamander,,Amphibians have moist skin and begin their lives in water.,"An ostrich is a bird. It has feathers, two wings, and a beak.
The ostrich is the largest bird alive today. Ostriches cannot fly, but they can run very fast.
A piranha is a fish. It lives underwater. It has fins, not limbs.
Piranhas have sharp teeth. Piranhas hunt in groups. A group of piranhas can eat a large animal.
An emerald tree boa is a reptile. It has scaly, waterproof skin.
Tree boas eat small mammals, birds, lizards, and frogs. Tree boas only need to eat once every few months!
A red salamander is an amphibian. It has moist skin and begins its life in water.
Red salamanders do not have lungs. They breathe through their skin!",high_confidence_need_completion
r013203,r013203,validation,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",grade5,Classification,0.8749493108324526,1,need_completion_accidental_missing,,,Select the bird.,cobra | salmon | bison | blue-footed booby,,"Birds have feathers, two wings, and a beak.","A bison is a mammal. It has fur and feeds its young milk.
Male bison have horns. They can use their horns to defend themselves.
A salmon is a fish. It lives underwater. It has fins, not limbs.
Unlike most other fish, salmon can live in both fresh water and salt water.
A blue-footed booby is a bird. It has feathers, two wings, and a beak.
Blue-footed boobies live on tropical islands in the Pacific Ocean.
A cobra is a reptile. It has scaly, waterproof skin.
Most cobras have a wide, flat hood below their head. A cobra can display its hood to scare away a predator.",high_confidence_need_completion
r019447,r019447,test,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",grade5,Classification,0.868436432872098,1,need_completion_accidental_missing,,,Select the fish.,bull shark | Asian elephant | red kangaroo | green iguana,,"Fish live underwater. They have fins, not limbs.","A green iguana is a reptile. It has scaly, waterproof skin.
Iguanas are a type of lizard. Iguanas eat plants and fruit.
A bull shark is a fish. It lives underwater. It has fins, not limbs.
Bull sharks can live in both fresh and salt water. They are found in rivers and in shallow parts of the ocean.
A red kangaroo is a mammal. It has fur and feeds its young milk.
Kangaroos hop to move around. They use their large tails for balance while hopping.
An Asian elephant is a mammal. It has hair and feeds its young milk.
Elephants live in groups called herds. The oldest female in the herd is usually the leader.",high_confidence_need_completion
r000200,r000200,train,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",grade5,Classification,0.8666003967003968,1,need_completion_accidental_missing,,,Select the amphibian.,great crested newt | robin | blue-footed booby | helmeted iguana,,Amphibians have moist skin and begin their lives in water.,"A great crested newt is an amphibian. It has moist skin and begins its life in water.
Some newts live in water. Other newts live on land but lay their eggs in water.
A blue-footed booby is a bird. It has feathers, two wings, and a beak.
Blue-footed boobies live on tropical islands in the Pacific Ocean.
A helmeted iguana is a reptile. It has scaly, waterproof skin.
Iguanas are a type of lizard. Iguanas eat plants and fruit.
A robin is a bird. It has feathers, two wings, and a beak.
A robin is a songbird. It sings different songs at different times of the day.",high_confidence_need_completion
r004948,r004948,train,natural science,biology,Identify functions of plant cell parts,grade7,Cells,0.8527995996154314,1,need_completion_accidental_missing,,,Select the part whose main job is to control which substances enter and leave a plant cell.,cell membrane | cytoplasm | mitochondria | vacuole,,"Plant cells are made up of many different parts. Each cell part has a function that helps the cell survive and grow.
Some cell parts are called organelles. Organelles are cell structures that are surrounded by their own membranes. Here are some of the organelles in plant cells:
Chloroplasts and mitochondria work together to help the cell get the energy it needs. The chloroplasts use photosynthesis to make sugar. The mitochondria break down this sugar and release energy that the cell can use for all of its activities.
The nucleus directs cell activities by sending instructions to different parts of the cell. The nucleus contains structures called chromosomes. The chromosomes are made mostly of hereditary material called DNA. DNA contains information that the cell uses for growth and activities. These instructions tell ribosomes how to build molecules called proteins, which make up cell structures and help chemical reactions happen in the cell.
The endoplasmic reticulum is an organelle that helps ribosomes build proteins. The nucleus sends instructions for making proteins to ribosomes. Ribosomes can attach to the endoplamic reticulum. The endoplasmic reticulum and ribosomes use these instructions to make proteins that the cell needs to survive and grow.
After proteins are made in the endoplasmic reticulum, they can be transferred to the Golgi. The Golgi is an organelle made up of flat, stacked membranes. The Golgi sorts and packages proteins and other substances. Then, the Golgi sends these substances to different parts of the cell. Some of these substances are sent to the cell membrane and released from the cell.
In plant cells, the vacuole stores waste, water, and nutrients such as sugar. Most plant cells have one vacuole.
Other cell parts are not surrounded by their own membranes. These cell parts are not organelles.
The cell wall is the cell's tough outer covering. It gives the cell strength and stiffness and helps the cell keep its shape.
On the inside of the cell wall is a thin layer called the cell membrane. This layer is a membrane, but it does not have a membrane surrounding it, so it is not an organelle. The cell membrane controls which substances enter and leave the cell.
The cytoplasm is a thick liquid that fills the space inside the cell. The cytoplasm also helps the cell keep its shape and supports the other cell parts.","The cell membrane is a thin layer that wraps around the cytoplasm.
In a plant cell, the cell wall surrounds the cell membrane. Most substances can pass through the cell wall. But when these substances reach the cell membrane, only some of them are able to enter the cell.",high_confidence_need_completion
r005847,r005847,train,natural science,biology,Identify functions of animal cell parts,grade8,Cells,0.8454218449162461,1,need_completion_accidental_missing,,,Select the part whose main job is to help an animal cell make proteins.,vacuoles | endoplasmic reticulum | mitochondria | cytoplasm,,"Animal cells are made up of many different parts. Each cell part has a function that helps the cell survive and grow.
Some cell parts are called organelles. Organelles are cell structures that are surrounded by their own membranes. Here are some of the organelles in animal cells:
Mitochondria help the cell get the energy it needs. Mitochondria break down sugar and release energy that the cell can use for all of its activities.
The nucleus directs cell activities by sending instructions to different parts of the cell. The nucleus contains structures called chromosomes. The chromosomes are made mostly of hereditary material called DNA. DNA contains information that the cell uses for growth and activities. These instructions tell ribosomes how to build molecules called proteins, which make up cell structures and help chemical reactions happen in the cell.
The endoplasmic reticulum is an organelle that helps ribosomes build proteins. The nucleus sends instructions for making proteins to ribosomes. Ribosomes can attach to the endoplamic reticulum. The endoplasmic reticulum and ribosomes use these instructions to make proteins that the cell needs to survive and grow.
After proteins are made in the endoplasmic reticulum, they can be transferred to the Golgi. The Golgi is an organelle made up of flat, stacked membranes. The Golgi sorts and packages proteins and other substances. Then, the Golgi sends these substances to different parts of the cell. Some of these substances are sent to the cell membrane and released from the cell.
Animal cells also have organelles for storage and waste removal. The vacuoles store sugar and other nutrients. The lysosomes break down worn-out cell parts and other waste. Animal cells usually have several vacuoles and lysosomes.
Other cell parts are not surrounded by their own membranes. These cell parts are not organelles.
The cell membrane is a thin layer that surrounds and protects the cell. This layer is a membrane, but it does not have a membrane surrounding it, so it is not an organelle. The cell membrane controls which substances enter and leave the cell.
The cytoplasm is a thick liquid that fills the space inside the cell. The cytoplasm also helps the cell keep its shape and supports the other cell parts.",The endoplasmic reticulum helps the cell make proteins. Instructions for making proteins are sent to ribosomes. Ribosomes can attach to the endoplamic reticulum and use the instructions to make proteins.,high_confidence_need_completion
r019266,r019266,test,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",grade5,Classification,0.8454007721515265,1,need_completion_accidental_missing,,,Select the bird.,red-eyed tree frog | harbor seal | Steller's sea eagle | humpback whale,,"Birds have feathers, two wings, and a beak.","A humpback whale is a mammal. It has hair and feeds its young milk.
Whales are mammals that live in the ocean. Humpback whales have small hairs that grow from bumps around their mouth.
A red-eyed tree frog is an amphibian. It has moist skin and begins its life in water.
A red-eyed tree frog has sticky pads on its toes. The sticky pads help the red-eyed tree frog hold on to leaves.
A harbor seal is a mammal. It has fur and feeds its young milk.
Seals have flippers instead of arms! They use their flippers to swim underwater or to crawl on the beach.
A Steller's sea eagle is a bird. It has feathers, two wings, and a beak.
Sea eagles use their sharp beaks to eat fish and other birds.",high_confidence_need_completion
r008685,r008685,train,natural science,biology,Identify functions of animal cell parts,grade8,Cells,0.8435663460185604,1,need_completion_accidental_missing,,,Select the part whose main job is to sort and package proteins and other substances in an animal cell.,chromosomes | Golgi | nucleus | vacuoles,,"Animal cells are made up of many different parts. Each cell part has a function that helps the cell survive and grow.
Some cell parts are called organelles. Organelles are cell structures that are surrounded by their own membranes. Here are some of the organelles in animal cells:
Mitochondria help the cell get the energy it needs. Mitochondria break down sugar and release energy that the cell can use for all of its activities.
The nucleus directs cell activities by sending instructions to different parts of the cell. The nucleus contains structures called chromosomes. The chromosomes are made mostly of hereditary material called DNA. DNA contains information that the cell uses for growth and activities. These instructions tell ribosomes how to build molecules called proteins, which make up cell structures and help chemical reactions happen in the cell.
The endoplasmic reticulum is an organelle that helps ribosomes build proteins. The nucleus sends instructions for making proteins to ribosomes. Ribosomes can attach to the endoplamic reticulum. The endoplasmic reticulum and ribosomes use these instructions to make proteins that the cell needs to survive and grow.
After proteins are made in the endoplasmic reticulum, they can be transferred to the Golgi. The Golgi is an organelle made up of flat, stacked membranes. The Golgi sorts and packages proteins and other substances. Then, the Golgi sends these substances to different parts of the cell. Some of these substances are sent to the cell membrane and released from the cell.
Animal cells also have organelles for storage and waste removal. The vacuoles store sugar and other nutrients. The lysosomes break down worn-out cell parts and other waste. Animal cells usually have several vacuoles and lysosomes.
Other cell parts are not surrounded by their own membranes. These cell parts are not organelles.
The cell membrane is a thin layer that surrounds and protects the cell. This layer is a membrane, but it does not have a membrane surrounding it, so it is not an organelle. The cell membrane controls which substances enter and leave the cell.
The cytoplasm is a thick liquid that fills the space inside the cell. The cytoplasm also helps the cell keep its shape and supports the other cell parts.","The Golgi sorts and packages proteins and other substances for the cell. The Golgi sends some of these substances to parts of the cell where they are needed. It sends other substances to the cell membrane, where they are released from the cell.",high_confidence_need_completion
r007569,r007569,train,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",grade5,Classification,0.8399727750929288,1,need_completion_accidental_missing,,,Select the mammal.,Tasmanian devil | clownfish | gray crowned crane | robin,,Mammals have hair or fur and feed their young milk.,"A gray crowned crane is a bird. It has feathers, two wings, and a beak.
Cranes wade in shallow water to look for food. Cranes eat insects, worms, and plants.
A clownfish is a fish. It lives underwater. It has fins, not limbs.
Clownfish live with animals called anemones. In the image of the clownfish, you can see the brown anemone surrounding the clownfish.
A Tasmanian devil is a mammal. It has fur and feeds its young milk.
Tasmanian devils are meat-eating marsupials. They live on the island of Tasmania, near Australia.
A robin is a bird. It has feathers, two wings, and a beak.
A robin is a songbird. It sings different songs at different times of the day.",high_confidence_need_completion
r012232,r012232,train,natural science,biology,Identify functions of animal cell parts,grade4,Cells,0.8396300900413642,1,need_completion_accidental_missing,,,Select the part whose main job is to break down sugar to release energy that an animal cell can use.,chromosomes | cytoplasm | mitochondria,,"The cell membrane controls which substances enter and leave the cell. The cell membrane also protects the cell from the outside environment.
The cytoplasm is made up of a thick liquid that fills the space inside the cell membrane. The cytoplasm supports the other cell parts and holds them in place. Many important chemical reactions happen in the cytoplasm.
The mitochondria break down sugar to release energy that the cell can use.
The vacuoles store nutrients, such as sugar, in the cell. Vacuoles also store water and waste.
The nucleus directs cell activities. It does this by sending instructions to different parts of the cell.
The chromosomes contain the information that the cell uses for growth and activities. In animal and plant cells, the chromosomes are inside the nucleus.",Mitochondria break down sugar to release energy that the cell can use. Animal and plant cells usually have many mitochondria.,high_confidence_need_completion
r011551,r011551,train,natural science,biology,Identify functions of animal cell parts,grade4,Cells,0.8326054214973237,1,need_completion_accidental_missing,,,Select the part whose main job is to direct an animal cell's activities by sending instructions to different parts of the cell.,cytoplasm | cell membrane | nucleus,,"The cell membrane controls which substances enter and leave the cell. The cell membrane also protects the cell from the outside environment.
The cytoplasm is made up of a thick liquid that fills the space inside the cell membrane. The cytoplasm supports the other cell parts and holds them in place. Many important chemical reactions happen in the cytoplasm.
The mitochondria break down sugar to release energy that the cell can use.
The vacuoles store nutrients, such as sugar, in the cell. Vacuoles also store water and waste.
The nucleus directs cell activities. It does this by sending instructions to different parts of the cell.
The chromosomes contain the information that the cell uses for growth and activities. In animal and plant cells, the chromosomes are inside the nucleus.","The nucleus is the master control center for cell activities. The nucleus sends signals and instructions to different parts of the cell. Not every cell has a nucleus, but most plant and animal cells have one.",high_confidence_need_completion
r013307,r013307,validation,natural science,biology,Identify functions of animal cell parts,grade4,Cells,0.8298716913694157,1,need_completion_accidental_missing,,,"Select the part whose main job is to store nutrients, water, and waste in an animal cell.",mitochondria | vacuoles | cytoplasm,,"The cell membrane controls which substances enter and leave the cell. The cell membrane also protects the cell from the outside environment.
The cytoplasm is made up of a thick liquid that fills the space inside the cell membrane. The cytoplasm supports the other cell parts and holds them in place. Many important chemical reactions happen in the cytoplasm.
The mitochondria break down sugar to release energy that the cell can use.
The vacuoles store nutrients, such as sugar, in the cell. Vacuoles also store water and waste.
The nucleus directs cell activities. It does this by sending instructions to different parts of the cell.
The chromosomes contain the information that the cell uses for growth and activities. In animal and plant cells, the chromosomes are inside the nucleus.","Vacuoles store water, waste, and nutrients such as sugar. Animal cells usually have several small vacuoles.",high_confidence_need_completion
