dataset,strategy,sample_id,question,positive_image_ref,negative_sample_id,negative_question,negative_image_ref,lexical_similarity
ai2d,same_topic_wrong_image,ai2d_test_000001,What is the uppermost layer of the earth called?,hf://lmms-lab/ai2d-no-mask/test/000001,ai2d_test_000110,The outermost layer of the Earth is called the ?,hf://lmms-lab/ai2d-no-mask/test/000110,0.42163880642728435
ai2d,same_topic_wrong_image,ai2d_test_000001,What is the uppermost layer of the earth called?,hf://lmms-lab/ai2d-no-mask/test/000001,ai2d_test_000005,What is the outermost layer?,hf://lmms-lab/ai2d-no-mask/test/000005,0.3350081211391969
ai2d,same_topic_wrong_image,ai2d_test_000001,What is the uppermost layer of the earth called?,hf://lmms-lab/ai2d-no-mask/test/000001,ai2d_test_000004,What is represented y B?,hf://lmms-lab/ai2d-no-mask/test/000004,0.23643937959730413
ai2d,same_topic_wrong_image,ai2d_test_000001,What is the uppermost layer of the earth called?,hf://lmms-lab/ai2d-no-mask/test/000001,ai2d_test_000109,The exterior portion of the earth,hf://lmms-lab/ai2d-no-mask/test/000109,0.21987245636600442
ai2d,same_topic_wrong_image,ai2d_test_000001,What is the uppermost layer of the earth called?,hf://lmms-lab/ai2d-no-mask/test/000001,ai2d_test_000003,Which layer is between crust and lower mantle?,hf://lmms-lab/ai2d-no-mask/test/000003,0.11859167942358931
ai2d,same_skill_wrong_image,ai2d_test_000001,What is the uppermost layer of the earth called?,hf://lmms-lab/ai2d-no-mask/test/000001,ai2d_test_000110,The outermost layer of the Earth is called the ?,hf://lmms-lab/ai2d-no-mask/test/000110,0.42163880642728435
ai2d,same_skill_wrong_image,ai2d_test_000001,What is the uppermost layer of the earth called?,hf://lmms-lab/ai2d-no-mask/test/000001,ai2d_test_000005,What is the outermost layer?,hf://lmms-lab/ai2d-no-mask/test/000005,0.3350081211391969
ai2d,same_skill_wrong_image,ai2d_test_000001,What is the uppermost layer of the earth called?,hf://lmms-lab/ai2d-no-mask/test/000001,ai2d_test_000004,What is represented y B?,hf://lmms-lab/ai2d-no-mask/test/000004,0.23643937959730413
ai2d,same_skill_wrong_image,ai2d_test_000001,What is the uppermost layer of the earth called?,hf://lmms-lab/ai2d-no-mask/test/000001,ai2d_test_000109,The exterior portion of the earth,hf://lmms-lab/ai2d-no-mask/test/000109,0.21987245636600442
ai2d,same_skill_wrong_image,ai2d_test_000001,What is the uppermost layer of the earth called?,hf://lmms-lab/ai2d-no-mask/test/000001,ai2d_test_000003,Which layer is between crust and lower mantle?,hf://lmms-lab/ai2d-no-mask/test/000003,0.11859167942358931
ai2d,random_wrong_image,ai2d_test_000002,Which is the hottest layer?,hf://lmms-lab/ai2d-no-mask/test/000002,ai2d_test_000046,"In the diagram shown, which is the producer?",hf://lmms-lab/ai2d-no-mask/test/000046,0.090918507406961
ai2d,random_wrong_image,ai2d_test_000002,Which is the hottest layer?,hf://lmms-lab/ai2d-no-mask/test/000002,ai2d_test_000062,What is the animal shown in the image?,hf://lmms-lab/ai2d-no-mask/test/000062,0.051716260249000084
ai2d,random_wrong_image,ai2d_test_000002,Which is the hottest layer?,hf://lmms-lab/ai2d-no-mask/test/000002,ai2d_test_000085,what is labeled F?,hf://lmms-lab/ai2d-no-mask/test/000085,0.02683992802273442
ai2d,random_wrong_image,ai2d_test_000002,Which is the hottest layer?,hf://lmms-lab/ai2d-no-mask/test/000002,ai2d_test_000146,which part of the diagram is large circle?,hf://lmms-lab/ai2d-no-mask/test/000146,0.20041792968496364
ai2d,random_wrong_image,ai2d_test_000002,Which is the hottest layer?,hf://lmms-lab/ai2d-no-mask/test/000002,ai2d_test_000153,Which part of the body lies just before the anus?,hf://lmms-lab/ai2d-no-mask/test/000153,0.027733325703541655
ai2d,lexical_wrong_image,ai2d_test_000002,Which is the hottest layer?,hf://lmms-lab/ai2d-no-mask/test/000002,ai2d_test_000016,Which label indicates the moon during a lunar eclipse?,hf://lmms-lab/ai2d-no-mask/test/000016,0.24169821909411301
ai2d,lexical_wrong_image,ai2d_test_000002,Which is the hottest layer?,hf://lmms-lab/ai2d-no-mask/test/000002,ai2d_test_000015,What letter on the diagram depicts the tadpole?,hf://lmms-lab/ai2d-no-mask/test/000015,0.23796595723991174
ai2d,lexical_wrong_image,ai2d_test_000002,Which is the hottest layer?,hf://lmms-lab/ai2d-no-mask/test/000002,ai2d_test_000074,Label the Umbel,hf://lmms-lab/ai2d-no-mask/test/000074,0.20818899327895274
ai2d,lexical_wrong_image,ai2d_test_000002,Which is the hottest layer?,hf://lmms-lab/ai2d-no-mask/test/000002,ai2d_test_000146,which part of the diagram is large circle?,hf://lmms-lab/ai2d-no-mask/test/000146,0.20041792968496364
ai2d,lexical_wrong_image,ai2d_test_000002,Which is the hottest layer?,hf://lmms-lab/ai2d-no-mask/test/000002,ai2d_test_000073,Label the Spike.,hf://lmms-lab/ai2d-no-mask/test/000073,0.1931434814860185
ai2d,same_topic_wrong_image,ai2d_test_000002,Which is the hottest layer?,hf://lmms-lab/ai2d-no-mask/test/000002,ai2d_test_000016,Which label indicates the moon during a lunar eclipse?,hf://lmms-lab/ai2d-no-mask/test/000016,0.24169821909411301
ai2d,same_topic_wrong_image,ai2d_test_000002,Which is the hottest layer?,hf://lmms-lab/ai2d-no-mask/test/000002,ai2d_test_000015,What letter on the diagram depicts the tadpole?,hf://lmms-lab/ai2d-no-mask/test/000015,0.23796595723991174
ai2d,same_topic_wrong_image,ai2d_test_000002,Which is the hottest layer?,hf://lmms-lab/ai2d-no-mask/test/000002,ai2d_test_000074,Label the Umbel,hf://lmms-lab/ai2d-no-mask/test/000074,0.20818899327895274
ai2d,same_topic_wrong_image,ai2d_test_000002,Which is the hottest layer?,hf://lmms-lab/ai2d-no-mask/test/000002,ai2d_test_000146,which part of the diagram is large circle?,hf://lmms-lab/ai2d-no-mask/test/000146,0.20041792968496364
ai2d,same_topic_wrong_image,ai2d_test_000002,Which is the hottest layer?,hf://lmms-lab/ai2d-no-mask/test/000002,ai2d_test_000073,Label the Spike.,hf://lmms-lab/ai2d-no-mask/test/000073,0.1931434814860185
ai2d,same_skill_wrong_image,ai2d_test_000002,Which is the hottest layer?,hf://lmms-lab/ai2d-no-mask/test/000002,ai2d_test_000016,Which label indicates the moon during a lunar eclipse?,hf://lmms-lab/ai2d-no-mask/test/000016,0.24169821909411301
ai2d,same_skill_wrong_image,ai2d_test_000002,Which is the hottest layer?,hf://lmms-lab/ai2d-no-mask/test/000002,ai2d_test_000015,What letter on the diagram depicts the tadpole?,hf://lmms-lab/ai2d-no-mask/test/000015,0.23796595723991174
ai2d,same_skill_wrong_image,ai2d_test_000002,Which is the hottest layer?,hf://lmms-lab/ai2d-no-mask/test/000002,ai2d_test_000074,Label the Umbel,hf://lmms-lab/ai2d-no-mask/test/000074,0.20818899327895274
ai2d,same_skill_wrong_image,ai2d_test_000002,Which is the hottest layer?,hf://lmms-lab/ai2d-no-mask/test/000002,ai2d_test_000146,which part of the diagram is large circle?,hf://lmms-lab/ai2d-no-mask/test/000146,0.20041792968496364
ai2d,same_skill_wrong_image,ai2d_test_000002,Which is the hottest layer?,hf://lmms-lab/ai2d-no-mask/test/000002,ai2d_test_000073,Label the Spike.,hf://lmms-lab/ai2d-no-mask/test/000073,0.1931434814860185
ai2d,random_wrong_image,ai2d_test_000003,Which layer is between crust and lower mantle?,hf://lmms-lab/ai2d-no-mask/test/000003,ai2d_test_000030,What stage is shown by A for the life cycle of a mealworm?,hf://lmms-lab/ai2d-no-mask/test/000030,0.018314707442590835
ai2d,random_wrong_image,ai2d_test_000003,Which layer is between crust and lower mantle?,hf://lmms-lab/ai2d-no-mask/test/000003,ai2d_test_000043,"Based on the given food chain, name the producer",hf://lmms-lab/ai2d-no-mask/test/000043,0.014103649057434822
ai2d,random_wrong_image,ai2d_test_000003,Which layer is between crust and lower mantle?,hf://lmms-lab/ai2d-no-mask/test/000003,ai2d_test_000085,what is labeled F?,hf://lmms-lab/ai2d-no-mask/test/000085,0.022102949401640457
ai2d,random_wrong_image,ai2d_test_000003,Which layer is between crust and lower mantle?,hf://lmms-lab/ai2d-no-mask/test/000003,ai2d_test_000096,Which label refers to the beetle's egg stage?,hf://lmms-lab/ai2d-no-mask/test/000096,0.07263009839799106
ai2d,random_wrong_image,ai2d_test_000003,Which layer is between crust and lower mantle?,hf://lmms-lab/ai2d-no-mask/test/000003,ai2d_test_000195,Base your answers on the diagram below and on your knowledge of science. Which are the organisms are herbivores?,hf://lmms-lab/ai2d-no-mask/test/000195,0.020952887186205006
ai2d,lexical_wrong_image,ai2d_test_000003,Which layer is between crust and lower mantle?,hf://lmms-lab/ai2d-no-mask/test/000003,ai2d_test_000118,what layer is between starch grain and chloroplast?,hf://lmms-lab/ai2d-no-mask/test/000118,0.32124778978988344
ai2d,lexical_wrong_image,ai2d_test_000003,Which layer is between crust and lower mantle?,hf://lmms-lab/ai2d-no-mask/test/000003,ai2d_test_000074,Label the Umbel,hf://lmms-lab/ai2d-no-mask/test/000074,0.19035409652600904
ai2d,lexical_wrong_image,ai2d_test_000003,Which layer is between crust and lower mantle?,hf://lmms-lab/ai2d-no-mask/test/000003,ai2d_test_000002,Which is the hottest layer?,hf://lmms-lab/ai2d-no-mask/test/000002,0.17722813960198913
ai2d,lexical_wrong_image,ai2d_test_000003,Which layer is between crust and lower mantle?,hf://lmms-lab/ai2d-no-mask/test/000003,ai2d_test_000018,Rachis is represented using label,hf://lmms-lab/ai2d-no-mask/test/000018,0.17465188035238607
ai2d,lexical_wrong_image,ai2d_test_000003,Which layer is between crust and lower mantle?,hf://lmms-lab/ai2d-no-mask/test/000003,ai2d_test_000007,The diagram shows the life cycle of a flea? What letter represents the dormant stage?,hf://lmms-lab/ai2d-no-mask/test/000007,0.16408360198189523
ai2d,same_topic_wrong_image,ai2d_test_000003,Which layer is between crust and lower mantle?,hf://lmms-lab/ai2d-no-mask/test/000003,ai2d_test_000118,what layer is between starch grain and chloroplast?,hf://lmms-lab/ai2d-no-mask/test/000118,0.32124778978988344
ai2d,same_topic_wrong_image,ai2d_test_000003,Which layer is between crust and lower mantle?,hf://lmms-lab/ai2d-no-mask/test/000003,ai2d_test_000074,Label the Umbel,hf://lmms-lab/ai2d-no-mask/test/000074,0.19035409652600904
ai2d,same_topic_wrong_image,ai2d_test_000003,Which layer is between crust and lower mantle?,hf://lmms-lab/ai2d-no-mask/test/000003,ai2d_test_000002,Which is the hottest layer?,hf://lmms-lab/ai2d-no-mask/test/000002,0.17722813960198913
ai2d,same_topic_wrong_image,ai2d_test_000003,Which layer is between crust and lower mantle?,hf://lmms-lab/ai2d-no-mask/test/000003,ai2d_test_000018,Rachis is represented using label,hf://lmms-lab/ai2d-no-mask/test/000018,0.17465188035238607
ai2d,same_topic_wrong_image,ai2d_test_000003,Which layer is between crust and lower mantle?,hf://lmms-lab/ai2d-no-mask/test/000003,ai2d_test_000007,The diagram shows the life cycle of a flea? What letter represents the dormant stage?,hf://lmms-lab/ai2d-no-mask/test/000007,0.16408360198189523
ai2d,same_skill_wrong_image,ai2d_test_000003,Which layer is between crust and lower mantle?,hf://lmms-lab/ai2d-no-mask/test/000003,ai2d_test_000118,what layer is between starch grain and chloroplast?,hf://lmms-lab/ai2d-no-mask/test/000118,0.32124778978988344
ai2d,same_skill_wrong_image,ai2d_test_000003,Which layer is between crust and lower mantle?,hf://lmms-lab/ai2d-no-mask/test/000003,ai2d_test_000074,Label the Umbel,hf://lmms-lab/ai2d-no-mask/test/000074,0.19035409652600904
ai2d,same_skill_wrong_image,ai2d_test_000003,Which layer is between crust and lower mantle?,hf://lmms-lab/ai2d-no-mask/test/000003,ai2d_test_000002,Which is the hottest layer?,hf://lmms-lab/ai2d-no-mask/test/000002,0.17722813960198913
ai2d,same_skill_wrong_image,ai2d_test_000003,Which layer is between crust and lower mantle?,hf://lmms-lab/ai2d-no-mask/test/000003,ai2d_test_000018,Rachis is represented using label,hf://lmms-lab/ai2d-no-mask/test/000018,0.17465188035238607
ai2d,same_skill_wrong_image,ai2d_test_000003,Which layer is between crust and lower mantle?,hf://lmms-lab/ai2d-no-mask/test/000003,ai2d_test_000007,The diagram shows the life cycle of a flea? What letter represents the dormant stage?,hf://lmms-lab/ai2d-no-mask/test/000007,0.16408360198189523
ai2d,random_wrong_image,ai2d_test_000004,What is represented y B?,hf://lmms-lab/ai2d-no-mask/test/000004,ai2d_test_000119,"From the above food web diagram, which species need to find other energy source after grass",hf://lmms-lab/ai2d-no-mask/test/000119,0.04943827236710311
ai2d,random_wrong_image,ai2d_test_000004,What is represented y B?,hf://lmms-lab/ai2d-no-mask/test/000004,ai2d_test_000133,What is a predator of the rabbit?,hf://lmms-lab/ai2d-no-mask/test/000133,0.05936966617188111
ai2d,random_wrong_image,ai2d_test_000004,What is represented y B?,hf://lmms-lab/ai2d-no-mask/test/000004,ai2d_test_000150,Which letter shows the first quarter phase?,hf://lmms-lab/ai2d-no-mask/test/000150,0.04840282467342248
ai2d,random_wrong_image,ai2d_test_000004,What is represented y B?,hf://lmms-lab/ai2d-no-mask/test/000004,ai2d_test_000172,"The diagram below shows a food chain. If the plants died, the population of whitefly would most likely",hf://lmms-lab/ai2d-no-mask/test/000172,0.06552027175728467
ai2d,random_wrong_image,ai2d_test_000004,What is represented y B?,hf://lmms-lab/ai2d-no-mask/test/000004,ai2d_test_000194,"According to the food web, what will happen if the grass dried up due to extreme heat?",hf://lmms-lab/ai2d-no-mask/test/000194,0.058743117229974225
ai2d,lexical_wrong_image,ai2d_test_000004,What is represented y B?,hf://lmms-lab/ai2d-no-mask/test/000004,ai2d_test_000005,What is the outermost layer?,hf://lmms-lab/ai2d-no-mask/test/000005,0.2974382794721991
ai2d,lexical_wrong_image,ai2d_test_000004,What is represented y B?,hf://lmms-lab/ai2d-no-mask/test/000004,ai2d_test_000110,The outermost layer of the Earth is called the ?,hf://lmms-lab/ai2d-no-mask/test/000110,0.2411312953425918
ai2d,lexical_wrong_image,ai2d_test_000004,What is represented y B?,hf://lmms-lab/ai2d-no-mask/test/000004,ai2d_test_000001,What is the uppermost layer of the earth called?,hf://lmms-lab/ai2d-no-mask/test/000001,0.23643937959730413
ai2d,lexical_wrong_image,ai2d_test_000004,What is represented y B?,hf://lmms-lab/ai2d-no-mask/test/000004,ai2d_test_000050,Which is the producer in the group?,hf://lmms-lab/ai2d-no-mask/test/000050,0.1771621747181853
ai2d,lexical_wrong_image,ai2d_test_000004,What is represented y B?,hf://lmms-lab/ai2d-no-mask/test/000004,ai2d_test_000090,What is represented by E?,hf://lmms-lab/ai2d-no-mask/test/000090,0.1732528874036665
ai2d,same_topic_wrong_image,ai2d_test_000004,What is represented y B?,hf://lmms-lab/ai2d-no-mask/test/000004,ai2d_test_000005,What is the outermost layer?,hf://lmms-lab/ai2d-no-mask/test/000005,0.2974382794721991
ai2d,same_topic_wrong_image,ai2d_test_000004,What is represented y B?,hf://lmms-lab/ai2d-no-mask/test/000004,ai2d_test_000110,The outermost layer of the Earth is called the ?,hf://lmms-lab/ai2d-no-mask/test/000110,0.2411312953425918
ai2d,same_topic_wrong_image,ai2d_test_000004,What is represented y B?,hf://lmms-lab/ai2d-no-mask/test/000004,ai2d_test_000001,What is the uppermost layer of the earth called?,hf://lmms-lab/ai2d-no-mask/test/000001,0.23643937959730413
ai2d,same_topic_wrong_image,ai2d_test_000004,What is represented y B?,hf://lmms-lab/ai2d-no-mask/test/000004,ai2d_test_000050,Which is the producer in the group?,hf://lmms-lab/ai2d-no-mask/test/000050,0.1771621747181853
ai2d,same_topic_wrong_image,ai2d_test_000004,What is represented y B?,hf://lmms-lab/ai2d-no-mask/test/000004,ai2d_test_000090,What is represented by E?,hf://lmms-lab/ai2d-no-mask/test/000090,0.1732528874036665
ai2d,same_skill_wrong_image,ai2d_test_000004,What is represented y B?,hf://lmms-lab/ai2d-no-mask/test/000004,ai2d_test_000005,What is the outermost layer?,hf://lmms-lab/ai2d-no-mask/test/000005,0.2974382794721991
ai2d,same_skill_wrong_image,ai2d_test_000004,What is represented y B?,hf://lmms-lab/ai2d-no-mask/test/000004,ai2d_test_000110,The outermost layer of the Earth is called the ?,hf://lmms-lab/ai2d-no-mask/test/000110,0.2411312953425918
ai2d,same_skill_wrong_image,ai2d_test_000004,What is represented y B?,hf://lmms-lab/ai2d-no-mask/test/000004,ai2d_test_000001,What is the uppermost layer of the earth called?,hf://lmms-lab/ai2d-no-mask/test/000001,0.23643937959730413
ai2d,same_skill_wrong_image,ai2d_test_000004,What is represented y B?,hf://lmms-lab/ai2d-no-mask/test/000004,ai2d_test_000050,Which is the producer in the group?,hf://lmms-lab/ai2d-no-mask/test/000050,0.1771621747181853
ai2d,same_skill_wrong_image,ai2d_test_000004,What is represented y B?,hf://lmms-lab/ai2d-no-mask/test/000004,ai2d_test_000090,What is represented by E?,hf://lmms-lab/ai2d-no-mask/test/000090,0.1732528874036665
ai2d,random_wrong_image,ai2d_test_000005,What is the outermost layer?,hf://lmms-lab/ai2d-no-mask/test/000005,ai2d_test_000032,What are the parts found above the soil?,hf://lmms-lab/ai2d-no-mask/test/000032,0.06650783948648177
ai2d,random_wrong_image,ai2d_test_000005,What is the outermost layer?,hf://lmms-lab/ai2d-no-mask/test/000005,ai2d_test_000141,"In the diagram of the food web shown, what does the emperor scorpion get its food energy from?",hf://lmms-lab/ai2d-no-mask/test/000141,0.04801918358356398
ai2d,random_wrong_image,ai2d_test_000005,What is the outermost layer?,hf://lmms-lab/ai2d-no-mask/test/000005,ai2d_test_000158,What is the completely dark part of the eclipse called?,hf://lmms-lab/ai2d-no-mask/test/000158,0.0778173538362386
ai2d,random_wrong_image,ai2d_test_000005,What is the outermost layer?,hf://lmms-lab/ai2d-no-mask/test/000005,ai2d_test_000169,"Jasmine made a simple food web of some animals that live in the Arctic. Based on Jasmine's food web, which organism is the main source of energy for the white fly?",hf://lmms-lab/ai2d-no-mask/test/000169,0.03589866227505511
ai2d,random_wrong_image,ai2d_test_000005,What is the outermost layer?,hf://lmms-lab/ai2d-no-mask/test/000005,ai2d_test_000179,How many types of roots are displayed?,hf://lmms-lab/ai2d-no-mask/test/000179,0.03154450039118328
ai2d,lexical_wrong_image,ai2d_test_000005,What is the outermost layer?,hf://lmms-lab/ai2d-no-mask/test/000005,ai2d_test_000110,The outermost layer of the Earth is called the ?,hf://lmms-lab/ai2d-no-mask/test/000110,0.45834123331923643
ai2d,lexical_wrong_image,ai2d_test_000005,What is the outermost layer?,hf://lmms-lab/ai2d-no-mask/test/000005,ai2d_test_000001,What is the uppermost layer of the earth called?,hf://lmms-lab/ai2d-no-mask/test/000001,0.3350081211391969
ai2d,lexical_wrong_image,ai2d_test_000005,What is the outermost layer?,hf://lmms-lab/ai2d-no-mask/test/000005,ai2d_test_000109,The exterior portion of the earth,hf://lmms-lab/ai2d-no-mask/test/000109,0.31718286859463685
ai2d,lexical_wrong_image,ai2d_test_000005,What is the outermost layer?,hf://lmms-lab/ai2d-no-mask/test/000005,ai2d_test_000004,What is represented y B?,hf://lmms-lab/ai2d-no-mask/test/000004,0.2974382794721991
ai2d,lexical_wrong_image,ai2d_test_000005,What is the outermost layer?,hf://lmms-lab/ai2d-no-mask/test/000005,ai2d_test_000050,Which is the producer in the group?,hf://lmms-lab/ai2d-no-mask/test/000050,0.1999313974994951
ai2d,same_topic_wrong_image,ai2d_test_000005,What is the outermost layer?,hf://lmms-lab/ai2d-no-mask/test/000005,ai2d_test_000110,The outermost layer of the Earth is called the ?,hf://lmms-lab/ai2d-no-mask/test/000110,0.45834123331923643
ai2d,same_topic_wrong_image,ai2d_test_000005,What is the outermost layer?,hf://lmms-lab/ai2d-no-mask/test/000005,ai2d_test_000001,What is the uppermost layer of the earth called?,hf://lmms-lab/ai2d-no-mask/test/000001,0.3350081211391969
ai2d,same_topic_wrong_image,ai2d_test_000005,What is the outermost layer?,hf://lmms-lab/ai2d-no-mask/test/000005,ai2d_test_000109,The exterior portion of the earth,hf://lmms-lab/ai2d-no-mask/test/000109,0.31718286859463685
ai2d,same_topic_wrong_image,ai2d_test_000005,What is the outermost layer?,hf://lmms-lab/ai2d-no-mask/test/000005,ai2d_test_000004,What is represented y B?,hf://lmms-lab/ai2d-no-mask/test/000004,0.2974382794721991
ai2d,same_topic_wrong_image,ai2d_test_000005,What is the outermost layer?,hf://lmms-lab/ai2d-no-mask/test/000005,ai2d_test_000050,Which is the producer in the group?,hf://lmms-lab/ai2d-no-mask/test/000050,0.1999313974994951
ai2d,same_skill_wrong_image,ai2d_test_000005,What is the outermost layer?,hf://lmms-lab/ai2d-no-mask/test/000005,ai2d_test_000110,The outermost layer of the Earth is called the ?,hf://lmms-lab/ai2d-no-mask/test/000110,0.45834123331923643
ai2d,same_skill_wrong_image,ai2d_test_000005,What is the outermost layer?,hf://lmms-lab/ai2d-no-mask/test/000005,ai2d_test_000001,What is the uppermost layer of the earth called?,hf://lmms-lab/ai2d-no-mask/test/000001,0.3350081211391969
ai2d,same_skill_wrong_image,ai2d_test_000005,What is the outermost layer?,hf://lmms-lab/ai2d-no-mask/test/000005,ai2d_test_000109,The exterior portion of the earth,hf://lmms-lab/ai2d-no-mask/test/000109,0.31718286859463685
ai2d,same_skill_wrong_image,ai2d_test_000005,What is the outermost layer?,hf://lmms-lab/ai2d-no-mask/test/000005,ai2d_test_000004,What is represented y B?,hf://lmms-lab/ai2d-no-mask/test/000004,0.2974382794721991
ai2d,same_skill_wrong_image,ai2d_test_000005,What is the outermost layer?,hf://lmms-lab/ai2d-no-mask/test/000005,ai2d_test_000050,Which is the producer in the group?,hf://lmms-lab/ai2d-no-mask/test/000050,0.1999313974994951
ai2d,random_wrong_image,ai2d_test_000006,How many changes are shown in the diagram?,hf://lmms-lab/ai2d-no-mask/test/000006,ai2d_test_000030,What stage is shown by A for the life cycle of a mealworm?,hf://lmms-lab/ai2d-no-mask/test/000030,0.034220193087104785
ai2d,random_wrong_image,ai2d_test_000006,How many changes are shown in the diagram?,hf://lmms-lab/ai2d-no-mask/test/000006,ai2d_test_000055,The diagram shows four stages in the development of a deer fly.  What stage occurs between A & E?,hf://lmms-lab/ai2d-no-mask/test/000055,0.04686628504213968
ai2d,random_wrong_image,ai2d_test_000006,How many changes are shown in the diagram?,hf://lmms-lab/ai2d-no-mask/test/000006,ai2d_test_000085,what is labeled F?,hf://lmms-lab/ai2d-no-mask/test/000085,0.02032172600402554
ai2d,random_wrong_image,ai2d_test_000006,How many changes are shown in the diagram?,hf://lmms-lab/ai2d-no-mask/test/000006,ai2d_test_000149,Which letter in the given diagram depicts the waning crescent moon phase?,hf://lmms-lab/ai2d-no-mask/test/000149,0.044739297091454265
ai2d,random_wrong_image,ai2d_test_000006,How many changes are shown in the diagram?,hf://lmms-lab/ai2d-no-mask/test/000006,ai2d_test_000197,"From the above food web diagram, what will cause moose to increase",hf://lmms-lab/ai2d-no-mask/test/000197,0.0356619334541843
ai2d,lexical_wrong_image,ai2d_test_000006,How many changes are shown in the diagram?,hf://lmms-lab/ai2d-no-mask/test/000006,ai2d_test_000011,How many changes are shown in the cycle?,hf://lmms-lab/ai2d-no-mask/test/000011,0.5833981195614185
ai2d,lexical_wrong_image,ai2d_test_000006,How many changes are shown in the diagram?,hf://lmms-lab/ai2d-no-mask/test/000006,ai2d_test_000176,How many stages are in this cycle?,hf://lmms-lab/ai2d-no-mask/test/000176,0.3888399045780051
ai2d,lexical_wrong_image,ai2d_test_000006,How many changes are shown in the diagram?,hf://lmms-lab/ai2d-no-mask/test/000006,ai2d_test_000179,How many types of roots are displayed?,hf://lmms-lab/ai2d-no-mask/test/000179,0.29878617209320263
ai2d,lexical_wrong_image,ai2d_test_000006,How many changes are shown in the diagram?,hf://lmms-lab/ai2d-no-mask/test/000006,ai2d_test_000111,How many kids of feet are there?,hf://lmms-lab/ai2d-no-mask/test/000111,0.18818867658194607
ai2d,lexical_wrong_image,ai2d_test_000006,How many changes are shown in the diagram?,hf://lmms-lab/ai2d-no-mask/test/000006,ai2d_test_000053,How long does it take to complete the pupa stage?,hf://lmms-lab/ai2d-no-mask/test/000053,0.15726055525979404
ai2d,same_topic_wrong_image,ai2d_test_000006,How many changes are shown in the diagram?,hf://lmms-lab/ai2d-no-mask/test/000006,ai2d_test_000011,How many changes are shown in the cycle?,hf://lmms-lab/ai2d-no-mask/test/000011,0.5833981195614185
ai2d,same_topic_wrong_image,ai2d_test_000006,How many changes are shown in the diagram?,hf://lmms-lab/ai2d-no-mask/test/000006,ai2d_test_000176,How many stages are in this cycle?,hf://lmms-lab/ai2d-no-mask/test/000176,0.3888399045780051
ai2d,same_topic_wrong_image,ai2d_test_000006,How many changes are shown in the diagram?,hf://lmms-lab/ai2d-no-mask/test/000006,ai2d_test_000179,How many types of roots are displayed?,hf://lmms-lab/ai2d-no-mask/test/000179,0.29878617209320263
ai2d,same_topic_wrong_image,ai2d_test_000006,How many changes are shown in the diagram?,hf://lmms-lab/ai2d-no-mask/test/000006,ai2d_test_000111,How many kids of feet are there?,hf://lmms-lab/ai2d-no-mask/test/000111,0.18818867658194607
