dataset,model,strategy,sample_id,rank,question,topic,skill,target_evidence,top_negative_sample_id,top_negative_topic,top_negative_skill,top_negative_evidence
scienceqa,tfidf,same_topic,r021145,2,Compare the average kinetic energies of the particles in each sample. Which sample has the higher temperature?,physics,Identify how particle motion affects temperature and pressure,"hint: The diagrams below show two pure samples of gas in identical closed, rigid containers. Each colored ball represents one gas particle. Both samples have the same number of particles. lecture: The temperature of a substance depends on the average kinetic energy of the particles in the substance. The higher the average kinetic energy of the particles, the higher the temperature of the substance. The kinetic energy of a particle is determined by its mass and speed. For a pure substance, the gr",r006108,physics,Identify how particle motion affects temperature and pressure,"hint: The diagrams below show two pure samples of gas in identical closed, rigid containers. Each colored ball represents one gas particle. Both samples have the same number of particles. lecture: The temperature of a substance depends on the average kinetic energy of the particles in the substance. The higher the average kinetic energy of the particles, the higher the temperature of the substance. The kinetic energy of a particle is determined by its mass and speed. For a pure substance, the gr"
scienceqa,tfidf,same_topic,r008983,2,Is quartzite a mineral or a rock?,earth-science,Identify rocks and minerals,hint: Quartzite has the following properties: made mostly of quartz not made by living things no fixed crystal structure very hard found in nature solid lecture: Minerals are the building blocks of rocks. A rock can be made of one or more minerals. Minerals and rocks have the following properties: Property | Mineral | Rock It is a solid. | Yes | Yes It is formed in nature. | Yes | Yes It is not made by organisms. | Yes | Yes It is a pure substance. | Yes | No It has a fixed crystal structure. | ,r019894,earth-science,Identify minerals using properties,"lecture: Minerals are the building blocks of rocks. A rock can be made of one or more minerals. Minerals and rocks have the following properties: Property | Mineral | Rock It is a solid. | Yes | Yes It is formed in nature. | Yes | Yes It is not made by organisms. | Yes | Yes It is a pure substance. | Yes | No It has a fixed crystal structure. | Yes | No You can use these properties to tell whether a substance is a mineral, a rock, or neither. Look closely at the last three properties: Minerals a"
scienceqa,tfidf,same_topic,r014530,2,Which continent is highlighted?,geography,Identify oceans and continents,lecture: A continent is one of the seven largest areas of land on earth. solution: This continent is Australia.,r003389,geography,Identify oceans and continents,lecture: A continent is one of the major land masses on the earth. Most people say there are seven continents. solution: This continent is Asia.
scienceqa,tfidf,same_topic,r020673,2,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,physics,Compare magnitudes of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The strength of a force is called its magnitude. The greater the magnitude of the magnetic force between two magnets, the more s",r014839,physics,Compare magnitudes of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The strength of a force is called its magnitude. The greater the magnitude of the magnetic force between two magnets, the more s"
scienceqa,tfidf,same_topic,r000973,2,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,physics,Compare strengths of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The stronger the magnetic force between two magnets, the more strongly the magnets attract or repel each other. You can change t",r015156,physics,Compare strengths of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The stronger the magnetic force between two magnets, the more strongly the magnets attract or repel each other. You can change t"
scienceqa,tfidf,same_topic,r019909,2,"Which figure of speech is used in this text?
Dustin is a real Benedict Arnold. After promising to work on my campaign for class president, he decided to support my opponent.",figurative-language,Classify figures of speech,"lecture: Figures of speech are words or phrases that use language in a nonliteral or unusual way. They can make writing more expressive. Alliteration is the repetition of sounds at the beginning of nearby words. What a lucky little lady you are! An allusion is a brief reference to something or someone well known, often from history or literature. ""I'd better get home before I turn into a pumpkin!"" Lila remarked. An idiom is an expression that cannot be understood literally. Its meaning must be l",r003417,figurative-language,Recall the source of an allusion,"lecture: An allusion is a brief mention of something or someone well known, often from mythology, history, or literature. An allusion lets you reference ideas from an entire story in just a few words. ""I'd better get home before I turn into a pumpkin!"" Lila remarked. Here, Lila alludes to the fairy tale ""Cinderella,"" in which Cinderella must leave the ball before the coach that brought her transforms into a pumpkin. The allusion shows that Lila must depart immediately. solution: The source of th"
scienceqa,tfidf,same_topic,r001189,3,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,physics,Compare magnitudes of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material, but some of them are different sizes and shapes. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The strength of a force is called its magnitude. The greater the magnitude of t",r014839,physics,Compare magnitudes of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The strength of a force is called its magnitude. The greater the magnitude of the magnetic force between two magnets, the more s"
scienceqa,tfidf,same_topic,r000193,4,Which ocean is highlighted?,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Pacific Ocean.",r011779,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Southern Ocean. The Southern Ocean reaches from the shores of Antarctica to 60° South latitude."
scienceqa,tfidf,same_topic,r016895,2,Does this passage describe the weather or the climate?,earth-science,Weather and climate around the world,"hint: Figure: Smethport, Pennsylvania. Northwest Pennsylvania normally receives between two and five inches of precipitation each month of the year. Hint: Weather is what the atmosphere is like at a certain place and time. Climate is the pattern of weather in a certain place. lecture: The atmosphere is the layer of air that surrounds Earth. Both weather and climate tell you about the atmosphere. Weather is what the atmosphere is like at a certain place and time. Weather can change quickly. For e",r019165,earth-science,What's the difference between weather and climate?,"hint: Hint: Weather is what the atmosphere is like at a certain place and time. Climate is the pattern of weather in a certain place. lecture: The atmosphere is the layer of air that surrounds Earth. Both weather and climate tell you about the atmosphere. Weather is what the atmosphere is like at a certain place and time. Weather can change quickly. For example, the temperature outside your house might get higher throughout the day. Climate is the pattern of weather in a certain place. For examp"
scienceqa,tfidf,same_topic,r007478,5,Does this passage describe the weather or the climate?,earth-science,Weather and climate around the world,"hint: Figure: Nassau. Nassau, a city in the Bahamas, has many tourists each winter. On Tuesday, it was too humid for some tourists. Hint: Weather is what the atmosphere is like at a certain place and time. Climate is the pattern of weather in a certain place. lecture: The atmosphere is the layer of air that surrounds Earth. Both weather and climate tell you about the atmosphere. Weather is what the atmosphere is like at a certain place and time. Weather can change quickly. For example, the tempe",r019165,earth-science,What's the difference between weather and climate?,"hint: Hint: Weather is what the atmosphere is like at a certain place and time. Climate is the pattern of weather in a certain place. lecture: The atmosphere is the layer of air that surrounds Earth. Both weather and climate tell you about the atmosphere. Weather is what the atmosphere is like at a certain place and time. Weather can change quickly. For example, the temperature outside your house might get higher throughout the day. Climate is the pattern of weather in a certain place. For examp"
scienceqa,tfidf,same_topic,r006779,3,"Is the following trait inherited or acquired?
Larry has naturally blond hair.",biology,Identify inherited and acquired traits,"lecture: Organisms, including people, have both inherited and acquired traits. Inherited and acquired traits are gained in different ways. Inherited traits are passed down through families. Children gain these traits from their parents. Inherited traits do not need to be learned. Acquired traits are gained during a person's life. Some acquired traits, such as riding a bicycle, are gained by learning. Other acquired traits, such as scars, are caused by the environment. Children do not inherit the",r004585,biology,Inherited and acquired traits: use evidence to support a statement,"hint: Read the description of a trait. Marcy has dark skin. lecture: Organisms, including people, have both inherited and acquired traits. Inherited and acquired traits are gained in different ways. Inherited traits are passed down through families. Children gain these traits from their parents. Inherited traits do not need to be learned. Acquired traits are gained during a person's life. Some acquired traits, such as riding a bicycle, are gained by learning. Other acquired traits, such as scars"
scienceqa,tfidf,same_topic,r019198,4,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,physics,Compare strengths of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The stronger the magnetic force between two magnets, the more strongly the magnets attract or repel each other. solution: Distan",r015156,physics,Compare strengths of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The stronger the magnetic force between two magnets, the more strongly the magnets attract or repel each other. You can change t"
scienceqa,tfidf,same_topic,r016559,2,Which ocean is highlighted?,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Indian Ocean.",r011779,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Southern Ocean. The Southern Ocean reaches from the shores of Antarctica to 60° South latitude."
scienceqa,tfidf,same_topic,r008483,2,Which country is highlighted?,geography,Identify and select countries of the Caribbean,solution: This country is Dominica.,r020236,geography,Identify and select countries of the Caribbean,"solution: This country is the Dominican Republic. Why does the Dominican Republic share its island with another country? The Dominican Republic and Haiti share the island of Hispaniola. It is home to the earliest European settlements in the Americas. Christopher Columbus founded the first European settlement on the island in 1492 during his first voyage across the Atlantic. Though many people lived on the island before Columbus's arrival, European countries quickly began to colonize the island. "
scienceqa,tfidf,same_topic,r004850,2,"Is the following trait inherited or acquired?
Aiden has naturally brown hair.",biology,Identify inherited and acquired traits,"hint: Hint: Some people dye their hair. But this does not change their natural hair color. lecture: Organisms, including people, have both inherited and acquired traits. Inherited and acquired traits are gained in different ways. Inherited traits are passed down through families. Children gain these traits from their parents. Inherited traits do not need to be learned. Acquired traits are gained during a person's life. Some acquired traits, such as riding a bicycle, are gained by learning. Other",r004585,biology,Inherited and acquired traits: use evidence to support a statement,"hint: Read the description of a trait. Marcy has dark skin. lecture: Organisms, including people, have both inherited and acquired traits. Inherited and acquired traits are gained in different ways. Inherited traits are passed down through families. Children gain these traits from their parents. Inherited traits do not need to be learned. Acquired traits are gained during a person's life. Some acquired traits, such as riding a bicycle, are gained by learning. Other acquired traits, such as scars"
scienceqa,tfidf,same_topic,r017606,2,"What kind of sentence is this?
Maureen felt intimidated by the steep cliff that she faced on her first rock-climbing adventure.",punctuation,"Is the sentence declarative, interrogative, imperative, or exclamatory?","lecture: There are four kinds of sentences. A declarative sentence is a statement and always ends with a period. The nurse told Mr. Abrams to roll up his sleeve so that she could check his blood pressure. An imperative sentence makes a request or a demand and usually ends with a period. If a demand shows strong feeling, it can end with an exclamation point. For this assignment, use references to support your claims. Don't drive so quickly in the construction zone! An interrogative sentence asks ",r018123,punctuation,"Is the sentence declarative, interrogative, imperative, or exclamatory?","lecture: There are four kinds of sentences. A declarative sentence is a statement, and it always ends with a period. The nurse told Mr. Abrams to roll up his sleeve so that she could check his blood pressure. An interrogative sentence is a question, and it always ends with a question mark. Do you have any plans for the upcoming weekend? An imperative sentence is a command. It makes a request or tells someone to do something, and it usually ends with a period. If the command shows strong feeling,"
scienceqa,tfidf,same_topic,r004583,3,Which ocean is highlighted?,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Pacific Ocean.",r000907,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Atlantic Ocean."
scienceqa,tfidf,same_topic,r004612,2,What is the name of the colony shown?,us-history,Identify the Thirteen Colonies,solution: The colony is Virginia. The Virginia Colony included land that would later become part of the state of West Virginia. West Virginia was never its own colony.,r014943,us-history,Middle Colonies: founding and government,"hint: In the following questions, you will learn about the origins of the Middle Colonies. The Middle Colonies made up the middle part of the Thirteen Colonies, which were ruled by England in the 1600s and 1700s. The map below shows the Thirteen Colonies in 1750. Look at the map. Then answer the question below. solution: Look at the legend on the map. The rest of the Thirteen Colonies were part of New England or the Southern Colonies."
scienceqa,tfidf,same_topic,r000236,2,Which ocean is highlighted?,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Pacific Ocean.",r011779,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Southern Ocean. The Southern Ocean reaches from the shores of Antarctica to 60° South latitude."
scienceqa,bm25,random,r017439,2,Will these magnets attract or repel each other?,physics,Identify magnets that attract or repel,"hint: Two magnets are placed as shown. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. Whether a magnet attracts or repels other magnets depends on the positions of its poles, or ends. Every magnet has two poles: north and south. Here are some examples of magnets. The north pole of each magnet is labeled N, and the south pole is labeled S. If opposite poles are closest to each other, the magnets attr",r000085,physics,Identify magnets that attract or repel,"hint: Two magnets are placed as shown. Hint: Magnets that attract pull together. Magnets that repel push apart. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. Whether a magnet attracts or repels other magnets depends on the positions of its poles, or ends. Every magnet has two poles, called north and south. Here are some examples of magnets. The north pole of each magnet is marked N, and the south p"
scienceqa,bm25,random,r019198,2,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,physics,Compare strengths of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The stronger the magnetic force between two magnets, the more strongly the magnets attract or repel each other. solution: Distan",r008174,physics,Compare magnitudes of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material, but some of them are different sizes. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The strength of a force is called its magnitude. The greater the magnitude of the magnetic"
scienceqa,bm25,same_subject,r000973,2,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,physics,Compare strengths of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The stronger the magnetic force between two magnets, the more strongly the magnets attract or repel each other. You can change t",r015156,physics,Compare strengths of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The stronger the magnetic force between two magnets, the more strongly the magnets attract or repel each other. You can change t"
scienceqa,bm25,same_subject,r001925,2,Which country is highlighted?,geography,Identify and select countries of Oceania,solution: This country is Samoa.,r020236,geography,Identify and select countries of the Caribbean,"solution: This country is the Dominican Republic. Why does the Dominican Republic share its island with another country? The Dominican Republic and Haiti share the island of Hispaniola. It is home to the earliest European settlements in the Americas. Christopher Columbus founded the first European settlement on the island in 1492 during his first voyage across the Atlantic. Though many people lived on the island before Columbus's arrival, European countries quickly began to colonize the island. "
scienceqa,bm25,same_subject,r000193,4,Which ocean is highlighted?,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Pacific Ocean.",r011779,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Southern Ocean. The Southern Ocean reaches from the shores of Antarctica to 60° South latitude."
scienceqa,bm25,same_subject,r017614,2,Which solution has a higher concentration of blue particles?,chemistry,Compare concentrations of solutions,"hint: The diagram below is a model of two solutions. Each blue ball represents one particle of solute. lecture: A solution is made up of two or more substances that are completely mixed. In a solution, solute particles are mixed into a solvent. The solute cannot be separated from the solvent by a filter. For example, if you stir a spoonful of salt into a cup of water, the salt will mix into the water to make a saltwater solution. In this case, the salt is the solute. The water is the solvent. Th",r014198,chemistry,Compare concentrations of solutions,"hint: The diagram below is a model of two solutions. Each pink ball represents one particle of solute. lecture: A solution is made up of two or more substances that are completely mixed. In a solution, solute particles are mixed into a solvent. The solute cannot be separated from the solvent by a filter. For example, if you stir a spoonful of salt into a cup of water, the salt will mix into the water to make a saltwater solution. In this case, the salt is the solute. The water is the solvent. Th"
scienceqa,bm25,same_subject,r007478,3,Does this passage describe the weather or the climate?,earth-science,Weather and climate around the world,"hint: Figure: Nassau. Nassau, a city in the Bahamas, has many tourists each winter. On Tuesday, it was too humid for some tourists. Hint: Weather is what the atmosphere is like at a certain place and time. Climate is the pattern of weather in a certain place. lecture: The atmosphere is the layer of air that surrounds Earth. Both weather and climate tell you about the atmosphere. Weather is what the atmosphere is like at a certain place and time. Weather can change quickly. For example, the tempe",r016895,earth-science,Weather and climate around the world,"hint: Figure: Smethport, Pennsylvania. Northwest Pennsylvania normally receives between two and five inches of precipitation each month of the year. Hint: Weather is what the atmosphere is like at a certain place and time. Climate is the pattern of weather in a certain place. lecture: The atmosphere is the layer of air that surrounds Earth. Both weather and climate tell you about the atmosphere. Weather is what the atmosphere is like at a certain place and time. Weather can change quickly. For e"
scienceqa,bm25,same_subject,r019198,2,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,physics,Compare strengths of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The stronger the magnetic force between two magnets, the more strongly the magnets attract or repel each other. solution: Distan",r008174,physics,Compare magnitudes of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material, but some of them are different sizes. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The strength of a force is called its magnitude. The greater the magnitude of the magnetic"
scienceqa,bm25,same_subject,r016559,2,Which ocean is highlighted?,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Indian Ocean.",r011779,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Southern Ocean. The Southern Ocean reaches from the shores of Antarctica to 60° South latitude."
scienceqa,bm25,same_subject,r000907,2,Which ocean is highlighted?,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Atlantic Ocean.",r011779,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Southern Ocean. The Southern Ocean reaches from the shores of Antarctica to 60° South latitude."
scienceqa,bm25,same_subject,r000236,2,Which ocean is highlighted?,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Pacific Ocean.",r011779,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Southern Ocean. The Southern Ocean reaches from the shores of Antarctica to 60° South latitude."
