source_concept_id,target_concept_id,relation,source
subject:social_science,grade:grade5,parent_of,scienceqa_metadata
topic:biology,category:classification,parent_of,scienceqa_metadata
category:classification,skill:identify_mammals_birds_fish_reptiles_and_amphibians,parent_of,scienceqa_metadata
category:units_and_measurement,skill:choose_metric_units_of_distance_mass_and_volume,parent_of,scienceqa_metadata
topic:chemistry,category:atoms_and_molecules,parent_of,scienceqa_metadata
category:atoms_and_molecules,skill:classify_elementary_substances_and_compounds_using_models,parent_of,scienceqa_metadata
subject:social_science,topic:economics,parent_of,scienceqa_metadata
topic:economics,category:basic_economic_principles,parent_of,scienceqa_metadata
category:basic_economic_principles,skill:trade_and_specialization,parent_of,scienceqa_metadata
subject:social_science,grade:grade8,parent_of,scienceqa_metadata
category:classification,skill:identify_living_and_nonliving_things,parent_of,scienceqa_metadata
topic:biology,category:animals,parent_of,scienceqa_metadata
category:animals,skill:human_organs_and_their_functions,parent_of,scienceqa_metadata
category:genes_to_traits,skill:use_punnett_squares_to_calculate_ratios_of_offspring_types,parent_of,scienceqa_metadata
topic:physics,category:heat_and_thermal_energy,parent_of,scienceqa_metadata
category:heat_and_thermal_energy,skill:how_is_temperature_related_to_thermal_energy,parent_of,scienceqa_metadata
subject:language_science,topic:reference_skills,parent_of,scienceqa_metadata
topic:reference_skills,category:reference_skills,parent_of,scienceqa_metadata
category:reference_skills,skill:use_guide_words,parent_of,scienceqa_metadata
subject:language_science,grade:grade4,parent_of,scienceqa_metadata
category:designing_experiments,skill:identify_questions_that_can_be_investigated_with_a_set_of_materials,parent_of,scienceqa_metadata
category:genes_to_traits,skill:genetics_vocabulary_genotype_and_phenotype,parent_of,scienceqa_metadata
category:states_of_matter,skill:classify_matter_as_solid_or_liquid,parent_of,scienceqa_metadata
topic:biology,category:adaptations,parent_of,scienceqa_metadata
category:adaptations,skill:animal_adaptations_feet_and_limbs,parent_of,scienceqa_metadata
subject:language_science,topic:phonological_awareness,parent_of,scienceqa_metadata
topic:phonological_awareness,category:rhyming,parent_of,scienceqa_metadata
category:rhyming,skill:which_word_does_not_rhyme,parent_of,scienceqa_metadata
subject:language_science,topic:grammar,parent_of,scienceqa_metadata
topic:grammar,category:sentences_fragments_and_run_ons,parent_of,scienceqa_metadata
category:sentences_fragments_and_run_ons,skill:is_the_sentence_simple_or_compound,parent_of,scienceqa_metadata
subject:language_science,grade:grade3,parent_of,scienceqa_metadata
topic:writing_strategies,category:sentences_fragments_and_run_ons,parent_of,scienceqa_metadata
category:sentences_fragments_and_run_ons,skill:identify_run_on_sentences,parent_of,scienceqa_metadata
subject:language_science,grade:grade12,parent_of,scienceqa_metadata
category:designing_experiments,skill:identify_independent_and_dependent_variables,parent_of,scienceqa_metadata
topic:economics,category:supply_and_demand,parent_of,scienceqa_metadata
category:supply_and_demand,skill:understand_overall_supply_and_demand,parent_of,scienceqa_metadata
subject:language_science,grade:grade7,parent_of,scienceqa_metadata
topic:writing_strategies,category:opinion_writing,parent_of,scienceqa_metadata
category:opinion_writing,skill:distinguish_facts_from_opinions,parent_of,scienceqa_metadata
subject:natural_science,topic:earth_science,parent_of,scienceqa_metadata
topic:earth_science,category:weather_and_climate,parent_of,scienceqa_metadata
category:weather_and_climate,skill:what_s_the_difference_between_weather_and_climate,parent_of,scienceqa_metadata
category:magnets,skill:compare_magnitudes_of_magnetic_forces,parent_of,scienceqa_metadata
category:states_of_matter,skill:classify_matter_as_solid_liquid_or_gas,parent_of,scienceqa_metadata
topic:units_and_measurement,category:weather_and_climate,parent_of,scienceqa_metadata
category:weather_and_climate,skill:read_a_thermometer,parent_of,scienceqa_metadata
category:sentences_fragments_and_run_ons,skill:is_the_sentence_simple_compound_or_complex,parent_of,scienceqa_metadata
subject:language_science,grade:grade5,parent_of,scienceqa_metadata
subject:language_science,grade:grade8,parent_of,scienceqa_metadata
subject:language_science,topic:punctuation,parent_of,scienceqa_metadata
topic:punctuation,category:formatting,parent_of,scienceqa_metadata
category:formatting,skill:greetings_and_closings_of_letters,parent_of,scienceqa_metadata
topic:physics,category:velocity_acceleration_and_forces,parent_of,scienceqa_metadata
category:velocity_acceleration_and_forces,skill:balanced_and_unbalanced_forces,parent_of,scienceqa_metadata
topic:writing_strategies,category:developing_and_supporting_arguments,parent_of,scienceqa_metadata
category:developing_and_supporting_arguments,skill:distinguish_facts_from_opinions,parent_of,scienceqa_metadata
subject:social_science,grade:grade4,parent_of,scienceqa_metadata
category:state_capitals,skill:identify_state_capitals_of_the_northeast,parent_of,scienceqa_metadata
category:literary_devices,skill:classify_the_figure_of_speech_review,parent_of,scienceqa_metadata
topic:chemistry,category:chemical_reactions,parent_of,scienceqa_metadata
category:chemical_reactions,skill:identify_reactants_and_products,parent_of,scienceqa_metadata
topic:biology,category:plant_reproduction,parent_of,scienceqa_metadata
category:plant_reproduction,skill:angiosperm_and_conifer_life_cycles,parent_of,scienceqa_metadata
subject:social_science,grade:grade6,parent_of,scienceqa_metadata
category:literary_devices,skill:classify_the_figure_of_speech_euphemism_hyperbole_oxymoron_paradox,parent_of,scienceqa_metadata
topic:physics,category:kinetic_and_potential_energy,parent_of,scienceqa_metadata
category:kinetic_and_potential_energy,skill:identify_changes_in_gravitational_potential_energy,parent_of,scienceqa_metadata
subject:language_science,topic:capitalization,parent_of,scienceqa_metadata
topic:capitalization,category:capitalization,parent_of,scienceqa_metadata
category:capitalization,skill:greetings_and_closings_of_letters,parent_of,scienceqa_metadata
category:classification,skill:identify_vertebrates_and_invertebrates,parent_of,scienceqa_metadata
topic:biology,category:ecosystems,parent_of,scienceqa_metadata
category:ecosystems,skill:identify_roles_in_food_chains,parent_of,scienceqa_metadata
category:chemical_reactions,skill:compare_physical_and_chemical_changes,parent_of,scienceqa_metadata
topic:writing_strategies,category:word_usage_and_nuance,parent_of,scienceqa_metadata
category:word_usage_and_nuance,skill:explore_words_with_new_or_contested_usages,parent_of,scienceqa_metadata
subject:language_science,grade:grade10,parent_of,scienceqa_metadata
topic:physics,category:force_and_motion,parent_of,scienceqa_metadata
category:force_and_motion,skill:compare_the_speeds_of_moving_objects,parent_of,scienceqa_metadata
category:magnets,skill:identify_magnets_that_attract_or_repel,parent_of,scienceqa_metadata
topic:writing_strategies,category:author_s_purpose_and_tone,parent_of,scienceqa_metadata
category:author_s_purpose_and_tone,skill:which_sentence_is_more_formal,parent_of,scienceqa_metadata
topic:geography,category:the_americas_geography,parent_of,scienceqa_metadata
category:the_americas_geography,skill:identify_and_select_countries_of_the_caribbean,parent_of,scienceqa_metadata
subject:social_science,grade:grade7,parent_of,scienceqa_metadata
subject:social_science,topic:us_history,parent_of,scienceqa_metadata
topic:us_history,category:colonial_america,parent_of,scienceqa_metadata
category:colonial_america,skill:identify_the_thirteen_colonies,parent_of,scienceqa_metadata
category:literary_devices,skill:interpret_figures_of_speech,parent_of,scienceqa_metadata
subject:language_science,grade:grade6,parent_of,scienceqa_metadata
topic:science_and_engineering_practices,category:engineering_practices,parent_of,scienceqa_metadata
category:engineering_practices,skill:evaluate_tests_of_engineering_design_solutions,parent_of,scienceqa_metadata
category:sentences_fragments_and_run_ons,skill:is_it_a_complete_sentence_a_fragment_or_a_run_on,parent_of,scienceqa_metadata
category:atoms_and_molecules,skill:identify_chemical_formulas_for_ball_and_stick_models,parent_of,scienceqa_metadata
topic:physics,category:thermal_energy,parent_of,scienceqa_metadata
category:thermal_energy,skill:how_are_temperature_and_mass_related_to_thermal_energy,parent_of,scienceqa_metadata
category:thermal_energy,skill:compare_thermal_energy_transfers,parent_of,scienceqa_metadata
topic:writing_strategies,category:creative_techniques,parent_of,scienceqa_metadata
category:creative_techniques,skill:use_personification,parent_of,scienceqa_metadata
topic:geography,category:cities,parent_of,scienceqa_metadata
category:cities,skill:cities_of_the_northeast,parent_of,scienceqa_metadata
topic:biology,category:classification_and_scientific_names,parent_of,scienceqa_metadata
category:classification_and_scientific_names,skill:use_scientific_names_to_classify_organisms,parent_of,scienceqa_metadata
category:units_and_measurement,skill:choose_customary_units_of_volume,parent_of,scienceqa_metadata
category:literary_devices,skill:classify_figures_of_speech,parent_of,scienceqa_metadata
category:force_and_motion,skill:how_do_mass_and_force_affect_motion,parent_of,scienceqa_metadata
category:force_and_motion,skill:identify_pushes_and_pulls,parent_of,scienceqa_metadata
category:ecosystems,skill:describe_ecosystems,parent_of,scienceqa_metadata
topic:economics,category:economics,parent_of,scienceqa_metadata
category:economics,skill:goods_and_services,parent_of,scienceqa_metadata
topic:biology,category:scientific_names,parent_of,scienceqa_metadata
category:scientific_names,skill:origins_of_scientific_names,parent_of,scienceqa_metadata
category:traits_and_heredity,skill:identify_inherited_and_acquired_traits,parent_of,scienceqa_metadata
category:adaptations,skill:animal_adaptations_beaks_mouths_and_necks,parent_of,scienceqa_metadata
topic:geography,category:maps,parent_of,scienceqa_metadata
category:maps,skill:read_a_map_cardinal_directions,parent_of,scienceqa_metadata
category:units_and_measurement,skill:choose_metric_units_of_distance,parent_of,scienceqa_metadata
category:genes_to_traits,skill:inherited_and_acquired_traits_use_evidence_to_support_a_statement,parent_of,scienceqa_metadata
category:formatting,skill:formatting_titles,parent_of,scienceqa_metadata
category:velocity_acceleration_and_forces,skill:compare_magnitudes_of_magnetic_forces,parent_of,scienceqa_metadata
topic:earth_science,category:fossils,parent_of,scienceqa_metadata
category:fossils,skill:compare_ages_of_fossils_in_a_rock_sequence,parent_of,scienceqa_metadata
category:units_and_measurement,skill:choose_metric_units_of_mass,parent_of,scienceqa_metadata
category:materials,skill:compare_properties_of_materials,parent_of,scienceqa_metadata
subject:language_science,topic:reading_comprehension,parent_of,scienceqa_metadata
topic:reading_comprehension,category:independent_reading_comprehension,parent_of,scienceqa_metadata
category:independent_reading_comprehension,skill:read_and_understand_informational_passages,parent_of,scienceqa_metadata
topic:geography,category:oceans_and_continents,parent_of,scienceqa_metadata
category:oceans_and_continents,skill:identify_oceans_and_continents,parent_of,scienceqa_metadata
topic:geography,category:physical_geography,parent_of,scienceqa_metadata
category:physical_geography,skill:oceans_and_continents,parent_of,scienceqa_metadata
category:materials,skill:identify_multiple_materials_in_objects,parent_of,scienceqa_metadata
topic:biology,category:photosynthesis,parent_of,scienceqa_metadata
category:photosynthesis,skill:identify_the_photosynthetic_organism,parent_of,scienceqa_metadata
category:plants,skill:classify_fruits_and_vegetables_as_plant_parts,parent_of,scienceqa_metadata
topic:geography,category:oceania_geography,parent_of,scienceqa_metadata
category:oceania_geography,skill:identify_and_select_countries_of_oceania,parent_of,scienceqa_metadata
topic:punctuation,category:sentences_fragments_and_run_ons,parent_of,scienceqa_metadata
category:sentences_fragments_and_run_ons,skill:is_the_sentence_declarative_interrogative_imperative_or_exclamatory,parent_of,scienceqa_metadata
category:scientific_names,skill:use_scientific_names_to_classify_organisms,parent_of,scienceqa_metadata
topic:earth_science,category:rocks_and_minerals,parent_of,scienceqa_metadata
category:rocks_and_minerals,skill:identify_rocks_and_minerals,parent_of,scienceqa_metadata
category:state_capitals,skill:identify_state_capitals_of_the_midwest,parent_of,scienceqa_metadata
category:weather_and_climate,skill:weather_and_climate_around_the_world,parent_of,scienceqa_metadata
category:literary_devices,skill:recall_the_source_of_an_allusion,parent_of,scienceqa_metadata
category:units_and_measurement,skill:choose_units_of_time,parent_of,scienceqa_metadata
topic:writing_strategies,category:audience_purpose_and_tone,parent_of,scienceqa_metadata
category:audience_purpose_and_tone,skill:which_text_is_most_formal,parent_of,scienceqa_metadata
topic:capitalization,category:formatting,parent_of,scienceqa_metadata
category:formatting,skill:capitalizing_titles,parent_of,scienceqa_metadata
category:basic_economic_principles,skill:costs_and_benefits,parent_of,scienceqa_metadata
category:classification,skill:use_evidence_to_classify_mammals_birds_fish_reptiles_and_amphibians,parent_of,scienceqa_metadata
category:geography,skill:use_a_letter_number_grid,parent_of,scienceqa_metadata
category:plant_reproduction,skill:moss_and_fern_life_cycles,parent_of,scienceqa_metadata
category:units_and_measurement,skill:choose_customary_units_of_mass,parent_of,scienceqa_metadata
category:classification,skill:identify_animals_with_and_without_backbones,parent_of,scienceqa_metadata
category:state_capitals,skill:identify_state_capitals_of_the_west,parent_of,scienceqa_metadata
topic:earth_science,category:astronomy,parent_of,scienceqa_metadata
category:astronomy,skill:analyze_data_to_compare_properties_of_planets,parent_of,scienceqa_metadata
category:rocks_and_minerals,skill:identify_minerals_using_properties,parent_of,scienceqa_metadata
category:developing_and_supporting_arguments,skill:classify_logical_fallacies,parent_of,scienceqa_metadata
topic:writing_strategies,category:pronouns_and_antecedents,parent_of,scienceqa_metadata
category:pronouns_and_antecedents,skill:identify_vague_pronoun_references,parent_of,scienceqa_metadata
category:atoms_and_molecules,skill:classify_elementary_substances_and_compounds_using_chemical_formulas,parent_of,scienceqa_metadata
category:atoms_and_molecules,skill:identify_elementary_substances_and_compounds_using_models,parent_of,scienceqa_metadata
category:weather_and_climate,skill:identify_and_compare_air_masses,parent_of,scienceqa_metadata
category:scientific_names,skill:identify_common_and_scientific_names,parent_of,scienceqa_metadata
topic:geography,category:states,parent_of,scienceqa_metadata
category:states,skill:identify_the_50_states,parent_of,scienceqa_metadata
category:velocity_acceleration_and_forces,skill:predict_forces_using_newton_s_third_law,parent_of,scienceqa_metadata
category:literary_devices,skill:classify_figures_of_speech_euphemism_hyperbole_oxymoron_paradox,parent_of,scienceqa_metadata
category:maps,skill:use_lines_of_latitude_and_longitude,parent_of,scienceqa_metadata
category:chemical_reactions,skill:describe_energy_changes_in_chemical_reactions,parent_of,scienceqa_metadata
category:cities,skill:cities_of_the_west,parent_of,scienceqa_metadata
topic:earth_science,category:earth_events,parent_of,scienceqa_metadata
category:earth_events,skill:classify_changes_to_earth_s_surface,parent_of,scienceqa_metadata
subject:social_science,topic:world_history,parent_of,scienceqa_metadata
topic:world_history,category:early_modern_europe,parent_of,scienceqa_metadata
category:early_modern_europe,skill:the_reformation,parent_of,scienceqa_metadata
topic:writing_strategies,category:visual_elements,parent_of,scienceqa_metadata
category:visual_elements,skill:read_graphic_organizers,parent_of,scienceqa_metadata
category:adaptations,skill:animal_adaptations_skins_and_body_coverings,parent_of,scienceqa_metadata
category:ecological_interactions,skill:interpret_food_webs_i,parent_of,scienceqa_metadata
category:heat_and_thermal_energy,skill:how_are_temperature_and_mass_related_to_thermal_energy,parent_of,scienceqa_metadata
category:solutions,skill:diffusion_across_membranes,parent_of,scienceqa_metadata
topic:physics,category:mixtures,parent_of,scienceqa_metadata
category:mixtures,skill:identify_mixtures,parent_of,scienceqa_metadata
category:classification,skill:use_evidence_to_classify_animals,parent_of,scienceqa_metadata
category:atoms_and_molecules,skill:match_chemical_formulas_to_ball_and_stick_models,parent_of,scienceqa_metadata
topic:biology,category:cells,parent_of,scienceqa_metadata
category:cells,skill:compare_cells_and_cell_parts,parent_of,scienceqa_metadata
category:fossils,skill:compare_fossils_to_modern_organisms,parent_of,scienceqa_metadata
category:ecosystems,skill:interpret_food_webs,parent_of,scienceqa_metadata
category:rocks_and_minerals,skill:classify_rocks_as_igneous_sedimentary_or_metamorphic,parent_of,scienceqa_metadata
topic:us_history,category:historical_figures,parent_of,scienceqa_metadata
category:historical_figures,skill:cesar_chavez,parent_of,scienceqa_metadata
category:classification_and_scientific_names,skill:identify_common_and_scientific_names,parent_of,scienceqa_metadata
subject:social_science,topic:civics,parent_of,scienceqa_metadata
topic:civics,category:social_studies_skills,parent_of,scienceqa_metadata
category:social_studies_skills,skill:identify_facts_and_opinions,parent_of,scienceqa_metadata
category:materials,skill:identify_materials_in_objects,parent_of,scienceqa_metadata
category:units_and_measurement,skill:estimate_temperatures,parent_of,scienceqa_metadata
category:force_and_motion,skill:identify_directions_of_forces,parent_of,scienceqa_metadata
category:classification,skill:describe_classify_and_compare_kingdoms,parent_of,scienceqa_metadata
category:cities,skill:major_u_s_cities,parent_of,scienceqa_metadata
topic:us_history,category:english_colonies_in_north_america,parent_of,scienceqa_metadata
category:english_colonies_in_north_america,skill:identify_the_thirteen_colonies,parent_of,scienceqa_metadata
topic:grammar,category:phrases_and_clauses,parent_of,scienceqa_metadata
category:phrases_and_clauses,skill:is_the_sentence_simple_compound_complex_or_compound_complex,parent_of,scienceqa_metadata
category:cities,skill:cities_of_the_midwest,parent_of,scienceqa_metadata
topic:world_history,category:world_religions,parent_of,scienceqa_metadata
category:world_religions,skill:origins_of_judaism,parent_of,scienceqa_metadata
category:classification,skill:identify_plants_and_animals,parent_of,scienceqa_metadata
category:units_and_measurement,skill:choose_customary_units_of_distance_mass_and_volume,parent_of,scienceqa_metadata
category:ecosystems,skill:interpret_food_webs_ii,parent_of,scienceqa_metadata
category:literary_devices,skill:interpret_the_figure_of_speech,parent_of,scienceqa_metadata
category:cells,skill:cell_part_functions_true_or_false,parent_of,scienceqa_metadata
category:earth_events,skill:classify_changes_to_earth_s_surface_ii,parent_of,scienceqa_metadata
topic:writing_strategies,category:descriptive_details,parent_of,scienceqa_metadata
category:descriptive_details,skill:choose_the_sensory_details_that_match_the_picture,parent_of,scienceqa_metadata
category:literary_devices,skill:identify_similes_and_metaphors,parent_of,scienceqa_metadata
category:supply_and_demand,skill:identify_shortage_and_surplus,parent_of,scienceqa_metadata
topic:writing_strategies,category:persuasive_strategies,parent_of,scienceqa_metadata
category:persuasive_strategies,skill:identify_appeals_to_ethos_pathos_and_logos_in_advertisements,parent_of,scienceqa_metadata
category:earth_events,skill:classify_changes_to_earth_s_surface_i,parent_of,scienceqa_metadata
topic:us_history,category:the_civil_war_and_reconstruction,parent_of,scienceqa_metadata
category:the_civil_war_and_reconstruction,skill:the_civil_war_the_beginning_of_the_war,parent_of,scienceqa_metadata
category:basic_economic_principles,skill:goods_and_services,parent_of,scienceqa_metadata
category:cities,skill:cities_of_the_southeast,parent_of,scienceqa_metadata
subject:language_science,topic:vocabulary,parent_of,scienceqa_metadata
topic:vocabulary,category:comprehension_strategies,parent_of,scienceqa_metadata
category:comprehension_strategies,skill:what_am_i,parent_of,scienceqa_metadata
subject:language_science,grade:grade1,parent_of,scienceqa_metadata
category:earth_events,skill:find_evidence_of_changes_to_earth_s_surface,parent_of,scienceqa_metadata
category:ecosystems,skill:interpret_food_webs_i,parent_of,scienceqa_metadata
topic:us_history,category:the_jacksonian_period,parent_of,scienceqa_metadata
category:the_jacksonian_period,skill:tariff_nullification_and_bank_war,parent_of,scienceqa_metadata
topic:civics,category:government,parent_of,scienceqa_metadata
category:government,skill:state_and_local_government,parent_of,scienceqa_metadata
category:sentences_fragments_and_run_ons,skill:identify_sentence_fragments,parent_of,scienceqa_metadata
category:states_of_matter,skill:identify_solids_liquids_and_gases,parent_of,scienceqa_metadata
subject:natural_science,topic:literacy_in_science,parent_of,scienceqa_metadata
topic:literacy_in_science,category:animals,parent_of,scienceqa_metadata
category:animals,skill:seed_disperser_african_elephant,parent_of,scienceqa_metadata
category:animals,skill:body_parts_and_their_functions,parent_of,scienceqa_metadata
topic:reading_comprehension,category:analyzing_literature,parent_of,scienceqa_metadata
category:analyzing_literature,skill:identify_elements_of_poetry,parent_of,scienceqa_metadata
category:ecosystems,skill:identify_ecosystems,parent_of,scienceqa_metadata
topic:literacy_in_science,category:adaptations_and_natural_selection,parent_of,scienceqa_metadata
category:adaptations_and_natural_selection,skill:how_can_animal_behaviors_affect_reproductive_success_identify_evidence_to_suppor,parent_of,scienceqa_metadata
category:weather_and_climate,skill:use_climate_data_to_make_predictions,parent_of,scienceqa_metadata
category:astronomy,skill:identify_phases_of_the_moon,parent_of,scienceqa_metadata
category:designing_experiments,skill:identify_control_and_experimental_groups,parent_of,scienceqa_metadata
topic:reference_skills,category:research_skills,parent_of,scienceqa_metadata
category:research_skills,skill:understand_a_works_cited_entry_mla_7th_edition,parent_of,scienceqa_metadata
category:states_of_matter,skill:identify_and_sort_solids_liquids_and_gases,parent_of,scienceqa_metadata
subject:language_science,topic:word_study,parent_of,scienceqa_metadata
topic:word_study,category:short_and_long_vowels,parent_of,scienceqa_metadata
category:short_and_long_vowels,skill:is_the_syllable_open_or_closed,parent_of,scienceqa_metadata
topic:world_history,category:early_china,parent_of,scienceqa_metadata
category:early_china,skill:science_and_technology_in_early_china,parent_of,scienceqa_metadata
topic:vocabulary,category:categories,parent_of,scienceqa_metadata
category:categories,skill:select_the_words_that_don_t_belong,parent_of,scienceqa_metadata
category:cells,skill:understanding_cells,parent_of,scienceqa_metadata
topic:us_history,category:reconstruction,parent_of,scienceqa_metadata
category:reconstruction,skill:the_end_of_reconstruction_and_the_rise_of_jim_crow,parent_of,scienceqa_metadata
category:literary_devices,skill:classify_the_figure_of_speech_anaphora_antithesis_apostrophe_assonance_chiasmus_,parent_of,scienceqa_metadata
category:rocks_and_minerals,skill:identify_rocks_using_properties,parent_of,scienceqa_metadata
topic:word_study,category:domain_specific_vocabulary,parent_of,scienceqa_metadata
category:domain_specific_vocabulary,skill:determine_the_meaning_of_domain_specific_words_with_pictures,parent_of,scienceqa_metadata
category:units_and_measurement,skill:choose_customary_units_of_distance,parent_of,scienceqa_metadata
topic:reading_comprehension,category:read_alone_texts,parent_of,scienceqa_metadata
category:read_alone_texts,skill:read_passages_about_animals,parent_of,scienceqa_metadata
category:government,skill:the_bill_of_rights,parent_of,scienceqa_metadata
category:animals,skill:seed_disperser_eurasian_red_squirrel,parent_of,scienceqa_metadata
category:geography,skill:identify_oceans_and_continents,parent_of,scienceqa_metadata
topic:us_history,category:the_american_revolution,parent_of,scienceqa_metadata
category:the_american_revolution,skill:causes_of_the_american_revolution_the_french_and_indian_war,parent_of,scienceqa_metadata
topic:reading_comprehension,category:poetry_elements,parent_of,scienceqa_metadata
category:poetry_elements,skill:identify_elements_of_poetry,parent_of,scienceqa_metadata
topic:earth_science,category:plate_tectonics,parent_of,scienceqa_metadata
category:plate_tectonics,skill:describe_tectonic_plate_boundaries_around_the_world,parent_of,scienceqa_metadata
topic:us_history,category:the_early_republic,parent_of,scienceqa_metadata
category:the_early_republic,skill:the_louisiana_purchase,parent_of,scienceqa_metadata
topic:world_history,category:greece,parent_of,scienceqa_metadata
category:greece,skill:classical_athens_geography_and_society,parent_of,scienceqa_metadata
category:capitalization,skill:capitalizing_titles,parent_of,scienceqa_metadata
category:plants,skill:describe_and_construct_conifer_life_cycles,parent_of,scienceqa_metadata
category:sentences_fragments_and_run_ons,skill:is_it_a_complete_sentence_or_a_run_on,parent_of,scienceqa_metadata
category:atoms_and_molecules,skill:identify_elementary_substances_and_compounds_using_chemical_formulas,parent_of,scienceqa_metadata
topic:vocabulary,category:shades_of_meaning,parent_of,scienceqa_metadata
category:shades_of_meaning,skill:positive_and_negative_connotation,parent_of,scienceqa_metadata
category:government,skill:local_government,parent_of,scienceqa_metadata
subject:social_science,topic:culture,parent_of,scienceqa_metadata
topic:culture,category:cultural_celebrations,parent_of,scienceqa_metadata
category:cultural_celebrations,skill:christmas,parent_of,scienceqa_metadata
subject:language_science,topic:pronouns,parent_of,scienceqa_metadata
topic:pronouns,category:pronouns_and_antecedents,parent_of,scienceqa_metadata
topic:world_history,category:early_americas,parent_of,scienceqa_metadata
category:early_americas,skill:foundations_of_aztec_civilization,parent_of,scienceqa_metadata
topic:vocabulary,category:context_clues,parent_of,scienceqa_metadata
