annotation_id,human_label,label_confidence,suggested_missing_type,subject,topic,skill,question,choices,label_note
mt0041,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the bird.,brown pelican | spotted dolphin | zebra | great white shark,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0042,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Compare plant and animal cells,Which of the following parts does an animal cell have?,chloroplasts | vacuole,"AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0053,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Identify functions of plant cell parts,Select the part whose main job is to help a plant cell make proteins.,cytoplasm | endoplasmic reticulum | mitochondria | cell wall,"AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0055,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Identify ecosystems,Select the desert ecosystem.,"This ecosystem has:
a small amount of rain
dry, thin soil
many different types of organisms | This ecosystem has:
land that is covered with water during most of the year
soil that is rich in nutrients
other water ecosystems nearby","AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0062,ambiguous,0.62,ambiguous_missing_candidate,natural science,chemistry,Understanding the chemistry of cellular respiration,All organisms need food for energy. But how does an organism's body actually get energy out of food? Select the true statement.,Breaking down molecules can release energy. | Cells usually take in large food molecules.,"AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0067,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Body systems: perception and motion,Which of these might be part of an animal's skeletal system?,hair | tendons and ligaments | the liver and kidneys,"AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0073,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the reptile.,Japanese tree frog | fruit bat | eagle ray | salt water crocodile,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0074,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the bird.,shoebill | coral snake | poison dart frog | bison,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0082,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the reptile.,coral snake | humpback whale | California toad | tiger salamander,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0088,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Identify ecosystems,Select the deep sea ecosystem.,"This ecosystem has:
water at the bottom of the ocean
no sunlight
organisms that crawl or stick to the ground | This ecosystem has:
shallow, salty water
bright sunlight
many different types of organisms","AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0094,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the mammal.,box turtle | painted stork | robin | sugar glider,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0095,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the amphibian.,black howler | red-headed poison frog | salmon | thresher shark,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0096,accidental_missing,0.90,ambiguous_missing_candidate,social science,economics,What is economics?,Which of the things shown below is a need?,A costume | Food,"AUTO: accidental_missing; explicit visual/material cue ""shown below"" but has_image=0."
mt0099,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Identify ecosystems,Select the estuary ecosystem.,"This ecosystem has:
a mix of fresh and salty water
muddy soil that is rich in nutrients
many different types of organisms | This ecosystem has:
daily flooding and draining of seawater
water that is rich in nutrients
many different types of organisms","AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0104,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,"Structure and function: carbohydrates, lipids, proteins, and nucleic acids",Which of the following is a primary function of carbohydrates?,to store the information needed for an organism's growth and development | to supply energy for a cell's immediate use | to control chemical reactions,"AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0107,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Identify functions of plant cell parts,Select the part whose main job is to sort and package proteins and other substances in a plant cell.,nucleus | cell wall | mitochondria | Golgi,"AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0109,structural_absence,0.78,ambiguous_missing_candidate,natural science,biology,Describe and construct conifer life cycles,Complete the sentence. A seedling is ().,a young plant | a plant that makes seeds | a part of a seed,"AUTO: structural_absence; skill/category is primarily text, fact, unit, formula, or source reasoning."
mt0111,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the bird.,sea otter | western toad | salmon | common crane,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0121,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Describe and construct conifer life cycles,"Which word means a small, young plant?",seedling | germination | chlorophyll,"AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0129,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Identify functions of animal cell parts,Select the part whose main job is to break down worn-out cell parts and other waste in an animal cell.,cytoplasm | chromosomes | lysosomes | endoplasmic reticulum,"AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0137,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the amphibian.,fire salamander | gharial | green moray eel | whale shark,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0138,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the amphibian.,loon | giraffe | tiger salamander | seahorse,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0140,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the amphibian.,horned frog | robin | sugar glider | ostrich,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0144,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the fish.,African bullfrog | blue-footed booby | African elephant | green moray eel,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0145,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Describe and construct flowering plant life cycles,What can seeds look like?,"Seeds are always round and black. | Seeds are always small and flat. | Seeds can come in many shapes, colors, and sizes.","AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0146,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Describe and construct conifer life cycles,What can a fertilized egg become?,a cone | a seed | pollen,"AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0148,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Identify functions of animal cell parts,Select the part whose main job is to control which substances enter and leave an animal cell.,mitochondria | cell membrane | vacuoles,"AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0156,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the fish.,humpback whale | piranha | zebra | gharial,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0158,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the reptile.,Hermann's tortoise | bottlenose dolphin | zebra | European green toad,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0167,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the amphibian.,wombat | barn owl | helmeted iguana | African bullfrog,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0173,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Body systems: circulation and respiration,Which job does the circulatory system do?,It brings oxygen to cells. | It breaks down food into small pieces.,"AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0177,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the fish.,robin | giraffe | catfish | tiger salamander,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0179,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Body parts and their functions,Which body part lets you think?,brain | muscles | heart,"AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0180,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the mammal.,penguin | keel-billed toucan | American bullfrog | koala,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0181,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the mammal.,Banggai cardinalfish | green moray eel | rabbit | arroyo toad,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0185,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Identify functions of plant cell parts,Select the part whose main job is to use energy from sunlight to make sugar in a plant cell.,chromosomes | chloroplasts | cell membrane | vacuole,"AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0187,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the bird.,dwarf crocodile | human | gray crowned crane | wombat,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0190,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the fish.,shoebill | golden frog | bison | hammerhead shark,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0191,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the bird.,anchovy | porcupinefish | fruit bat | flamingo,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0195,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the amphibian.,robin | cane toad | sea turtle | koala,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0198,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Identify functions of plant cell parts,Select the part that contains the information that a plant cell uses for growth and activities.,chloroplasts | chromosomes | mitochondria | Golgi,"AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0205,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the amphibian.,snowy owl | helmeted iguana | brown pelican | arroyo toad,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0211,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the amphibian.,koala | helmeted iguana | alpine newt | red crowned crane,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0212,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the bird.,manta ray | emerald hummingbird | grass frog | green iguana,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0216,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the amphibian.,green chameleon | hammerhead shark | western toad | Banggai cardinalfish,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0221,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the fish.,spotted dolphin | western toad | Hermann's tortoise | whale shark,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0225,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the mammal.,Nile crocodile | cobra | green frog | humpback whale,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0229,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Identify ecosystems,Select the wetland ecosystem.,"This ecosystem has:
daily flooding and draining of seawater
water that is rich in nutrients
many different types of organisms | This ecosystem has:
land that is covered with water during most of the year
soil that is rich in nutrients
other water ecosystems nearby","AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0239,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Identify functions of plant cell parts,Select the part whose main job is to break down sugar to release energy that a plant cell can use.,endoplasmic reticulum | chloroplasts | mitochondria | vacuole,"AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0240,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the reptile.,mandarinfish | bull shark | leaf-tailed gecko | eastern newt,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0242,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the reptile.,cane toad | ocean sunfish | western gorilla | cobra,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0245,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Body systems: digestion,Which job does the digestive system do?,helps cells get energy from food | helps make food,"AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0247,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Body parts and their functions,Which body part stores memories?,skeleton | brain | lungs,"AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0248,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Describe and construct conifer life cycles,Which part of a conifer makes seeds?,the needles | the cones | the roots,"AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0250,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the fish.,seahorse | green iguana | green tree frog | bottlenose dolphin,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0256,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Body parts and their functions,Which body part breaks down food?,stomach | brain | skeleton,"AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0258,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Identify functions of animal cell parts,Select the part that fills most of the space inside an animal cell.,vacuoles | cytoplasm | chromosomes,"AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0259,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the bird.,grass frog | arroyo toad | penguin | coral snake,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0261,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Body parts and their functions,Which body part takes air into the body?,lungs | stomach | muscles,"AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0264,structural_absence,0.78,ambiguous_missing_candidate,natural science,biology,Describe and construct conifer life cycles,"Complete the sentence. an egg is fertilized, it can become a ().",After . . . cone | After . . . seed | Before . . . cone | Before . . . seed,"AUTO: structural_absence; skill/category is primarily text, fact, unit, formula, or source reasoning."
mt0265,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the mammal.,western toad | coral snake | gray wolf | grass frog,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0273,structural_absence,0.78,ambiguous_missing_candidate,natural science,biology,Describe and construct conifer life cycles,Complete the sentence. A conifer's () make seeds.,needles | roots | cones,"AUTO: structural_absence; skill/category is primarily text, fact, unit, formula, or source reasoning."
mt0277,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Identify functions of plant cell parts,Select the part that fills most of the space inside a plant cell.,cytoplasm | mitochondria | cell wall | cell membrane,"AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0278,structural_absence,0.78,ambiguous_missing_candidate,natural science,chemistry,Describe energy changes in chemical reactions,"Complete the statement. During this chemical reaction, the air around the reaction becomes ().",colder | warmer,"AUTO: structural_absence; skill/category is primarily text, fact, unit, formula, or source reasoning."
mt0279,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Body systems: circulation and respiration,Which job does the circulatory system do?,It brings nutrients to cells. | It breaks down food into small pieces.,"AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0292,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Describe and construct flowering plant life cycles,Which of the following is true about seeds?,Seeds come in many shapes. But all seeds are black. | Seeds can come in many shapes and colors. | Seeds come in many colors. But all seeds are round.,"AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0294,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Identify functions of animal cell parts,Select the part that contains the information that an animal cell uses for growth and activities.,chromosomes | vacuoles | cell membrane,"AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0295,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the bird.,box turtle | emu | piranha | sea otter,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0296,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the bird.,woodpecker | green tree frog | African bullfrog | sea turtle,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0299,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the amphibian.,red-eyed tree frog | eagle ray | red kangaroo | Mojave rattlesnake,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0301,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the reptile.,hippopotamus | emerald tree boa | gray wolf | elephant seal,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0304,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the bird.,Surinam horned frog | cassowary | western toad | poison dart frog,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0310,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Describe and construct flowering plant life cycles,What can seeds look like?,"Seeds are always small. | Seeds can be many shapes, colors, and sizes. | Seeds are always black or white. | Seeds are always round or oval-shaped.","AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0311,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Identify functions of plant cell parts,Select the part whose main job is to direct a plant cell's activities by sending instructions to different parts of the cell.,cytoplasm | Golgi | nucleus | cell membrane,"AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0319,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the fish.,wombat | cobra | American toad | giant moray,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0322,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the reptile.,humpback whale | gray tree frog | green iguana | California toad,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0323,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the reptile.,horned frog | red-eyed tree frog | leafy seadragon | helmeted iguana,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0325,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the reptile.,eagle ray | dwarf crocodile | California newt | harbor seal,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0327,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the reptile.,green frog | olive toad | Nile crocodile | salmon,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0332,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the bird.,porcupinefish | keel-billed toucan | red-spotted newt | harbor seal,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0334,structural_absence,0.78,ambiguous_missing_candidate,social science,economics,Banks,Select a reason you might choose to keep your money in a bank account.,You want to protect the money in a safe place. | You want to keep your money in a place where you can see it all the time.,"AUTO: structural_absence; skill/category is primarily text, fact, unit, formula, or source reasoning."
mt0335,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,How do plants make food?,What is the name of the process plants use to make food?,germination | photosynthesis | pollination,"AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0346,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Introduction to adaptations,Which of the following is a trait of a living thing?,the way the living thing acts | how much water is in the living thing's habitat | how much sunshine the living thing gets,"AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0347,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Compare plant and animal cells,Which of the following parts does an animal cell have?,cytoplasm | cell wall,"AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0349,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Introduction to adaptations,Which of the following is a trait of a living thing?,how much sunshine the living thing gets | how much water is in the living thing's habitat | the way the living thing looks,"AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0351,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Body parts and their functions,Which body part protects the body's soft parts?,skeleton | muscles | heart,"AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0353,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Identify ecosystems,Select the deep sea ecosystem.,"This ecosystem has:
land that is covered with water during most of the year
soil that is rich in nutrients
other water ecosystems nearby | This ecosystem has:
water at the bottom of the ocean
no sunlight
animals that crawl or stick to the ground","AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0355,structural_absence,0.78,ambiguous_missing_candidate,natural science,biology,Identify ecosystems,Select the tropical rain forest ecosystem.,"This ecosystem has:
year-round rain and warm temperatures
soil that is poor in nutrients
many different types of organisms | This ecosystem has:
a small amount of rain
dry, thin soil
many different types of organisms | This ecosystem has:
long, cold winters and short, cool summers
many evergreen trees
soil that is poor in nutrients","AUTO: structural_absence; skill/category is primarily text, fact, unit, formula, or source reasoning."
mt0356,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the bird.,sugar glider | whale shark | peafowl | porcupinefish,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0370,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Identify ecosystems,Select the tide pool ecosystem.,"This ecosystem has:
daily flooding and draining of seawater
water that is rich in nutrients
many different types of organisms | This ecosystem has:
water at the bottom of the ocean
no sunlight
organisms that crawl or stick to the ground","AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
