dataset,model,sample_id,target_evidence_id,rank,top_evidence_ids
scienceqa,tfidf,r015819,9b83dc5d0ef7c3fe,1,"[""9b83dc5d0ef7c3fe"", ""9701e9fd093d60c7"", ""c849542c69e55997"", ""e2612be2b2462733"", ""9b6f4364f31dddd4"", ""39d7528868849292"", ""6b0e07224e747aaf"", ""7638a5a0316ac331"", ""ef8bd96cd1e57e9d"", ""464008c8c3c7e967""]"
scienceqa,tfidf,r000519,76b59884342e0f4d,1,"[""76b59884342e0f4d"", ""c96b822d3358bbaa"", ""1faaa3cf0fa06278"", ""e136dfd756b382bd"", ""4c6745e0b38ddbfa"", ""7282ef67a5c62cea"", ""464008c8c3c7e967"", ""8332505ed3fb9819"", ""51f77d9f05fb616e"", ""25e83bf61adcdbc9""]"
scienceqa,tfidf,r006108,04aa28de99cfd31b,2,"[""3a1257facaa94df2"", ""04aa28de99cfd31b"", ""0226eb7d6bdeb0b0"", ""c940373cfac0bfc5"", ""25e83bf61adcdbc9"", ""1ceaba7bff1870dd"", ""4c7f0d384fb4308c"", ""447280a169a5754d"", ""76b59884342e0f4d"", ""66f839aaad7d5b87""]"
scienceqa,tfidf,r000845,c11e719b75620351,1,"[""c11e719b75620351"", ""6f0ca7e43dc97088"", ""bda709441943fc36"", ""c849542c69e55997"", ""e2612be2b2462733"", ""9b6f4364f31dddd4"", ""9701e9fd093d60c7"", ""9b83dc5d0ef7c3fe"", ""162c11a56856ddef"", ""d40bddaf8e2e6338""]"
scienceqa,tfidf,r003535,1fbe6aa3e6836d61,1,"[""1fbe6aa3e6836d61"", ""2e813137fdb8a755"", ""1dc472771e481e34"", ""a324000a75e465a8"", ""585196038de34dba"", ""649d8bc6f50d2c8d"", ""00c5f084f766d05e"", ""39d7528868849292"", ""8512198c52f84a98"", ""162c11a56856ddef""]"
scienceqa,tfidf,r018123,9b6dc57631d1cfc7,1,"[""9b6dc57631d1cfc7"", ""ba9d4e92b2071516"", ""e638fe53d130b727"", ""1765f6fd996c06e9"", ""435152c7f8be7c7b"", ""1ba57f81a803b66c"", ""70a3a210ac40f255"", ""2a4221c3d2d7aa1b"", ""dc5a235c6023dfaf"", ""9b93282aac20d87b""]"
scienceqa,tfidf,r020105,505bc233ce52b12f,1,"[""505bc233ce52b12f"", ""c131dfedc53df915"", ""8823eac00bda7913"", ""8cb764c2c86d64d4"", ""7f22fc9eed4a9790"", ""cddc380467f9dcd9"", ""d766d705a1d03e7f"", ""700bb3694cce104a"", ""d973b2ab74a8f63f"", ""585196038de34dba""]"
scienceqa,tfidf,r014347,700bb3694cce104a,1,"[""700bb3694cce104a"", ""ff4ed16548800b04"", ""49c7b329b3f98125"", ""ade72b4e1e5c0eb3"", ""cf3189fb7b944799"", ""005e6cd45adce39b"", ""4162fa8708bdc033"", ""80ab30502fc0c29e"", ""a66317d5a396790a"", ""ad9d96a9b6199667""]"
scienceqa,tfidf,r019118,b9d0dfd274661f29,1,"[""b9d0dfd274661f29"", ""3dfd17528d84ecd6"", ""39475f68197a193c"", ""7282ef67a5c62cea"", ""f643330b3583b801"", ""c96b822d3358bbaa"", ""139ff0583f457b0b"", ""e136dfd756b382bd"", ""8823eac00bda7913"", ""3a1257facaa94df2""]"
scienceqa,tfidf,r007672,f04b15120e97198d,1,"[""f04b15120e97198d"", ""3265e255a54b7e74"", ""7f71141a90d0cf69"", ""7042749b738f0ddd"", ""a43666657963b02a"", ""85d1969154b956e9"", ""a29c2d51eef36dcc"", ""c96b822d3358bbaa"", ""7600edb9100bf449"", ""7282ef67a5c62cea""]"
scienceqa,tfidf,r016882,fbca2fa6a80f8720,1,"[""fbca2fa6a80f8720"", ""d7f94e2b2e30adf8"", ""c2c1a52fd5259dc0"", ""55723ef23d9bb82d"", ""2795e5ae90b96972"", ""75e0bdec7abce862"", ""7638a5a0316ac331"", ""8bdc50f745edbcb7"", ""ef8bd96cd1e57e9d"", ""f97d24ba9ff825dd""]"
scienceqa,tfidf,r005771,49a23a8be75b026f,1,"[""49a23a8be75b026f"", ""0d3ed71a06640dff"", ""41fbf731a88d58b1"", ""c47287dce57cb8e1"", ""b1f7074e14d09bcf"", ""649d8bc6f50d2c8d"", ""33a9b11410077645"", ""7600edb9100bf449"", ""8332505ed3fb9819"", ""4c17fc22f4a5629f""]"
scienceqa,tfidf,r004378,73106b12c994caaf,1,"[""73106b12c994caaf"", ""c940373cfac0bfc5"", ""0bbd6f0aca3068f8"", ""3a1257facaa94df2"", ""04aa28de99cfd31b"", ""55035176114c23c8"", ""8bdc50f745edbcb7"", ""cd9a9d878bfa47ae"", ""0226eb7d6bdeb0b0"", ""647eb0b3138c9399""]"
scienceqa,tfidf,r002380,2930696d1bd7ba57,1,"[""2930696d1bd7ba57"", ""c24acc262a94456b"", ""79415c7d1109bddb"", ""51f77d9f05fb616e"", ""f4dbf115afd9259a"", ""a3869db8848e98db"", ""66f839aaad7d5b87"", ""5bccdf72a7eed5e0"", ""1951dfd63e1726c3"", ""9bb744f4958c71ab""]"
scienceqa,tfidf,r005099,04688630018210f9,1,"[""04688630018210f9"", ""447280a169a5754d"", ""a29c2d51eef36dcc"", ""0f0c8a62fec16479"", ""7e4ea86ac41ec774"", ""25e83bf61adcdbc9"", ""1ceaba7bff1870dd"", ""4c7f0d384fb4308c"", ""f45081f076302dab"", ""2a4221c3d2d7aa1b""]"
scienceqa,tfidf,r008910,51f77d9f05fb616e,1,"[""51f77d9f05fb616e"", ""4c6745e0b38ddbfa"", ""d40bddaf8e2e6338"", ""685f016bdef72207"", ""f45081f076302dab"", ""162c11a56856ddef"", ""c96b822d3358bbaa"", ""7282ef67a5c62cea"", ""50f87e05640ce35e"", ""7600edb9100bf449""]"
scienceqa,tfidf,r010989,1ceaba7bff1870dd,1,"[""1ceaba7bff1870dd"", ""25e83bf61adcdbc9"", ""4c7f0d384fb4308c"", ""447280a169a5754d"", ""3a1257facaa94df2"", ""04aa28de99cfd31b"", ""0226eb7d6bdeb0b0"", ""c849542c69e55997"", ""e2612be2b2462733"", ""9b6f4364f31dddd4""]"
scienceqa,tfidf,r017718,cd9a9d878bfa47ae,1,"[""cd9a9d878bfa47ae"", ""0bbd6f0aca3068f8"", ""55035176114c23c8"", ""2795e5ae90b96972"", ""8bdc50f745edbcb7"", ""3a1257facaa94df2"", ""04aa28de99cfd31b"", ""0226eb7d6bdeb0b0"", ""25e83bf61adcdbc9"", ""57d79521a667ad42""]"
scienceqa,tfidf,r007950,b1f7074e14d09bcf,1,"[""b1f7074e14d09bcf"", ""649d8bc6f50d2c8d"", ""585196038de34dba"", ""a324000a75e465a8"", ""1fbe6aa3e6836d61"", ""39d7528868849292"", ""2e813137fdb8a755"", ""00c5f084f766d05e"", ""7de06184651147fa"", ""929e5feb0a89f2af""]"
scienceqa,tfidf,r003873,c942fc356e75e6b9,1,"[""c942fc356e75e6b9"", ""4b148110fefa0d41"", ""6d65b93a58c95ffe"", ""3bb66aff419a404b"", ""0226eb7d6bdeb0b0"", ""ddd33819fa67a878"", ""2930696d1bd7ba57"", ""76b59884342e0f4d"", ""fc777414005577fb"", ""c24acc262a94456b""]"
scienceqa,tfidf,r005641,464008c8c3c7e967,1,"[""464008c8c3c7e967"", ""e638fe53d130b727"", ""46a02a17c9c9fcaf"", ""7600edb9100bf449"", ""33a9b11410077645"", ""1765f6fd996c06e9"", ""649d8bc6f50d2c8d"", ""8332505ed3fb9819"", ""4c17fc22f4a5629f"", ""1ba57f81a803b66c""]"
scienceqa,tfidf,r008462,ddd33819fa67a878,1,"[""ddd33819fa67a878"", ""6d65b93a58c95ffe"", ""3bb66aff419a404b"", ""4162fa8708bdc033"", ""80ab30502fc0c29e"", ""a29c2d51eef36dcc"", ""d5dc61ca3520dca3"", ""07508a28bcaf50c5"", ""bba21ddaa2e3e178"", ""514831104bf0b390""]"
scienceqa,tfidf,r001124,00c5f084f766d05e,1,"[""00c5f084f766d05e"", ""162c11a56856ddef"", ""1fbe6aa3e6836d61"", ""f45081f076302dab"", ""7e4ea86ac41ec774"", ""4c6745e0b38ddbfa"", ""0f0c8a62fec16479"", ""2e813137fdb8a755"", ""685f016bdef72207"", ""c96b822d3358bbaa""]"
scienceqa,tfidf,r014530,85d1969154b956e9,2,"[""b7d1455efa62a9a1"", ""85d1969154b956e9"", ""56946a4e93770d5d"", ""f04b15120e97198d"", ""36ef0dc696a65227"", ""513406850e3cb9f6"", ""71304536c227c09b"", ""7c318ed7d3f37bfc"", ""3bb66aff419a404b"", ""514831104bf0b390""]"
scienceqa,tfidf,r015156,1951dfd63e1726c3,1,"[""1951dfd63e1726c3"", ""9bb744f4958c71ab"", ""a3869db8848e98db"", ""f4dbf115afd9259a"", ""0bedd3b805a96f7f"", ""79415c7d1109bddb"", ""66f839aaad7d5b87"", ""5bccdf72a7eed5e0"", ""94bb9bb11bd84756"", ""2930696d1bd7ba57""]"
scienceqa,tfidf,r020673,5bccdf72a7eed5e0,2,"[""a3869db8848e98db"", ""5bccdf72a7eed5e0"", ""79415c7d1109bddb"", ""f4dbf115afd9259a"", ""1951dfd63e1726c3"", ""9bb744f4958c71ab"", ""0bedd3b805a96f7f"", ""66f839aaad7d5b87"", ""94bb9bb11bd84756"", ""2930696d1bd7ba57""]"
scienceqa,tfidf,r020750,55035176114c23c8,1,"[""55035176114c23c8"", ""8bdc50f745edbcb7"", ""2795e5ae90b96972"", ""87a14cd1ae910fa7"", ""fe9e4361f972bfcf"", ""84bd89e31ab1953b"", ""603b78dd1d003d80"", ""f93ff296980b5f57"", ""1c978026e6bc8534"", ""3cf105da7f6de4e2""]"
scienceqa,tfidf,r020144,c8c2e691e1510591,1,"[""c8c2e691e1510591"", ""31c60745df3c09b7"", ""e638fe53d130b727"", ""1765f6fd996c06e9"", ""435152c7f8be7c7b"", ""1ba57f81a803b66c"", ""9b6dc57631d1cfc7"", ""ba9d4e92b2071516"", ""514ae11d983a4657"", ""929e5feb0a89f2af""]"
scienceqa,tfidf,r011166,a04296555630f49d,1,"[""a04296555630f49d"", ""7638a5a0316ac331"", ""ef8bd96cd1e57e9d"", ""ad9d96a9b6199667"", ""fe6aa8530f2389e8"", ""75e0bdec7abce862"", ""2795e5ae90b96972"", ""55723ef23d9bb82d"", ""55035176114c23c8"", ""0bbd6f0aca3068f8""]"
scienceqa,tfidf,r001881,f643330b3583b801,1,"[""f643330b3583b801"", ""3dfd17528d84ecd6"", ""b9d0dfd274661f29"", ""c96b822d3358bbaa"", ""793d00032fd7e478"", ""4c17fc22f4a5629f"", ""4ad49ed1e9aa29a5"", ""c6ee67f950ca098c"", ""c131dfedc53df915"", ""2c2ceec048f02e8a""]"
scienceqa,tfidf,r013000,46a02a17c9c9fcaf,1,"[""46a02a17c9c9fcaf"", ""9b6dc57631d1cfc7"", ""ba9d4e92b2071516"", ""e638fe53d130b727"", ""1765f6fd996c06e9"", ""fc777414005577fb"", ""33a9b11410077645"", ""8b31426ff06dee3c"", ""e136dfd756b382bd"", ""7600edb9100bf449""]"
scienceqa,tfidf,r007327,6d65b93a58c95ffe,1,"[""6d65b93a58c95ffe"", ""ddd33819fa67a878"", ""3bb66aff419a404b"", ""4162fa8708bdc033"", ""a29c2d51eef36dcc"", ""d5dc61ca3520dca3"", ""07508a28bcaf50c5"", ""bba21ddaa2e3e178"", ""514831104bf0b390"", ""647eb0b3138c9399""]"
scienceqa,tfidf,r006368,4c7f0d384fb4308c,1,"[""4c7f0d384fb4308c"", ""25e83bf61adcdbc9"", ""1ceaba7bff1870dd"", ""447280a169a5754d"", ""3a1257facaa94df2"", ""04aa28de99cfd31b"", ""0226eb7d6bdeb0b0"", ""c849542c69e55997"", ""e2612be2b2462733"", ""9b6f4364f31dddd4""]"
scienceqa,tfidf,r018475,b9621daa8926e473,1,"[""b9621daa8926e473"", ""fe6aa8530f2389e8"", ""7638a5a0316ac331"", ""2c2ceec048f02e8a"", ""ef8bd96cd1e57e9d"", ""9bd2a8e747d8a2f9"", ""f93ff296980b5f57"", ""722fe8f20142161b"", ""c96b822d3358bbaa"", ""8b9881fd8b927077""]"
scienceqa,tfidf,r000058,c849542c69e55997,1,"[""c849542c69e55997"", ""9701e9fd093d60c7"", ""9b83dc5d0ef7c3fe"", ""e2612be2b2462733"", ""9b6f4364f31dddd4"", ""6b0e07224e747aaf"", ""39d7528868849292"", ""7638a5a0316ac331"", ""ef8bd96cd1e57e9d"", ""464008c8c3c7e967""]"
scienceqa,tfidf,r010586,d5dc61ca3520dca3,1,"[""d5dc61ca3520dca3"", ""07508a28bcaf50c5"", ""7042749b738f0ddd"", ""a50847323aad8f02"", ""0f0c8a62fec16479"", ""ddd33819fa67a878"", ""7e4ea86ac41ec774"", ""3bb66aff419a404b"", ""fc777414005577fb"", ""514831104bf0b390""]"
scienceqa,tfidf,r010841,06da021a02d72bfb,1,"[""06da021a02d72bfb"", ""d7f94e2b2e30adf8"", ""c2c1a52fd5259dc0"", ""fbca2fa6a80f8720"", ""f97d24ba9ff825dd"", ""07508a28bcaf50c5"", ""fed4ef36fa0084de"", ""d766d705a1d03e7f"", ""ddd33819fa67a878"", ""6d65b93a58c95ffe""]"
scienceqa,tfidf,r020773,75e0bdec7abce862,1,"[""75e0bdec7abce862"", ""722fe8f20142161b"", ""8b9881fd8b927077"", ""7638a5a0316ac331"", ""fe6aa8530f2389e8"", ""a04296555630f49d"", ""ef8bd96cd1e57e9d"", ""99d31dbdd2b160fb"", ""8512198c52f84a98"", ""ad9d96a9b6199667""]"
scienceqa,tfidf,r012671,50f87e05640ce35e,1,"[""50f87e05640ce35e"", ""f7f8493b842d2afe"", ""e02912673ef71f1f"", ""1656c00ccb3216e4"", ""8b31426ff06dee3c"", ""585196038de34dba"", ""d40bddaf8e2e6338"", ""7de06184651147fa"", ""1fbe6aa3e6836d61"", ""4c6745e0b38ddbfa""]"
scienceqa,tfidf,r019266,7de06184651147fa,1,"[""7de06184651147fa"", ""e02912673ef71f1f"", ""f7f8493b842d2afe"", ""1656c00ccb3216e4"", ""50f87e05640ce35e"", ""7e4ea86ac41ec774"", ""a324000a75e465a8"", ""8b31426ff06dee3c"", ""585196038de34dba"", ""b1f7074e14d09bcf""]"
scienceqa,tfidf,r019057,722fe8f20142161b,1,"[""722fe8f20142161b"", ""8b9881fd8b927077"", ""75e0bdec7abce862"", ""25e83bf61adcdbc9"", ""1ceaba7bff1870dd"", ""4c7f0d384fb4308c"", ""447280a169a5754d"", ""99d31dbdd2b160fb"", ""7638a5a0316ac331"", ""fe6aa8530f2389e8""]"
scienceqa,tfidf,r001781,8b9881fd8b927077,1,"[""8b9881fd8b927077"", ""722fe8f20142161b"", ""75e0bdec7abce862"", ""94bb9bb11bd84756"", ""0bbd6f0aca3068f8"", ""cd9a9d878bfa47ae"", ""99d31dbdd2b160fb"", ""7638a5a0316ac331"", ""8512198c52f84a98"", ""fe6aa8530f2389e8""]"
scienceqa,tfidf,r005173,70a3a210ac40f255,1,"[""70a3a210ac40f255"", ""514ae11d983a4657"", ""139ff0583f457b0b"", ""9b6dc57631d1cfc7"", ""ba9d4e92b2071516"", ""c131dfedc53df915"", ""6d3e9c5899d053b2"", ""c96b822d3358bbaa"", ""3dfd17528d84ecd6"", ""585196038de34dba""]"
scienceqa,tfidf,r000973,9bb744f4958c71ab,2,"[""1951dfd63e1726c3"", ""9bb744f4958c71ab"", ""a3869db8848e98db"", ""f4dbf115afd9259a"", ""0bedd3b805a96f7f"", ""79415c7d1109bddb"", ""66f839aaad7d5b87"", ""5bccdf72a7eed5e0"", ""94bb9bb11bd84756"", ""2930696d1bd7ba57""]"
scienceqa,tfidf,r018227,99d31dbdd2b160fb,1,"[""99d31dbdd2b160fb"", ""82bd4001d85c8f2f"", ""355acb17a404f78f"", ""7600edb9100bf449"", ""8332505ed3fb9819"", ""33a9b11410077645"", ""4798d36539bfcac3"", ""c47287dce57cb8e1"", ""a20e3924802a511e"", ""6e905a600bf1f54e""]"
scienceqa,tfidf,r018838,4ad49ed1e9aa29a5,1,"[""4ad49ed1e9aa29a5"", ""c6ee67f950ca098c"", ""e136dfd756b382bd"", ""c131dfedc53df915"", ""3dfd17528d84ecd6"", ""1faaa3cf0fa06278"", ""162c11a56856ddef"", ""d40bddaf8e2e6338"", ""6d3e9c5899d053b2"", ""ba9d4e92b2071516""]"
scienceqa,tfidf,r018918,052f03b16dd4a022,1,"[""052f03b16dd4a022"", ""41fbf731a88d58b1"", ""e68ce731f0cae2d6"", ""1faaa3cf0fa06278"", ""76b59884342e0f4d"", ""b1f7074e14d09bcf"", ""649d8bc6f50d2c8d"", ""4c6745e0b38ddbfa"", ""c96b822d3358bbaa"", ""0d3ed71a06640dff""]"
scienceqa,tfidf,r005531,647eb0b3138c9399,1,"[""647eb0b3138c9399"", ""bba21ddaa2e3e178"", ""514831104bf0b390"", ""513406850e3cb9f6"", ""36ef0dc696a65227"", ""7c318ed7d3f37bfc"", ""71304536c227c09b"", ""f04b15120e97198d"", ""d766d705a1d03e7f"", ""f4dbf115afd9259a""]"
scienceqa,tfidf,r015297,a324000a75e465a8,1,"[""a324000a75e465a8"", ""1656c00ccb3216e4"", ""585196038de34dba"", ""7de06184651147fa"", ""649d8bc6f50d2c8d"", ""e02912673ef71f1f"", ""73db2bb9e0f10942"", ""3cf105da7f6de4e2"", ""162c11a56856ddef"", ""b1f7074e14d09bcf""]"
scienceqa,tfidf,r018829,a29c2d51eef36dcc,1,"[""a29c2d51eef36dcc"", ""6b0e07224e747aaf"", ""b9d0dfd274661f29"", ""3dfd17528d84ecd6"", ""f643330b3583b801"", ""7600edb9100bf449"", ""4ad49ed1e9aa29a5"", ""c6ee67f950ca098c"", ""9b6dc57631d1cfc7"", ""33a9b11410077645""]"
scienceqa,tfidf,r019909,7600edb9100bf449,2,"[""6d3e9c5899d053b2"", ""7600edb9100bf449"", ""a20e3924802a511e"", ""4798d36539bfcac3"", ""6e905a600bf1f54e"", ""929e5feb0a89f2af"", ""3751cd01e0da011c"", ""158889b1566f00c1"", ""4c17fc22f4a5629f"", ""8653cf633d765be5""]"
scienceqa,tfidf,r015432,3dfd17528d84ecd6,1,"[""3dfd17528d84ecd6"", ""f643330b3583b801"", ""b9d0dfd274661f29"", ""57d79521a667ad42"", ""ed8e118249d5b90e"", ""c96b822d3358bbaa"", ""0bbd6f0aca3068f8"", ""07508a28bcaf50c5"", ""9701e9fd093d60c7"", ""9b83dc5d0ef7c3fe""]"
scienceqa,tfidf,r017003,e02912673ef71f1f,1,"[""e02912673ef71f1f"", ""1656c00ccb3216e4"", ""f7f8493b842d2afe"", ""50f87e05640ce35e"", ""8b31426ff06dee3c"", ""585196038de34dba"", ""7de06184651147fa"", ""a324000a75e465a8"", ""c940373cfac0bfc5"", ""2c2ceec048f02e8a""]"
scienceqa,tfidf,r018134,8332505ed3fb9819,1,"[""8332505ed3fb9819"", ""a20e3924802a511e"", ""7600edb9100bf449"", ""4798d36539bfcac3"", ""6e905a600bf1f54e"", ""33a9b11410077645"", ""929e5feb0a89f2af"", ""3751cd01e0da011c"", ""158889b1566f00c1"", ""8653cf633d765be5""]"
scienceqa,tfidf,r003512,9bd2a8e747d8a2f9,1,"[""9bd2a8e747d8a2f9"", ""f93ff296980b5f57"", ""2c2ceec048f02e8a"", ""1656c00ccb3216e4"", ""f7f8493b842d2afe"", ""e02912673ef71f1f"", ""50f87e05640ce35e"", ""fe6aa8530f2389e8"", ""7638a5a0316ac331"", ""4c7f0d384fb4308c""]"
scienceqa,tfidf,r010837,649d8bc6f50d2c8d,1,"[""649d8bc6f50d2c8d"", ""b1f7074e14d09bcf"", ""50f87e05640ce35e"", ""4c6745e0b38ddbfa"", ""a324000a75e465a8"", ""685f016bdef72207"", ""76b59884342e0f4d"", ""d40bddaf8e2e6338"", ""585196038de34dba"", ""1faaa3cf0fa06278""]"
scienceqa,tfidf,r014632,c6ee67f950ca098c,1,"[""c6ee67f950ca098c"", ""4ad49ed1e9aa29a5"", ""e136dfd756b382bd"", ""162c11a56856ddef"", ""d40bddaf8e2e6338"", ""8823eac00bda7913"", ""f45081f076302dab"", ""51f77d9f05fb616e"", ""139ff0583f457b0b"", ""4c6745e0b38ddbfa""]"
scienceqa,tfidf,r003967,bda709441943fc36,1,"[""bda709441943fc36"", ""c11e719b75620351"", ""6f0ca7e43dc97088"", ""c849542c69e55997"", ""e2612be2b2462733"", ""9b6f4364f31dddd4"", ""9701e9fd093d60c7"", ""9b83dc5d0ef7c3fe"", ""c96b822d3358bbaa"", ""162c11a56856ddef""]"
scienceqa,tfidf,r019555,ad9d96a9b6199667,1,"[""ad9d96a9b6199667"", ""005e6cd45adce39b"", ""700bb3694cce104a"", ""49c7b329b3f98125"", ""ade72b4e1e5c0eb3"", ""ff4ed16548800b04"", ""cf3189fb7b944799"", ""4162fa8708bdc033"", ""80ab30502fc0c29e"", ""a66317d5a396790a""]"
scienceqa,tfidf,r011468,bba21ddaa2e3e178,1,"[""bba21ddaa2e3e178"", ""514831104bf0b390"", ""647eb0b3138c9399"", ""b7d1455efa62a9a1"", ""56946a4e93770d5d"", ""7c318ed7d3f37bfc"", ""d5dc61ca3520dca3"", ""ddd33819fa67a878"", ""288e0ae1b81cd4ee"", ""0226eb7d6bdeb0b0""]"
scienceqa,tfidf,r001918,8512198c52f84a98,1,"[""8512198c52f84a98"", ""99d31dbdd2b160fb"", ""39d7528868849292"", ""585196038de34dba"", ""a324000a75e465a8"", ""355acb17a404f78f"", ""82bd4001d85c8f2f"", ""49a23a8be75b026f"", ""052f03b16dd4a022"", ""7638a5a0316ac331""]"
scienceqa,tfidf,r000085,89ef4c6e6c4a0703,1,"[""89ef4c6e6c4a0703"", ""288e0ae1b81cd4ee"", ""66f839aaad7d5b87"", ""f4dbf115afd9259a"", ""a3869db8848e98db"", ""1951dfd63e1726c3"", ""9bb744f4958c71ab"", ""0bedd3b805a96f7f"", ""79415c7d1109bddb"", ""5bccdf72a7eed5e0""]"
scienceqa,tfidf,r002398,f7f8493b842d2afe,1,"[""f7f8493b842d2afe"", ""50f87e05640ce35e"", ""e02912673ef71f1f"", ""1656c00ccb3216e4"", ""8b31426ff06dee3c"", ""d40bddaf8e2e6338"", ""585196038de34dba"", ""4c6745e0b38ddbfa"", ""7de06184651147fa"", ""a324000a75e465a8""]"
scienceqa,tfidf,r013507,55723ef23d9bb82d,1,"[""55723ef23d9bb82d"", ""c940373cfac0bfc5"", ""2c2ceec048f02e8a"", ""f93ff296980b5f57"", ""73106b12c994caaf"", ""585196038de34dba"", ""a324000a75e465a8"", ""9bd2a8e747d8a2f9"", ""76b59884342e0f4d"", ""1faaa3cf0fa06278""]"
scienceqa,tfidf,r001925,3265e255a54b7e74,1,"[""3265e255a54b7e74"", ""7f71141a90d0cf69"", ""f04b15120e97198d"", ""7042749b738f0ddd"", ""a43666657963b02a"", ""c96b822d3358bbaa"", ""a29c2d51eef36dcc"", ""76b59884342e0f4d"", ""1faaa3cf0fa06278"", ""7600edb9100bf449""]"
scienceqa,tfidf,r013610,cf3189fb7b944799,1,"[""cf3189fb7b944799"", ""ff4ed16548800b04"", ""80ab30502fc0c29e"", ""700bb3694cce104a"", ""49c7b329b3f98125"", ""ade72b4e1e5c0eb3"", ""005e6cd45adce39b"", ""4162fa8708bdc033"", ""a66317d5a396790a"", ""ad9d96a9b6199667""]"
