dataset,sample_id,original_id,split,question,choices,answer,text_context,image_ref,has_image,subject,topic,skill,evidence_type,modality_case,answer_format,source_task
scienceqa,r011439,r011439,train,"Based on this information, what is this tomato plant's genotype for the fruit color gene?",red fruit | FF,1,"hint: In a group of tomato plants, some individuals have red fruit and others have yellow fruit. In this group, the gene for the fruit color trait has two alleles. The allele F is for red fruit, and the allele f is for yellow fruit.
A certain tomato plant from this group has red fruit. This plant has two alleles for red fruit.
lecture: All organisms have pieces of hereditary material called genes, which are passed from parents to offspring. Genes contain instructions for building the parts of an organism. An organism's genes affect its observable traits, including its appearance, its behavior, and which diseases it may have. Genes may have different alleles, or forms, that can cause different versions of a trait.
For example, flower color is a trait in pea plants. The gene for this trait has two possible alleles. Each allele is represented by an uppercase or lowercase letter. The allele F is for purple flowers, and the allele f is for white flowers. Each pea plant has two alleles for the flower color gene—one allele inherited from each parent.
An organism's genotype for a gene is its combination of alleles for that gene. So, a pea plant may have a genotype of FF, Ff, or ff for the flower color gene.
An organism's phenotype for a trait is its observable version of that trait, which depends on the organism's combination of alleles. A pea plant may have a phenotype of purple flowers or white flowers for the flower color trait.
solution: An organism's genotype for a gene is its combination of alleles for that gene. The tomato plant has two alleles for red fruit (F). So, the plant's genotype for the fruit color gene is FF.",,0,natural science,biology,Genetics vocabulary: genotype and phenotype,text_only,question_without_image,multiple_choice,educational_science_qa
scienceqa,r020290,r020290,test,Which animal's limbs are also adapted for climbing trees?,California sea lion | lar gibbon,1,"hint: Chimpanzees live in the forests of Central Africa. Their limbs are adapted for climbing trees.
Figure: chimpanzee.
lecture: An adaptation is an inherited trait that helps an organism survive or reproduce. Adaptations can include both body parts and behaviors.
Arms, legs, flippers, and wings are different types of limbs. The type of limbs an animal has is an example of an adaptation. Animals' limbs can be adapted in different ways. For example, long legs might help an animal run fast. Flippers might help an animal swim. Wings might help an animal fly.
solution: Look at the picture of the chimpanzee.
The chimpanzee uses its long limbs to reach branches while climbing. It uses its fingers and toes to grab the branches.
Now look at each animal. Figure out which animal has a similar adaptation.
The lar gibbon has long limbs with fingers and toes. Its limbs are adapted for climbing trees.
The California sea lion has flippers. Its limbs are not adapted for climbing trees. The California sea lion uses its flippers to swim underwater.","{""bytes"": ""<bytes:82978>"", ""path"": ""image.png""}",1,natural science,biology,Animal adaptations: feet and limbs,text_image,question_with_image,multiple_choice,educational_science_qa
scienceqa,r008983,r008983,train,Is quartzite a mineral or a rock?,mineral | rock,1,"hint: Quartzite has the following properties:
made mostly of quartz
not made by living things
no fixed crystal structure
very hard
found in nature
solid
lecture: Minerals are the building blocks of rocks. A rock can be made of one or more minerals.
Minerals and rocks have the following properties:
Property | Mineral | Rock
It is a solid. | Yes | Yes
It is formed in nature. | Yes | Yes
It is not made by organisms. | Yes | Yes
It is a pure substance. | Yes | No
It has a fixed crystal structure. | Yes | No
You can use these properties to tell whether a substance is a mineral, a rock, or neither.
Look closely at the last three properties:
Minerals and rocks are not made by organisms.
Organisms make their own body parts. For example, snails and clams make their shells. Because they are made by organisms, body parts cannot be  minerals or rocks.
Humans are organisms too. So, substances that humans make by hand or in factories are not minerals or rocks.
A mineral is a pure substance, but a rock is not.
A pure substance is made of only one type of matter.  Minerals are pure substances, but rocks are not. Instead, all rocks are mixtures.
A mineral has a fixed crystal structure, but a rock does not.
The crystal structure of a substance tells you how the atoms or molecules in the substance are arranged. Different types of minerals have different crystal structures, but all minerals have a fixed crystal structure. This means that the atoms and molecules in different pieces of the same type of mineral are always arranged the same way.
However, rocks do not have a fixed crystal structure. So, the arrangement of atoms or molecules in different pieces of the same type of rock may be different!
solution: The properties of quartzite match the properties of a rock. So, quartzite is a rock.","{""bytes"": ""<bytes:44616>"", ""path"": ""image.png""}",1,natural science,earth-science,Identify rocks and minerals,text_image,question_with_image,multiple_choice,educational_science_qa
scienceqa,r015819,r015819,validation,"Would you find the word mill on a dictionary page with the following guide words?
marry - moment",no | yes,1,"lecture: Guide words appear on each page of a dictionary. They tell you the first word and last word on the page. The other words on the page come between the guide words in alphabetical order.
To put words in alphabetical order, put them in order by their first letters. If the first letters are the same, look at the second letters. If the second letters are the same, look at the third letters, and so on.
solution: Put the words in alphabetical order.
Since mill is between the guide words marry - moment, it would be found on that page.",,0,language science,reference-skills,Use guide words,text_only,question_without_image,multiple_choice,educational_science_qa
scienceqa,r000519,r000519,train,Identify the question that Camille's experiment can best answer.,Does the humidity level where tomato seeds are planted affect the number of tomato seedlings that grow? | Do more tomato seedlings grow when they are planted in soil with fertilizer compared to soil without fertilizer?,1,"hint: The passage below describes an experiment. Read the passage and then follow the instructions below.

Camille planted 25 tomato seeds one-half inch below the soil surface in each of six pots. Camille added an equal amount of fertilizer to three of the six pots. She placed the pots in a plant growth chamber where all the seeds experienced the same temperature, amount of light, and humidity level. After two weeks, Camille counted the number of seedlings that grew in each pot. She compared the number of seedlings in the pots with fertilizer to the number of seedlings in the pots without fertilizer.
Figure: tomato seedlings growing in soil.
lecture: Experiments can be designed to answer specific questions. How can you identify the questions that a certain experiment can answer? In order to do this, you need to figure out what was tested and what was measured during the experiment.
Imagine an experiment with two groups of daffodil plants. One group of plants was grown in sandy soil, and the other was grown in clay soil. Then, the height of each plant was measured.
First, identify the part of the experiment that was tested. The part of an experiment that is tested usually involves the part of the experimental setup that is different or changed. In the experiment described above, each group of plants was grown in a different type of soil. So, the effect of growing plants in different soil types was tested.
Then, identify the part of the experiment that was measured. The part of the experiment that is measured may include measurements and calculations. In the experiment described above, the heights of the plants in each group were measured.
Experiments can answer questions about how the part of the experiment that is tested affects the part that is measured. So, the experiment described above can answer questions about how soil type affects plant height.
Examples of questions that this experiment can answer include:
Does soil type affect the height of daffodil plants?
Do daffodil plants in sandy soil grow taller than daffodil plants in clay soil?
Are daffodil plants grown in sandy soil shorter than daffodil plants grown in clay soil?","{""bytes"": ""<bytes:131818>"", ""path"": ""image.png""}",1,natural science,science-and-engineering-practices,Identify the experimental question,text_image,question_with_image,multiple_choice,educational_science_qa
scienceqa,r006108,r006108,train,Compare the average kinetic energies of the particles in each sample. Which sample has the higher temperature?,neither; the samples have the same temperature | sample A | sample B,2,"hint: The diagrams below show two pure samples of gas in identical closed, rigid containers. Each colored ball represents one gas particle. Both samples have the same number of particles.
lecture: The temperature of a substance depends on the average kinetic energy of the particles in the substance. The higher the average kinetic energy of the particles, the higher the temperature of the substance.
The kinetic energy of a particle is determined by its mass and speed. For a pure substance, the greater the mass of each particle in the substance and the higher the average speed of the particles, the higher their average kinetic energy.
solution: The particles in both samples have the same average speed, but each particle in sample B has more mass than each particle in sample A. So, the particles in sample B have a higher average kinetic energy than the particles in sample A.
Because the particles in sample B have the higher average kinetic energy, sample B must have the higher temperature.","{""bytes"": ""<bytes:30616>"", ""path"": ""image.png""}",1,natural science,physics,Identify how particle motion affects temperature and pressure,text_image,question_with_image,multiple_choice,educational_science_qa
scienceqa,r000845,r000845,train,Which greeting is correct for a letter?,"Dear dr. gupta, | Dear Dr. Gupta,",1,"lecture: A letter starts with a greeting and ends with a closing. For each one, capitalize the first word and end with a comma. You should also capitalize proper nouns, such as Aunt Sue.
Dear Aunt Sue,
I'm glad you could come to my party, and
thank you for the birthday gift. I could not have
asked for a better one! Every time I see it, I think
of you.
With love,
Rory
solution: The second greeting is correct:
Its first word is capitalized, and it ends with a comma. Dr. Gupta is capitalized because it is a proper noun.",,0,language science,punctuation,Greetings and closings of letters,text_only,question_without_image,multiple_choice,educational_science_qa
scienceqa,r003535,r003535,train,Which animal is also adapted for flight?,nilgai | gray-headed albatross,1,"hint: Flamingos fly long distances every year in search of food and places to nest. They have wings instead of arms. Flamingos are adapted for flight.
Figure: flamingo.
lecture: An adaptation is an inherited trait that helps an organism survive or reproduce. Adaptations can include both body parts and behaviors.
Arms, legs, flippers, and wings are different types of limbs. The type of limbs an animal has is an example of an adaptation. Animals' limbs can be adapted in different ways. For example, long legs might help an animal run fast. Flippers might help an animal swim. Wings might help an animal fly.
solution: Look at the picture of the flamingo.
The flamingo has large, powerful wings. It is adapted for flight. Long, powerful wings help the flamingo travel long distances by air.
Now look at each animal. Figure out which animal has a similar adaptation.
The gray-headed albatross has long, powerful wings. It is adapted for flight.
The nilgai has long legs. It is not adapted for flight. The nilgai uses its legs to walk and run.","{""bytes"": ""<bytes:78156>"", ""path"": ""image.png""}",1,natural science,biology,Animal adaptations: feet and limbs,text_image,question_with_image,multiple_choice,educational_science_qa
scienceqa,r018123,r018123,test,"What kind of sentence is this?
Mr. McDowell gave a lecture on water conservation, during which he stressed the importance of not watering lawns during a drought.",exclamatory | declarative | interrogative,1,"lecture: There are four kinds of sentences.
A declarative sentence is a statement, and it always ends with a period.
The nurse told Mr. Abrams to roll up his sleeve so that she could check his blood pressure.
An interrogative sentence is a question, and it always ends with a question mark.
Do you have any plans for the upcoming weekend?
An imperative sentence is a command. It makes a request or tells someone to do something, and it usually ends with a period. If the command shows strong feeling, it ends with an exclamation point.
For this assignment, use references to support your claims.
Don't drive so quickly in the construction zone!
An exclamatory sentence is like a statement, but it shows surprise or strong feeling. An exclamatory sentence always ends with an exclamation point.
I can't wait to travel through Europe this summer!
solution: The sentence tells about something, and it ends with a period. It is a declarative sentence.",,0,language science,punctuation,"Is the sentence declarative, interrogative, imperative, or exclamatory?",text_only,question_without_image,multiple_choice,educational_science_qa
scienceqa,r020105,r020105,test,Which text uses the word ironic in its traditional sense?,"Last winter, Clarence took a vacation to Florida to escape Boston's cold, snowy weather. In an ironic twist, a rare snowstorm happened to hit Florida that week. | Last winter, Clarence took a vacation to Florida to escape Boston's cold, snowy weather. In an ironic twist, he just missed a few of his college friends, who had been in Florida the previous week.",0,"lecture: Words change in meaning when speakers begin using them in new ways. For example, the word peruse once only meant to examine in detail, but it's now also commonly used to mean to look through in a casual manner.
When a word changes in meaning, its correct usage is often debated. Although a newer sense of the word may be more commonly used, many people consider a word's traditional definition to be the correct usage. Being able to distinguish the different uses of a word can help you use it appropriately for different audiences.
Britney perused her notes, carefully preparing for her exam.
The traditional usage above is considered more standard.
David perused the magazine, absentmindedly flipping through the pages.
The nontraditional usage above is now commonly used, but traditional style guides generally advise against it.
solution: The second text uses ironic in its traditional sense: contrary to what was intended, often in an amusing way. It's ironic because Clarence tried to get away from the snow but found himself in a snowstorm regardless.
Last winter, Clarence took a vacation to Florida to escape Boston's cold, snowy weather. In an ironic twist, a rare snowstorm happened to hit Florida that week.
The first text uses ironic in its nontraditional sense: marked by coincidence. It was a coincidence that Clarence's friends were in Florida the week before.
Last winter, Clarence took a vacation to Florida to escape Boston's cold, snowy weather. In an ironic twist, he just missed a few of his college friends, who had been in Florida the previous week.
Most style guides recommend to avoid using the nontraditional sense of the word ironic because it is generally considered incorrect.",,0,language science,writing-strategies,Explore words with new or contested usages,text_only,question_without_image,multiple_choice,educational_science_qa
scienceqa,r014347,r014347,validation,What is the capital of Massachusetts?,Cambridge | Boston | Trenton | Montpelier,1,solution: Boston is the capital of Massachusetts.,"{""bytes"": ""<bytes:65554>"", ""path"": ""image.png""}",1,social science,geography,Identify state capitals of the Northeast,text_image,question_with_image,multiple_choice,educational_science_qa
scienceqa,r019118,r019118,test,Suppose Jennifer decides to join the Photography Club. Which result would be a cost?,Jennifer will spend more time in the Photography Club than she would have spent in the Theater Club. | Jennifer will have more fun in the Photography Club than she would have had in the Theater Club.,0,"hint: Jennifer is deciding whether to join the Photography Club or the Theater Club at school. She wants the club she joins to be fun. But she doesn't want it to take up too much time.
lecture: Before you decide to do something, it is often helpful to list costs and benefits.
Costs are what you give up or spend when you decide to do something. Costs involve giving up things that you want or need.
Benefits are what you gain or save when you decide to do something. Benefits involve gaining something that you want or need.
solution: This result is a cost. It involves giving up or spending something that Jennifer wants or needs:
Jennifer will spend more time in the Photography Club than she would have spent in the Theater Club.",,0,social science,economics,Costs and benefits,text_only,question_without_image,multiple_choice,educational_science_qa
scienceqa,r007672,r007672,train,Which country is highlighted?,Solomon Islands | New Zealand | Australia | Papua New Guinea,2,"solution: This country is Australia.
Is Australia a country or a continent?
Both! Australia is a country in Oceania, a region made up of many lands and islands in the Pacific Ocean. Many people say that Australia is the world's smallest continent. But some people call Oceania a continent instead.","{""bytes"": ""<bytes:59823>"", ""path"": ""image.png""}",1,social science,geography,Identify and select countries of Oceania,text_image,question_with_image,multiple_choice,educational_science_qa
scienceqa,r016882,r016882,validation,Which correctly shows the title of a poem?,"""What Dreams Are Made Of"" | ""What dreams Are Made Of""",0,"lecture: In a title, capitalize the first word, the last word, and every important word in between.
The Wind in the Willows James and the Giant Peach
These words are not important in titles:
Articles, a, an, the
Short prepositions, such as at, by, for, in, of, on, to, up
Coordinating conjunctions, such as and, but, or
solution: Capitalize the first word, the last word, and every important word in between.
The correct title is ""What Dreams Are Made Of.""",,0,language science,capitalization,Capitalizing titles,text_only,question_without_image,multiple_choice,educational_science_qa
scienceqa,r005771,r005771,train,Select the living thing.,cave | cobra | toy car | ferris wheel,1,"lecture: All living things are made up of cells. Plants, animals, and some fungi have many cells. Other living things are made up of just one cell.
All living things need food and water. Water helps living things break down food and remove waste. Food gives living things energy. They use energy from food to grow and change.
All living things sense changes in their environment. Living things might sense changes by seeing, smelling, hearing, or feeling. Living things can respond to the changes they sense.
solution: A toy car is not a living thing.
If this toy car is wound up, it will roll forward. But toy cars do not have all of the traits of living things. They do not grow. They do not need food or water.
A cave is not a living thing.
A cave may have animals or plants living inside. But a cave does not have all the traits of a living thing. A cave does not need food or water.
A cobra is a living thing.
Cobras grow and respond to their environment. They need food and water. Cobras are made up of many cells.
A ferris wheel is not a living thing.
A ferris wheel does not have all the traits of a living thing. It moves in a circle, but it does not grow. It does not need food or water.",,0,natural science,biology,Identify living and nonliving things,text_only,question_without_image,multiple_choice,educational_science_qa
scienceqa,r004378,r004378,train,What is the mass of a floor lamp?,4 kilograms | 4 grams,0,"hint: Select the better estimate.
lecture: Measurements are written with both a number and a unit. The unit comes after the number. The unit shows what the number means.
Mass is a measurement of how much matter something contains.
There are many different units of mass. When you are using metric units, mass may be written with units of grams or kilograms.
There are 1,000 grams in 1 kilogram. So, 1 gram is much less than 1 kilogram.
A paper clip has a mass of about 1 gram, while a textbook has a mass of about 1 kilogram.
solution: The better estimate for the mass of a floor lamp is 4 kilograms.
4 grams is too light.",,0,natural science,units-and-measurement,Choose metric units of mass,text_only,question_without_image,multiple_choice,educational_science_qa
scienceqa,r002380,r002380,train,The movers lift the boxes at the same speed. Which box is lifted with a larger force?,a box holding 21 pounds | a box holding 31 pounds,1,"hint: Two movers are putting heavy boxes into their truck. The boxes are the same shape and size. Each mover lifts one box up into the truck at a time.
lecture: A force is a push or a pull.
A force can make an object start moving or stop an object that is moving. A force can also make an object speed up, slow down, or change direction.
Forces can be different sizes.
Think about trying to move a heavy object and a light object. Imagine you want to move them at the same speed. You will need to use a larger force to move the heavy object.
solution: Look for the box that is heavier.
A box holding 31 pounds is heavier than a box holding 21 pounds. So, the box holding 31 pounds needs a larger force to start moving upward at the same speed as the other box.",,0,natural science,physics,How do mass and force affect motion?,text_only,question_without_image,multiple_choice,educational_science_qa
scienceqa,r005099,r005099,train,Which sentence states a fact?,"Of all the species of damselfish, the blue chromis is the most striking in terms of color. | The vitamins in a blue chromis's diet can affect how brightly the fish's colors appear.",1,"lecture: A fact is something that can be proved by research or observation.
Napoleon Bonaparte was shorter than King Louis XVI.
The statement above is a fact. The statement can be proved by researching the height of each man and comparing them.
An opinion is something that a person believes, thinks, or feels. An opinion cannot be proved.
Napoleon Bonaparte was a better leader than King Louis XVI.
The statement above is an opinion. People can have different ideas about what makes someone a ""better"" leader, so the statement cannot be proved.
solution: The second sentence states a fact.
The vitamins in a blue chromis's diet can affect how brightly the fish's colors appear.
It can be proved by reading a book about tropical fish.
The first sentence states an opinion.
Of all the species of damselfish, the blue chromis is the most striking in terms of color.
Most striking shows what a person believes, thinks, or feels. Another person might have a different opinion about which fish's color is most visually impressive.",,0,language science,writing-strategies,Distinguish facts from opinions,text_only,question_without_image,multiple_choice,educational_science_qa
scienceqa,r008910,r008910,train,What is the probability that a cucumber plant produced by this cross will be heterozygous for the fruit sheen gene?,4/4 | 1/4 | 3/4 | 0/4 | 2/4,3,"hint: In a group of cucumber plants, some individuals have dull fruit and others have glossy fruit. In this group, the gene for the fruit sheen trait has two alleles. The allele for dull fruit (F) is dominant over the allele for glossy fruit (f).
This Punnett square shows a cross between two cucumber plants.
lecture: Offspring genotypes: homozygous or heterozygous?
How do you determine whether an organism is homozygous or heterozygous for a gene? Look at the alleles in the organism's genotype for that gene.
An organism with two identical alleles for a gene is homozygous for that gene.
If both alleles are dominant, the organism is homozygous dominant for the gene.
If both alleles are recessive, the organism is homozygous recessive for the gene.
An organism with two different alleles for a gene is heterozygous for that gene.
In a Punnett square, each box represents a different outcome, or result. Each of the four outcomes is equally likely to happen. Each box represents one way the parents' alleles can combine to form an offspring's genotype. 
Because there are four boxes in the Punnett square, there are four possible outcomes.
An event is a set of one or more outcomes. The probability of an event is a measure of how likely the event is to happen. This probability is a number between 0 and 1, and it can be written as a fraction:
probability of an event = number of ways the event can happen / number of equally likely outcomes
You can use a Punnett square to calculate the probability that a cross will produce certain offspring. For example, the Punnett square below has two boxes with the genotype Ff. It has one box with the genotype FF and one box with the genotype ff. This means there are two ways the parents' alleles can combine to form Ff. There is one way they can combine to form FF and one way they can combine to form ff.
 | F | f
F | FF | Ff
f | Ff | ff
Consider an event in which this cross produces an offspring with the genotype ff. The probability of this event is given by the following fraction:
number of ways the event can happen / number of equally likely outcomes = number of boxes with the genotype ff / total number of boxes = 1 / 4","{""bytes"": ""<bytes:1536>"", ""path"": ""image.png""}",1,natural science,biology,Use Punnett squares to calculate probabilities of offspring types,text_image,question_with_image,multiple_choice,educational_science_qa
scienceqa,r010989,r010989,train,Which solution has a higher concentration of purple particles?,Solution B | Solution A | neither; their concentrations are the same,1,"hint: The diagram below is a model of two solutions. Each purple ball represents one particle of solute.
lecture: A solution is made up of two or more substances that are completely mixed. In a solution, solute particles are mixed into a solvent. The solute cannot be separated from the solvent by a filter. For example, if you stir a spoonful of salt into a cup of water, the salt will mix into the water to make a saltwater solution. In this case, the salt is the solute. The water is the solvent.
The concentration of a solute in a solution is a measure of the ratio of solute to solvent. Concentration can be described in terms of particles of solute per volume of solvent.
concentration = particles of solute / volume of solvent
solution: In Solution A and Solution B, the purple particles represent the solute. To figure out which solution has a higher concentration of purple particles, look at both the number of purple particles and the volume of the solvent in each container.
Use the concentration formula to find the number of purple particles per milliliter.
Solution A has more purple particles per milliliter. So, Solution A has a higher concentration of purple particles.","{""bytes"": ""<bytes:22426>"", ""path"": ""image.png""}",1,natural science,chemistry,Compare concentrations of solutions,text_image,question_with_image,multiple_choice,educational_science_qa
