model,sample_id,image_ref,rank,positive_score,top_image_refs
clip_vit_b32,ai2d_test_000012,hf://lmms-lab/ai2d-no-mask/test/000012,2,0.37045684456825256,"[""hf://lmms-lab/ai2d-no-mask/test/000011"", ""hf://lmms-lab/ai2d-no-mask/test/000012"", ""hf://lmms-lab/ai2d-no-mask/test/000013"", ""hf://lmms-lab/ai2d-no-mask/test/000014"", ""hf://lmms-lab/ai2d-no-mask/test/000015"", ""hf://lmms-lab/ai2d-no-mask/test/000156"", ""hf://lmms-lab/ai2d-no-mask/test/000157"", ""hf://lmms-lab/ai2d-no-mask/test/000154"", ""hf://lmms-lab/ai2d-no-mask/test/000155"", ""hf://lmms-lab/ai2d-no-mask/test/000119""]"
clip_vit_b32,ai2d_test_000013,hf://lmms-lab/ai2d-no-mask/test/000013,131,0.23672433197498322,"[""hf://lmms-lab/ai2d-no-mask/test/000104"", ""hf://lmms-lab/ai2d-no-mask/test/000177"", ""hf://lmms-lab/ai2d-no-mask/test/000178"", ""hf://lmms-lab/ai2d-no-mask/test/000167"", ""hf://lmms-lab/ai2d-no-mask/test/000168"", ""hf://lmms-lab/ai2d-no-mask/test/000169"", ""hf://lmms-lab/ai2d-no-mask/test/000170"", ""hf://lmms-lab/ai2d-no-mask/test/000171"", ""hf://lmms-lab/ai2d-no-mask/test/000172"", ""hf://lmms-lab/ai2d-no-mask/test/000173""]"
clip_vit_b32,ai2d_test_000014,hf://lmms-lab/ai2d-no-mask/test/000014,4,0.3929252624511719,"[""hf://lmms-lab/ai2d-no-mask/test/000011"", ""hf://lmms-lab/ai2d-no-mask/test/000012"", ""hf://lmms-lab/ai2d-no-mask/test/000013"", ""hf://lmms-lab/ai2d-no-mask/test/000014"", ""hf://lmms-lab/ai2d-no-mask/test/000015"", ""hf://lmms-lab/ai2d-no-mask/test/000064"", ""hf://lmms-lab/ai2d-no-mask/test/000156"", ""hf://lmms-lab/ai2d-no-mask/test/000157"", ""hf://lmms-lab/ai2d-no-mask/test/000167"", ""hf://lmms-lab/ai2d-no-mask/test/000168""]"
clip_vit_b32,ai2d_test_000015,hf://lmms-lab/ai2d-no-mask/test/000015,6,0.3258899450302124,"[""hf://lmms-lab/ai2d-no-mask/test/000011"", ""hf://lmms-lab/ai2d-no-mask/test/000064"", ""hf://lmms-lab/ai2d-no-mask/test/000012"", ""hf://lmms-lab/ai2d-no-mask/test/000013"", ""hf://lmms-lab/ai2d-no-mask/test/000014"", ""hf://lmms-lab/ai2d-no-mask/test/000015"", ""hf://lmms-lab/ai2d-no-mask/test/000062"", ""hf://lmms-lab/ai2d-no-mask/test/000063"", ""hf://lmms-lab/ai2d-no-mask/test/000156"", ""hf://lmms-lab/ai2d-no-mask/test/000157""]"
clip_vit_b32,ai2d_test_000016,hf://lmms-lab/ai2d-no-mask/test/000016,50,0.25953447818756104,"[""hf://lmms-lab/ai2d-no-mask/test/000104"", ""hf://lmms-lab/ai2d-no-mask/test/000099"", ""hf://lmms-lab/ai2d-no-mask/test/000100"", ""hf://lmms-lab/ai2d-no-mask/test/000101"", ""hf://lmms-lab/ai2d-no-mask/test/000102"", ""hf://lmms-lab/ai2d-no-mask/test/000031"", ""hf://lmms-lab/ai2d-no-mask/test/000145"", ""hf://lmms-lab/ai2d-no-mask/test/000146"", ""hf://lmms-lab/ai2d-no-mask/test/000159"", ""hf://lmms-lab/ai2d-no-mask/test/000160""]"
clip_vit_b32,ai2d_test_000017,hf://lmms-lab/ai2d-no-mask/test/000017,3,0.352355033159256,"[""hf://lmms-lab/ai2d-no-mask/test/000019"", ""hf://lmms-lab/ai2d-no-mask/test/000020"", ""hf://lmms-lab/ai2d-no-mask/test/000017"", ""hf://lmms-lab/ai2d-no-mask/test/000018"", ""hf://lmms-lab/ai2d-no-mask/test/000067"", ""hf://lmms-lab/ai2d-no-mask/test/000068"", ""hf://lmms-lab/ai2d-no-mask/test/000069"", ""hf://lmms-lab/ai2d-no-mask/test/000070"", ""hf://lmms-lab/ai2d-no-mask/test/000079"", ""hf://lmms-lab/ai2d-no-mask/test/000080""]"
clip_vit_b32,ai2d_test_000018,hf://lmms-lab/ai2d-no-mask/test/000018,13,0.2946557402610779,"[""hf://lmms-lab/ai2d-no-mask/test/000167"", ""hf://lmms-lab/ai2d-no-mask/test/000168"", ""hf://lmms-lab/ai2d-no-mask/test/000169"", ""hf://lmms-lab/ai2d-no-mask/test/000170"", ""hf://lmms-lab/ai2d-no-mask/test/000171"", ""hf://lmms-lab/ai2d-no-mask/test/000172"", ""hf://lmms-lab/ai2d-no-mask/test/000173"", ""hf://lmms-lab/ai2d-no-mask/test/000174"", ""hf://lmms-lab/ai2d-no-mask/test/000175"", ""hf://lmms-lab/ai2d-no-mask/test/000177""]"
clip_vit_b32,ai2d_test_000019,hf://lmms-lab/ai2d-no-mask/test/000019,3,0.31812092661857605,"[""hf://lmms-lab/ai2d-no-mask/test/000017"", ""hf://lmms-lab/ai2d-no-mask/test/000018"", ""hf://lmms-lab/ai2d-no-mask/test/000019"", ""hf://lmms-lab/ai2d-no-mask/test/000020"", ""hf://lmms-lab/ai2d-no-mask/test/000052"", ""hf://lmms-lab/ai2d-no-mask/test/000054"", ""hf://lmms-lab/ai2d-no-mask/test/000055"", ""hf://lmms-lab/ai2d-no-mask/test/000056"", ""hf://lmms-lab/ai2d-no-mask/test/000011"", ""hf://lmms-lab/ai2d-no-mask/test/000167""]"
clip_vit_b32,ai2d_test_000020,hf://lmms-lab/ai2d-no-mask/test/000020,2,0.3392515480518341,"[""hf://lmms-lab/ai2d-no-mask/test/000019"", ""hf://lmms-lab/ai2d-no-mask/test/000020"", ""hf://lmms-lab/ai2d-no-mask/test/000017"", ""hf://lmms-lab/ai2d-no-mask/test/000018"", ""hf://lmms-lab/ai2d-no-mask/test/000032"", ""hf://lmms-lab/ai2d-no-mask/test/000156"", ""hf://lmms-lab/ai2d-no-mask/test/000157"", ""hf://lmms-lab/ai2d-no-mask/test/000154"", ""hf://lmms-lab/ai2d-no-mask/test/000155"", ""hf://lmms-lab/ai2d-no-mask/test/000181""]"
clip_vit_b32,ai2d_test_000021,hf://lmms-lab/ai2d-no-mask/test/000021,1,0.3641612231731415,"[""hf://lmms-lab/ai2d-no-mask/test/000021"", ""hf://lmms-lab/ai2d-no-mask/test/000002"", ""hf://lmms-lab/ai2d-no-mask/test/000003"", ""hf://lmms-lab/ai2d-no-mask/test/000022"", ""hf://lmms-lab/ai2d-no-mask/test/000023"", ""hf://lmms-lab/ai2d-no-mask/test/000024"", ""hf://lmms-lab/ai2d-no-mask/test/000001"", ""hf://lmms-lab/ai2d-no-mask/test/000004"", ""hf://lmms-lab/ai2d-no-mask/test/000005"", ""hf://lmms-lab/ai2d-no-mask/test/000104""]"
clip_vit_b32,ai2d_test_000022,hf://lmms-lab/ai2d-no-mask/test/000022,2,0.33217474818229675,"[""hf://lmms-lab/ai2d-no-mask/test/000021"", ""hf://lmms-lab/ai2d-no-mask/test/000022"", ""hf://lmms-lab/ai2d-no-mask/test/000023"", ""hf://lmms-lab/ai2d-no-mask/test/000024"", ""hf://lmms-lab/ai2d-no-mask/test/000104"", ""hf://lmms-lab/ai2d-no-mask/test/000004"", ""hf://lmms-lab/ai2d-no-mask/test/000005"", ""hf://lmms-lab/ai2d-no-mask/test/000002"", ""hf://lmms-lab/ai2d-no-mask/test/000003"", ""hf://lmms-lab/ai2d-no-mask/test/000177""]"
clip_vit_b32,ai2d_test_000023,hf://lmms-lab/ai2d-no-mask/test/000023,3,0.32286757230758667,"[""hf://lmms-lab/ai2d-no-mask/test/000104"", ""hf://lmms-lab/ai2d-no-mask/test/000022"", ""hf://lmms-lab/ai2d-no-mask/test/000023"", ""hf://lmms-lab/ai2d-no-mask/test/000024"", ""hf://lmms-lab/ai2d-no-mask/test/000021"", ""hf://lmms-lab/ai2d-no-mask/test/000004"", ""hf://lmms-lab/ai2d-no-mask/test/000005"", ""hf://lmms-lab/ai2d-no-mask/test/000177"", ""hf://lmms-lab/ai2d-no-mask/test/000178"", ""hf://lmms-lab/ai2d-no-mask/test/000077""]"
clip_vit_b32,ai2d_test_000024,hf://lmms-lab/ai2d-no-mask/test/000024,6,0.2993452847003937,"[""hf://lmms-lab/ai2d-no-mask/test/000021"", ""hf://lmms-lab/ai2d-no-mask/test/000109"", ""hf://lmms-lab/ai2d-no-mask/test/000110"", ""hf://lmms-lab/ai2d-no-mask/test/000022"", ""hf://lmms-lab/ai2d-no-mask/test/000023"", ""hf://lmms-lab/ai2d-no-mask/test/000024"", ""hf://lmms-lab/ai2d-no-mask/test/000177"", ""hf://lmms-lab/ai2d-no-mask/test/000178"", ""hf://lmms-lab/ai2d-no-mask/test/000104"", ""hf://lmms-lab/ai2d-no-mask/test/000167""]"
clip_vit_b32,ai2d_test_000025,hf://lmms-lab/ai2d-no-mask/test/000025,6,0.31349530816078186,"[""hf://lmms-lab/ai2d-no-mask/test/000183"", ""hf://lmms-lab/ai2d-no-mask/test/000026"", ""hf://lmms-lab/ai2d-no-mask/test/000027"", ""hf://lmms-lab/ai2d-no-mask/test/000028"", ""hf://lmms-lab/ai2d-no-mask/test/000184"", ""hf://lmms-lab/ai2d-no-mask/test/000025"", ""hf://lmms-lab/ai2d-no-mask/test/000136"", ""hf://lmms-lab/ai2d-no-mask/test/000177"", ""hf://lmms-lab/ai2d-no-mask/test/000178"", ""hf://lmms-lab/ai2d-no-mask/test/000176""]"
clip_vit_b32,ai2d_test_000026,hf://lmms-lab/ai2d-no-mask/test/000026,2,0.3286486864089966,"[""hf://lmms-lab/ai2d-no-mask/test/000183"", ""hf://lmms-lab/ai2d-no-mask/test/000026"", ""hf://lmms-lab/ai2d-no-mask/test/000027"", ""hf://lmms-lab/ai2d-no-mask/test/000028"", ""hf://lmms-lab/ai2d-no-mask/test/000184"", ""hf://lmms-lab/ai2d-no-mask/test/000025"", ""hf://lmms-lab/ai2d-no-mask/test/000176"", ""hf://lmms-lab/ai2d-no-mask/test/000177"", ""hf://lmms-lab/ai2d-no-mask/test/000178"", ""hf://lmms-lab/ai2d-no-mask/test/000004""]"
clip_vit_b32,ai2d_test_000027,hf://lmms-lab/ai2d-no-mask/test/000027,5,0.3065411150455475,"[""hf://lmms-lab/ai2d-no-mask/test/000177"", ""hf://lmms-lab/ai2d-no-mask/test/000178"", ""hf://lmms-lab/ai2d-no-mask/test/000176"", ""hf://lmms-lab/ai2d-no-mask/test/000026"", ""hf://lmms-lab/ai2d-no-mask/test/000027"", ""hf://lmms-lab/ai2d-no-mask/test/000028"", ""hf://lmms-lab/ai2d-no-mask/test/000025"", ""hf://lmms-lab/ai2d-no-mask/test/000092"", ""hf://lmms-lab/ai2d-no-mask/test/000093"", ""hf://lmms-lab/ai2d-no-mask/test/000167""]"
clip_vit_b32,ai2d_test_000028,hf://lmms-lab/ai2d-no-mask/test/000028,4,0.36072754859924316,"[""hf://lmms-lab/ai2d-no-mask/test/000183"", ""hf://lmms-lab/ai2d-no-mask/test/000026"", ""hf://lmms-lab/ai2d-no-mask/test/000027"", ""hf://lmms-lab/ai2d-no-mask/test/000028"", ""hf://lmms-lab/ai2d-no-mask/test/000025"", ""hf://lmms-lab/ai2d-no-mask/test/000184"", ""hf://lmms-lab/ai2d-no-mask/test/000176"", ""hf://lmms-lab/ai2d-no-mask/test/000177"", ""hf://lmms-lab/ai2d-no-mask/test/000178"", ""hf://lmms-lab/ai2d-no-mask/test/000004""]"
clip_vit_b32,ai2d_test_000029,hf://lmms-lab/ai2d-no-mask/test/000029,127,0.2371019870042801,"[""hf://lmms-lab/ai2d-no-mask/test/000006"", ""hf://lmms-lab/ai2d-no-mask/test/000177"", ""hf://lmms-lab/ai2d-no-mask/test/000178"", ""hf://lmms-lab/ai2d-no-mask/test/000104"", ""hf://lmms-lab/ai2d-no-mask/test/000176"", ""hf://lmms-lab/ai2d-no-mask/test/000167"", ""hf://lmms-lab/ai2d-no-mask/test/000168"", ""hf://lmms-lab/ai2d-no-mask/test/000169"", ""hf://lmms-lab/ai2d-no-mask/test/000170"", ""hf://lmms-lab/ai2d-no-mask/test/000171""]"
clip_vit_b32,ai2d_test_000030,hf://lmms-lab/ai2d-no-mask/test/000030,38,0.29367002844810486,"[""hf://lmms-lab/ai2d-no-mask/test/000006"", ""hf://lmms-lab/ai2d-no-mask/test/000156"", ""hf://lmms-lab/ai2d-no-mask/test/000157"", ""hf://lmms-lab/ai2d-no-mask/test/000154"", ""hf://lmms-lab/ai2d-no-mask/test/000155"", ""hf://lmms-lab/ai2d-no-mask/test/000012"", ""hf://lmms-lab/ai2d-no-mask/test/000013"", ""hf://lmms-lab/ai2d-no-mask/test/000014"", ""hf://lmms-lab/ai2d-no-mask/test/000015"", ""hf://lmms-lab/ai2d-no-mask/test/000098""]"
clip_vit_b32,ai2d_test_000031,hf://lmms-lab/ai2d-no-mask/test/000031,1,0.3336150646209717,"[""hf://lmms-lab/ai2d-no-mask/test/000031"", ""hf://lmms-lab/ai2d-no-mask/test/000104"", ""hf://lmms-lab/ai2d-no-mask/test/000158"", ""hf://lmms-lab/ai2d-no-mask/test/000159"", ""hf://lmms-lab/ai2d-no-mask/test/000160"", ""hf://lmms-lab/ai2d-no-mask/test/000021"", ""hf://lmms-lab/ai2d-no-mask/test/000002"", ""hf://lmms-lab/ai2d-no-mask/test/000003"", ""hf://lmms-lab/ai2d-no-mask/test/000147"", ""hf://lmms-lab/ai2d-no-mask/test/000145""]"
clip_vit_b32,ai2d_test_000032,hf://lmms-lab/ai2d-no-mask/test/000032,7,0.3385026454925537,"[""hf://lmms-lab/ai2d-no-mask/test/000067"", ""hf://lmms-lab/ai2d-no-mask/test/000068"", ""hf://lmms-lab/ai2d-no-mask/test/000019"", ""hf://lmms-lab/ai2d-no-mask/test/000020"", ""hf://lmms-lab/ai2d-no-mask/test/000069"", ""hf://lmms-lab/ai2d-no-mask/test/000070"", ""hf://lmms-lab/ai2d-no-mask/test/000032"", ""hf://lmms-lab/ai2d-no-mask/test/000017"", ""hf://lmms-lab/ai2d-no-mask/test/000018"", ""hf://lmms-lab/ai2d-no-mask/test/000079""]"
clip_vit_b32,ai2d_test_000033,hf://lmms-lab/ai2d-no-mask/test/000033,3,0.3170677125453949,"[""hf://lmms-lab/ai2d-no-mask/test/000151"", ""hf://lmms-lab/ai2d-no-mask/test/000153"", ""hf://lmms-lab/ai2d-no-mask/test/000033"", ""hf://lmms-lab/ai2d-no-mask/test/000036"", ""hf://lmms-lab/ai2d-no-mask/test/000034"", ""hf://lmms-lab/ai2d-no-mask/test/000035"", ""hf://lmms-lab/ai2d-no-mask/test/000152"", ""hf://lmms-lab/ai2d-no-mask/test/000181"", ""hf://lmms-lab/ai2d-no-mask/test/000182"", ""hf://lmms-lab/ai2d-no-mask/test/000057""]"
clip_vit_b32,ai2d_test_000034,hf://lmms-lab/ai2d-no-mask/test/000034,5,0.3449982702732086,"[""hf://lmms-lab/ai2d-no-mask/test/000151"", ""hf://lmms-lab/ai2d-no-mask/test/000153"", ""hf://lmms-lab/ai2d-no-mask/test/000033"", ""hf://lmms-lab/ai2d-no-mask/test/000036"", ""hf://lmms-lab/ai2d-no-mask/test/000034"", ""hf://lmms-lab/ai2d-no-mask/test/000035"", ""hf://lmms-lab/ai2d-no-mask/test/000152"", ""hf://lmms-lab/ai2d-no-mask/test/000181"", ""hf://lmms-lab/ai2d-no-mask/test/000182"", ""hf://lmms-lab/ai2d-no-mask/test/000057""]"
clip_vit_b32,ai2d_test_000035,hf://lmms-lab/ai2d-no-mask/test/000035,6,0.31717196106910706,"[""hf://lmms-lab/ai2d-no-mask/test/000033"", ""hf://lmms-lab/ai2d-no-mask/test/000036"", ""hf://lmms-lab/ai2d-no-mask/test/000151"", ""hf://lmms-lab/ai2d-no-mask/test/000153"", ""hf://lmms-lab/ai2d-no-mask/test/000034"", ""hf://lmms-lab/ai2d-no-mask/test/000035"", ""hf://lmms-lab/ai2d-no-mask/test/000152"", ""hf://lmms-lab/ai2d-no-mask/test/000057"", ""hf://lmms-lab/ai2d-no-mask/test/000058"", ""hf://lmms-lab/ai2d-no-mask/test/000181""]"
clip_vit_b32,ai2d_test_000036,hf://lmms-lab/ai2d-no-mask/test/000036,2,0.3382765054702759,"[""hf://lmms-lab/ai2d-no-mask/test/000033"", ""hf://lmms-lab/ai2d-no-mask/test/000036"", ""hf://lmms-lab/ai2d-no-mask/test/000057"", ""hf://lmms-lab/ai2d-no-mask/test/000058"", ""hf://lmms-lab/ai2d-no-mask/test/000034"", ""hf://lmms-lab/ai2d-no-mask/test/000035"", ""hf://lmms-lab/ai2d-no-mask/test/000151"", ""hf://lmms-lab/ai2d-no-mask/test/000153"", ""hf://lmms-lab/ai2d-no-mask/test/000152"", ""hf://lmms-lab/ai2d-no-mask/test/000181""]"
clip_vit_b32,ai2d_test_000037,hf://lmms-lab/ai2d-no-mask/test/000037,36,0.2764613926410675,"[""hf://lmms-lab/ai2d-no-mask/test/000176"", ""hf://lmms-lab/ai2d-no-mask/test/000041"", ""hf://lmms-lab/ai2d-no-mask/test/000042"", ""hf://lmms-lab/ai2d-no-mask/test/000043"", ""hf://lmms-lab/ai2d-no-mask/test/000044"", ""hf://lmms-lab/ai2d-no-mask/test/000045"", ""hf://lmms-lab/ai2d-no-mask/test/000046"", ""hf://lmms-lab/ai2d-no-mask/test/000047"", ""hf://lmms-lab/ai2d-no-mask/test/000048"", ""hf://lmms-lab/ai2d-no-mask/test/000049""]"
clip_vit_b32,ai2d_test_000038,hf://lmms-lab/ai2d-no-mask/test/000038,31,0.31618455052375793,"[""hf://lmms-lab/ai2d-no-mask/test/000193"", ""hf://lmms-lab/ai2d-no-mask/test/000194"", ""hf://lmms-lab/ai2d-no-mask/test/000195"", ""hf://lmms-lab/ai2d-no-mask/test/000196"", ""hf://lmms-lab/ai2d-no-mask/test/000197"", ""hf://lmms-lab/ai2d-no-mask/test/000198"", ""hf://lmms-lab/ai2d-no-mask/test/000199"", ""hf://lmms-lab/ai2d-no-mask/test/000200"", ""hf://lmms-lab/ai2d-no-mask/test/000119"", ""hf://lmms-lab/ai2d-no-mask/test/000120""]"
clip_vit_b32,ai2d_test_000039,hf://lmms-lab/ai2d-no-mask/test/000039,3,0.33167901635169983,"[""hf://lmms-lab/ai2d-no-mask/test/000037"", ""hf://lmms-lab/ai2d-no-mask/test/000038"", ""hf://lmms-lab/ai2d-no-mask/test/000039"", ""hf://lmms-lab/ai2d-no-mask/test/000040"", ""hf://lmms-lab/ai2d-no-mask/test/000064"", ""hf://lmms-lab/ai2d-no-mask/test/000062"", ""hf://lmms-lab/ai2d-no-mask/test/000063"", ""hf://lmms-lab/ai2d-no-mask/test/000041"", ""hf://lmms-lab/ai2d-no-mask/test/000042"", ""hf://lmms-lab/ai2d-no-mask/test/000043""]"
clip_vit_b32,ai2d_test_000040,hf://lmms-lab/ai2d-no-mask/test/000040,10,0.3174717426300049,"[""hf://lmms-lab/ai2d-no-mask/test/000012"", ""hf://lmms-lab/ai2d-no-mask/test/000013"", ""hf://lmms-lab/ai2d-no-mask/test/000014"", ""hf://lmms-lab/ai2d-no-mask/test/000015"", ""hf://lmms-lab/ai2d-no-mask/test/000156"", ""hf://lmms-lab/ai2d-no-mask/test/000157"", ""hf://lmms-lab/ai2d-no-mask/test/000037"", ""hf://lmms-lab/ai2d-no-mask/test/000038"", ""hf://lmms-lab/ai2d-no-mask/test/000039"", ""hf://lmms-lab/ai2d-no-mask/test/000040""]"
clip_vit_b32,ai2d_test_000041,hf://lmms-lab/ai2d-no-mask/test/000041,5,0.33466193079948425,"[""hf://lmms-lab/ai2d-no-mask/test/000037"", ""hf://lmms-lab/ai2d-no-mask/test/000038"", ""hf://lmms-lab/ai2d-no-mask/test/000039"", ""hf://lmms-lab/ai2d-no-mask/test/000040"", ""hf://lmms-lab/ai2d-no-mask/test/000041"", ""hf://lmms-lab/ai2d-no-mask/test/000042"", ""hf://lmms-lab/ai2d-no-mask/test/000043"", ""hf://lmms-lab/ai2d-no-mask/test/000044"", ""hf://lmms-lab/ai2d-no-mask/test/000045"", ""hf://lmms-lab/ai2d-no-mask/test/000046""]"
