dataset,sample_id,image_ref,hf_index,local_image_path,status,width,height,error
ai2d,ai2d_test_000015,hf://lmms-lab/ai2d-no-mask/test/000015,15,data/ai2d/raw/images/ai2d_test_000015.png,cached,400,376,
ai2d,ai2d_test_000016,hf://lmms-lab/ai2d-no-mask/test/000016,16,data/ai2d/raw/images/ai2d_test_000016.png,cached,864,684,
ai2d,ai2d_test_000017,hf://lmms-lab/ai2d-no-mask/test/000017,17,data/ai2d/raw/images/ai2d_test_000017.png,cached,196,237,
ai2d,ai2d_test_000018,hf://lmms-lab/ai2d-no-mask/test/000018,18,data/ai2d/raw/images/ai2d_test_000018.png,cached,196,237,
ai2d,ai2d_test_000019,hf://lmms-lab/ai2d-no-mask/test/000019,19,data/ai2d/raw/images/ai2d_test_000019.png,cached,196,237,
ai2d,ai2d_test_000020,hf://lmms-lab/ai2d-no-mask/test/000020,20,data/ai2d/raw/images/ai2d_test_000020.png,cached,196,237,
ai2d,ai2d_test_000021,hf://lmms-lab/ai2d-no-mask/test/000021,21,data/ai2d/raw/images/ai2d_test_000021.png,cached,632,420,
ai2d,ai2d_test_000022,hf://lmms-lab/ai2d-no-mask/test/000022,22,data/ai2d/raw/images/ai2d_test_000022.png,cached,632,420,
ai2d,ai2d_test_000023,hf://lmms-lab/ai2d-no-mask/test/000023,23,data/ai2d/raw/images/ai2d_test_000023.png,cached,632,420,
ai2d,ai2d_test_000024,hf://lmms-lab/ai2d-no-mask/test/000024,24,data/ai2d/raw/images/ai2d_test_000024.png,cached,632,420,
ai2d,ai2d_test_000025,hf://lmms-lab/ai2d-no-mask/test/000025,25,data/ai2d/raw/images/ai2d_test_000025.png,cached,600,329,
ai2d,ai2d_test_000026,hf://lmms-lab/ai2d-no-mask/test/000026,26,data/ai2d/raw/images/ai2d_test_000026.png,cached,600,329,
ai2d,ai2d_test_000027,hf://lmms-lab/ai2d-no-mask/test/000027,27,data/ai2d/raw/images/ai2d_test_000027.png,cached,600,329,
ai2d,ai2d_test_000028,hf://lmms-lab/ai2d-no-mask/test/000028,28,data/ai2d/raw/images/ai2d_test_000028.png,cached,600,329,
ai2d,ai2d_test_000029,hf://lmms-lab/ai2d-no-mask/test/000029,29,data/ai2d/raw/images/ai2d_test_000029.png,cached,650,447,
ai2d,ai2d_test_000030,hf://lmms-lab/ai2d-no-mask/test/000030,30,data/ai2d/raw/images/ai2d_test_000030.png,cached,650,447,
ai2d,ai2d_test_000031,hf://lmms-lab/ai2d-no-mask/test/000031,31,data/ai2d/raw/images/ai2d_test_000031.png,cached,359,157,
ai2d,ai2d_test_000032,hf://lmms-lab/ai2d-no-mask/test/000032,32,data/ai2d/raw/images/ai2d_test_000032.png,cached,300,492,
ai2d,ai2d_test_000033,hf://lmms-lab/ai2d-no-mask/test/000033,33,data/ai2d/raw/images/ai2d_test_000033.png,cached,1025,1500,
ai2d,ai2d_test_000034,hf://lmms-lab/ai2d-no-mask/test/000034,34,data/ai2d/raw/images/ai2d_test_000034.png,cached,1025,1500,
ai2d,ai2d_test_000035,hf://lmms-lab/ai2d-no-mask/test/000035,35,data/ai2d/raw/images/ai2d_test_000035.png,cached,1025,1500,
ai2d,ai2d_test_000036,hf://lmms-lab/ai2d-no-mask/test/000036,36,data/ai2d/raw/images/ai2d_test_000036.png,cached,1025,1500,
ai2d,ai2d_test_000037,hf://lmms-lab/ai2d-no-mask/test/000037,37,data/ai2d/raw/images/ai2d_test_000037.png,cached,1280,1133,
ai2d,ai2d_test_000038,hf://lmms-lab/ai2d-no-mask/test/000038,38,data/ai2d/raw/images/ai2d_test_000038.png,cached,1280,1133,
ai2d,ai2d_test_000039,hf://lmms-lab/ai2d-no-mask/test/000039,39,data/ai2d/raw/images/ai2d_test_000039.png,cached,1280,1133,
ai2d,ai2d_test_000040,hf://lmms-lab/ai2d-no-mask/test/000040,40,data/ai2d/raw/images/ai2d_test_000040.png,cached,1280,1133,
ai2d,ai2d_test_000041,hf://lmms-lab/ai2d-no-mask/test/000041,41,data/ai2d/raw/images/ai2d_test_000041.png,cached,625,1500,
ai2d,ai2d_test_000042,hf://lmms-lab/ai2d-no-mask/test/000042,42,data/ai2d/raw/images/ai2d_test_000042.png,cached,625,1500,
ai2d,ai2d_test_000043,hf://lmms-lab/ai2d-no-mask/test/000043,43,data/ai2d/raw/images/ai2d_test_000043.png,cached,625,1500,
ai2d,ai2d_test_000044,hf://lmms-lab/ai2d-no-mask/test/000044,44,data/ai2d/raw/images/ai2d_test_000044.png,cached,625,1500,
ai2d,ai2d_test_000045,hf://lmms-lab/ai2d-no-mask/test/000045,45,data/ai2d/raw/images/ai2d_test_000045.png,cached,625,1500,
ai2d,ai2d_test_000046,hf://lmms-lab/ai2d-no-mask/test/000046,46,data/ai2d/raw/images/ai2d_test_000046.png,cached,625,1500,
ai2d,ai2d_test_000047,hf://lmms-lab/ai2d-no-mask/test/000047,47,data/ai2d/raw/images/ai2d_test_000047.png,cached,625,1500,
ai2d,ai2d_test_000048,hf://lmms-lab/ai2d-no-mask/test/000048,48,data/ai2d/raw/images/ai2d_test_000048.png,cached,625,1500,
ai2d,ai2d_test_000049,hf://lmms-lab/ai2d-no-mask/test/000049,49,data/ai2d/raw/images/ai2d_test_000049.png,cached,625,1500,
ai2d,ai2d_test_000050,hf://lmms-lab/ai2d-no-mask/test/000050,50,data/ai2d/raw/images/ai2d_test_000050.png,cached,625,1500,
ai2d,ai2d_test_000051,hf://lmms-lab/ai2d-no-mask/test/000051,51,data/ai2d/raw/images/ai2d_test_000051.png,cached,625,1500,
ai2d,ai2d_test_000052,hf://lmms-lab/ai2d-no-mask/test/000052,52,data/ai2d/raw/images/ai2d_test_000052.png,cached,600,464,
ai2d,ai2d_test_000053,hf://lmms-lab/ai2d-no-mask/test/000053,53,data/ai2d/raw/images/ai2d_test_000053.png,cached,600,464,
ai2d,ai2d_test_000054,hf://lmms-lab/ai2d-no-mask/test/000054,54,data/ai2d/raw/images/ai2d_test_000054.png,cached,600,464,
ai2d,ai2d_test_000055,hf://lmms-lab/ai2d-no-mask/test/000055,55,data/ai2d/raw/images/ai2d_test_000055.png,cached,600,464,
ai2d,ai2d_test_000056,hf://lmms-lab/ai2d-no-mask/test/000056,56,data/ai2d/raw/images/ai2d_test_000056.png,cached,600,464,
ai2d,ai2d_test_000057,hf://lmms-lab/ai2d-no-mask/test/000057,57,data/ai2d/raw/images/ai2d_test_000057.png,cached,400,401,
ai2d,ai2d_test_000058,hf://lmms-lab/ai2d-no-mask/test/000058,58,data/ai2d/raw/images/ai2d_test_000058.png,cached,400,401,
ai2d,ai2d_test_000059,hf://lmms-lab/ai2d-no-mask/test/000059,59,data/ai2d/raw/images/ai2d_test_000059.png,cached,557,412,
ai2d,ai2d_test_000060,hf://lmms-lab/ai2d-no-mask/test/000060,60,data/ai2d/raw/images/ai2d_test_000060.png,cached,557,412,
ai2d,ai2d_test_000061,hf://lmms-lab/ai2d-no-mask/test/000061,61,data/ai2d/raw/images/ai2d_test_000061.png,cached,557,412,
ai2d,ai2d_test_000062,hf://lmms-lab/ai2d-no-mask/test/000062,62,data/ai2d/raw/images/ai2d_test_000062.png,cached,382,193,
ai2d,ai2d_test_000063,hf://lmms-lab/ai2d-no-mask/test/000063,63,data/ai2d/raw/images/ai2d_test_000063.png,cached,382,193,
ai2d,ai2d_test_000064,hf://lmms-lab/ai2d-no-mask/test/000064,64,data/ai2d/raw/images/ai2d_test_000064.png,cached,382,193,
ai2d,ai2d_test_000065,hf://lmms-lab/ai2d-no-mask/test/000065,65,data/ai2d/raw/images/ai2d_test_000065.png,cached,750,300,
ai2d,ai2d_test_000066,hf://lmms-lab/ai2d-no-mask/test/000066,66,data/ai2d/raw/images/ai2d_test_000066.png,cached,750,300,
ai2d,ai2d_test_000067,hf://lmms-lab/ai2d-no-mask/test/000067,67,data/ai2d/raw/images/ai2d_test_000067.png,cached,638,479,
ai2d,ai2d_test_000068,hf://lmms-lab/ai2d-no-mask/test/000068,68,data/ai2d/raw/images/ai2d_test_000068.png,cached,638,479,
ai2d,ai2d_test_000069,hf://lmms-lab/ai2d-no-mask/test/000069,69,data/ai2d/raw/images/ai2d_test_000069.png,cached,638,479,
ai2d,ai2d_test_000070,hf://lmms-lab/ai2d-no-mask/test/000070,70,data/ai2d/raw/images/ai2d_test_000070.png,cached,638,479,
ai2d,ai2d_test_000071,hf://lmms-lab/ai2d-no-mask/test/000071,71,data/ai2d/raw/images/ai2d_test_000071.png,cached,819,782,
ai2d,ai2d_test_000072,hf://lmms-lab/ai2d-no-mask/test/000072,72,data/ai2d/raw/images/ai2d_test_000072.png,cached,819,782,
ai2d,ai2d_test_000073,hf://lmms-lab/ai2d-no-mask/test/000073,73,data/ai2d/raw/images/ai2d_test_000073.png,cached,400,446,
ai2d,ai2d_test_000074,hf://lmms-lab/ai2d-no-mask/test/000074,74,data/ai2d/raw/images/ai2d_test_000074.png,cached,400,446,
ai2d,ai2d_test_000075,hf://lmms-lab/ai2d-no-mask/test/000075,75,data/ai2d/raw/images/ai2d_test_000075.png,cached,400,446,
ai2d,ai2d_test_000076,hf://lmms-lab/ai2d-no-mask/test/000076,76,data/ai2d/raw/images/ai2d_test_000076.png,cached,400,446,
ai2d,ai2d_test_000077,hf://lmms-lab/ai2d-no-mask/test/000077,77,data/ai2d/raw/images/ai2d_test_000077.png,cached,406,605,
ai2d,ai2d_test_000078,hf://lmms-lab/ai2d-no-mask/test/000078,78,data/ai2d/raw/images/ai2d_test_000078.png,cached,406,605,
ai2d,ai2d_test_000079,hf://lmms-lab/ai2d-no-mask/test/000079,79,data/ai2d/raw/images/ai2d_test_000079.png,cached,312,221,
ai2d,ai2d_test_000080,hf://lmms-lab/ai2d-no-mask/test/000080,80,data/ai2d/raw/images/ai2d_test_000080.png,cached,312,221,
ai2d,ai2d_test_000081,hf://lmms-lab/ai2d-no-mask/test/000081,81,data/ai2d/raw/images/ai2d_test_000081.png,cached,280,290,
ai2d,ai2d_test_000082,hf://lmms-lab/ai2d-no-mask/test/000082,82,data/ai2d/raw/images/ai2d_test_000082.png,cached,280,290,
ai2d,ai2d_test_000083,hf://lmms-lab/ai2d-no-mask/test/000083,83,data/ai2d/raw/images/ai2d_test_000083.png,cached,1040,1233,
ai2d,ai2d_test_000084,hf://lmms-lab/ai2d-no-mask/test/000084,84,data/ai2d/raw/images/ai2d_test_000084.png,cached,350,440,
ai2d,ai2d_test_000085,hf://lmms-lab/ai2d-no-mask/test/000085,85,data/ai2d/raw/images/ai2d_test_000085.png,cached,350,440,
ai2d,ai2d_test_000086,hf://lmms-lab/ai2d-no-mask/test/000086,86,data/ai2d/raw/images/ai2d_test_000086.png,cached,350,440,
ai2d,ai2d_test_000087,hf://lmms-lab/ai2d-no-mask/test/000087,87,data/ai2d/raw/images/ai2d_test_000087.png,cached,399,534,
ai2d,ai2d_test_000088,hf://lmms-lab/ai2d-no-mask/test/000088,88,data/ai2d/raw/images/ai2d_test_000088.png,cached,1263,1009,
ai2d,ai2d_test_000089,hf://lmms-lab/ai2d-no-mask/test/000089,89,data/ai2d/raw/images/ai2d_test_000089.png,cached,1263,1009,
ai2d,ai2d_test_000090,hf://lmms-lab/ai2d-no-mask/test/000090,90,data/ai2d/raw/images/ai2d_test_000090.png,cached,1263,1009,
ai2d,ai2d_test_000091,hf://lmms-lab/ai2d-no-mask/test/000091,91,data/ai2d/raw/images/ai2d_test_000091.png,cached,1263,1009,
ai2d,ai2d_test_000092,hf://lmms-lab/ai2d-no-mask/test/000092,92,data/ai2d/raw/images/ai2d_test_000092.png,cached,329,308,
ai2d,ai2d_test_000093,hf://lmms-lab/ai2d-no-mask/test/000093,93,data/ai2d/raw/images/ai2d_test_000093.png,cached,329,308,
ai2d,ai2d_test_000094,hf://lmms-lab/ai2d-no-mask/test/000094,94,data/ai2d/raw/images/ai2d_test_000094.png,cached,545,547,
ai2d,ai2d_test_000095,hf://lmms-lab/ai2d-no-mask/test/000095,95,data/ai2d/raw/images/ai2d_test_000095.png,cached,545,547,
ai2d,ai2d_test_000096,hf://lmms-lab/ai2d-no-mask/test/000096,96,data/ai2d/raw/images/ai2d_test_000096.png,cached,545,547,
ai2d,ai2d_test_000097,hf://lmms-lab/ai2d-no-mask/test/000097,97,data/ai2d/raw/images/ai2d_test_000097.png,cached,545,547,
ai2d,ai2d_test_000098,hf://lmms-lab/ai2d-no-mask/test/000098,98,data/ai2d/raw/images/ai2d_test_000098.png,cached,545,547,
ai2d,ai2d_test_000099,hf://lmms-lab/ai2d-no-mask/test/000099,99,data/ai2d/raw/images/ai2d_test_000099.png,cached,600,478,
ai2d,ai2d_test_000100,hf://lmms-lab/ai2d-no-mask/test/000100,100,data/ai2d/raw/images/ai2d_test_000100.png,cached,600,478,
ai2d,ai2d_test_000101,hf://lmms-lab/ai2d-no-mask/test/000101,101,data/ai2d/raw/images/ai2d_test_000101.png,cached,600,478,
ai2d,ai2d_test_000102,hf://lmms-lab/ai2d-no-mask/test/000102,102,data/ai2d/raw/images/ai2d_test_000102.png,cached,600,478,
ai2d,ai2d_test_000103,hf://lmms-lab/ai2d-no-mask/test/000103,103,data/ai2d/raw/images/ai2d_test_000103.png,cached,627,470,
ai2d,ai2d_test_000104,hf://lmms-lab/ai2d-no-mask/test/000104,104,data/ai2d/raw/images/ai2d_test_000104.png,cached,660,487,
ai2d,ai2d_test_000105,hf://lmms-lab/ai2d-no-mask/test/000105,105,data/ai2d/raw/images/ai2d_test_000105.png,cached,1500,1125,
ai2d,ai2d_test_000106,hf://lmms-lab/ai2d-no-mask/test/000106,106,data/ai2d/raw/images/ai2d_test_000106.png,cached,1500,1125,
ai2d,ai2d_test_000107,hf://lmms-lab/ai2d-no-mask/test/000107,107,data/ai2d/raw/images/ai2d_test_000107.png,cached,623,485,
ai2d,ai2d_test_000108,hf://lmms-lab/ai2d-no-mask/test/000108,108,data/ai2d/raw/images/ai2d_test_000108.png,cached,623,485,
ai2d,ai2d_test_000109,hf://lmms-lab/ai2d-no-mask/test/000109,109,data/ai2d/raw/images/ai2d_test_000109.png,cached,473,355,
ai2d,ai2d_test_000110,hf://lmms-lab/ai2d-no-mask/test/000110,110,data/ai2d/raw/images/ai2d_test_000110.png,cached,473,355,
ai2d,ai2d_test_000111,hf://lmms-lab/ai2d-no-mask/test/000111,111,data/ai2d/raw/images/ai2d_test_000111.png,cached,546,409,
ai2d,ai2d_test_000112,hf://lmms-lab/ai2d-no-mask/test/000112,112,data/ai2d/raw/images/ai2d_test_000112.png,cached,546,409,
ai2d,ai2d_test_000113,hf://lmms-lab/ai2d-no-mask/test/000113,113,data/ai2d/raw/images/ai2d_test_000113.png,cached,546,409,
ai2d,ai2d_test_000114,hf://lmms-lab/ai2d-no-mask/test/000114,114,data/ai2d/raw/images/ai2d_test_000114.png,cached,546,409,
ai2d,ai2d_test_000115,hf://lmms-lab/ai2d-no-mask/test/000115,115,data/ai2d/raw/images/ai2d_test_000115.png,cached,519,304,
ai2d,ai2d_test_000116,hf://lmms-lab/ai2d-no-mask/test/000116,116,data/ai2d/raw/images/ai2d_test_000116.png,cached,519,304,
ai2d,ai2d_test_000117,hf://lmms-lab/ai2d-no-mask/test/000117,117,data/ai2d/raw/images/ai2d_test_000117.png,cached,519,304,
ai2d,ai2d_test_000118,hf://lmms-lab/ai2d-no-mask/test/000118,118,data/ai2d/raw/images/ai2d_test_000118.png,cached,519,304,
ai2d,ai2d_test_000119,hf://lmms-lab/ai2d-no-mask/test/000119,119,data/ai2d/raw/images/ai2d_test_000119.png,cached,644,562,
ai2d,ai2d_test_000120,hf://lmms-lab/ai2d-no-mask/test/000120,120,data/ai2d/raw/images/ai2d_test_000120.png,cached,644,562,
ai2d,ai2d_test_000121,hf://lmms-lab/ai2d-no-mask/test/000121,121,data/ai2d/raw/images/ai2d_test_000121.png,cached,644,562,
ai2d,ai2d_test_000122,hf://lmms-lab/ai2d-no-mask/test/000122,122,data/ai2d/raw/images/ai2d_test_000122.png,cached,644,562,
ai2d,ai2d_test_000123,hf://lmms-lab/ai2d-no-mask/test/000123,123,data/ai2d/raw/images/ai2d_test_000123.png,cached,644,562,
ai2d,ai2d_test_000124,hf://lmms-lab/ai2d-no-mask/test/000124,124,data/ai2d/raw/images/ai2d_test_000124.png,cached,644,562,
ai2d,ai2d_test_000125,hf://lmms-lab/ai2d-no-mask/test/000125,125,data/ai2d/raw/images/ai2d_test_000125.png,cached,644,562,
ai2d,ai2d_test_000126,hf://lmms-lab/ai2d-no-mask/test/000126,126,data/ai2d/raw/images/ai2d_test_000126.png,cached,644,562,
ai2d,ai2d_test_000127,hf://lmms-lab/ai2d-no-mask/test/000127,127,data/ai2d/raw/images/ai2d_test_000127.png,cached,644,562,
ai2d,ai2d_test_000128,hf://lmms-lab/ai2d-no-mask/test/000128,128,data/ai2d/raw/images/ai2d_test_000128.png,cached,644,562,
ai2d,ai2d_test_000129,hf://lmms-lab/ai2d-no-mask/test/000129,129,data/ai2d/raw/images/ai2d_test_000129.png,cached,228,284,
ai2d,ai2d_test_000130,hf://lmms-lab/ai2d-no-mask/test/000130,130,data/ai2d/raw/images/ai2d_test_000130.png,cached,228,284,
ai2d,ai2d_test_000131,hf://lmms-lab/ai2d-no-mask/test/000131,131,data/ai2d/raw/images/ai2d_test_000131.png,cached,228,284,
ai2d,ai2d_test_000132,hf://lmms-lab/ai2d-no-mask/test/000132,132,data/ai2d/raw/images/ai2d_test_000132.png,cached,228,284,
ai2d,ai2d_test_000133,hf://lmms-lab/ai2d-no-mask/test/000133,133,data/ai2d/raw/images/ai2d_test_000133.png,cached,228,284,
ai2d,ai2d_test_000134,hf://lmms-lab/ai2d-no-mask/test/000134,134,data/ai2d/raw/images/ai2d_test_000134.png,cached,228,284,
ai2d,ai2d_test_000135,hf://lmms-lab/ai2d-no-mask/test/000135,135,data/ai2d/raw/images/ai2d_test_000135.png,cached,228,284,
ai2d,ai2d_test_000136,hf://lmms-lab/ai2d-no-mask/test/000136,136,data/ai2d/raw/images/ai2d_test_000136.png,cached,1500,832,
ai2d,ai2d_test_000137,hf://lmms-lab/ai2d-no-mask/test/000137,137,data/ai2d/raw/images/ai2d_test_000137.png,cached,1500,1165,
ai2d,ai2d_test_000138,hf://lmms-lab/ai2d-no-mask/test/000138,138,data/ai2d/raw/images/ai2d_test_000138.png,cached,1500,1165,
ai2d,ai2d_test_000139,hf://lmms-lab/ai2d-no-mask/test/000139,139,data/ai2d/raw/images/ai2d_test_000139.png,cached,1500,1165,
ai2d,ai2d_test_000140,hf://lmms-lab/ai2d-no-mask/test/000140,140,data/ai2d/raw/images/ai2d_test_000140.png,cached,1500,1165,
ai2d,ai2d_test_000141,hf://lmms-lab/ai2d-no-mask/test/000141,141,data/ai2d/raw/images/ai2d_test_000141.png,cached,1500,1165,
ai2d,ai2d_test_000142,hf://lmms-lab/ai2d-no-mask/test/000142,142,data/ai2d/raw/images/ai2d_test_000142.png,cached,1500,1165,
ai2d,ai2d_test_000143,hf://lmms-lab/ai2d-no-mask/test/000143,143,data/ai2d/raw/images/ai2d_test_000143.png,cached,1500,844,
ai2d,ai2d_test_000144,hf://lmms-lab/ai2d-no-mask/test/000144,144,data/ai2d/raw/images/ai2d_test_000144.png,cached,1500,844,
ai2d,ai2d_test_000145,hf://lmms-lab/ai2d-no-mask/test/000145,145,data/ai2d/raw/images/ai2d_test_000145.png,cached,1500,844,
ai2d,ai2d_test_000146,hf://lmms-lab/ai2d-no-mask/test/000146,146,data/ai2d/raw/images/ai2d_test_000146.png,cached,1500,844,
ai2d,ai2d_test_000147,hf://lmms-lab/ai2d-no-mask/test/000147,147,data/ai2d/raw/images/ai2d_test_000147.png,cached,520,292,
ai2d,ai2d_test_000148,hf://lmms-lab/ai2d-no-mask/test/000148,148,data/ai2d/raw/images/ai2d_test_000148.png,cached,520,292,
ai2d,ai2d_test_000149,hf://lmms-lab/ai2d-no-mask/test/000149,149,data/ai2d/raw/images/ai2d_test_000149.png,cached,520,292,
ai2d,ai2d_test_000150,hf://lmms-lab/ai2d-no-mask/test/000150,150,data/ai2d/raw/images/ai2d_test_000150.png,cached,520,292,
ai2d,ai2d_test_000151,hf://lmms-lab/ai2d-no-mask/test/000151,151,data/ai2d/raw/images/ai2d_test_000151.png,cached,298,343,
ai2d,ai2d_test_000152,hf://lmms-lab/ai2d-no-mask/test/000152,152,data/ai2d/raw/images/ai2d_test_000152.png,cached,298,343,
ai2d,ai2d_test_000153,hf://lmms-lab/ai2d-no-mask/test/000153,153,data/ai2d/raw/images/ai2d_test_000153.png,cached,298,343,
ai2d,ai2d_test_000154,hf://lmms-lab/ai2d-no-mask/test/000154,154,data/ai2d/raw/images/ai2d_test_000154.png,cached,1500,1168,
ai2d,ai2d_test_000155,hf://lmms-lab/ai2d-no-mask/test/000155,155,data/ai2d/raw/images/ai2d_test_000155.png,cached,1500,1168,
ai2d,ai2d_test_000156,hf://lmms-lab/ai2d-no-mask/test/000156,156,data/ai2d/raw/images/ai2d_test_000156.png,cached,1500,1168,
ai2d,ai2d_test_000157,hf://lmms-lab/ai2d-no-mask/test/000157,157,data/ai2d/raw/images/ai2d_test_000157.png,cached,1500,1168,
ai2d,ai2d_test_000158,hf://lmms-lab/ai2d-no-mask/test/000158,158,data/ai2d/raw/images/ai2d_test_000158.png,cached,490,293,
ai2d,ai2d_test_000159,hf://lmms-lab/ai2d-no-mask/test/000159,159,data/ai2d/raw/images/ai2d_test_000159.png,cached,490,293,
ai2d,ai2d_test_000160,hf://lmms-lab/ai2d-no-mask/test/000160,160,data/ai2d/raw/images/ai2d_test_000160.png,cached,490,293,
ai2d,ai2d_test_000161,hf://lmms-lab/ai2d-no-mask/test/000161,161,data/ai2d/raw/images/ai2d_test_000161.png,cached,526,293,
ai2d,ai2d_test_000162,hf://lmms-lab/ai2d-no-mask/test/000162,162,data/ai2d/raw/images/ai2d_test_000162.png,cached,487,419,
ai2d,ai2d_test_000163,hf://lmms-lab/ai2d-no-mask/test/000163,163,data/ai2d/raw/images/ai2d_test_000163.png,cached,487,419,
ai2d,ai2d_test_000164,hf://lmms-lab/ai2d-no-mask/test/000164,164,data/ai2d/raw/images/ai2d_test_000164.png,cached,487,419,
ai2d,ai2d_test_000165,hf://lmms-lab/ai2d-no-mask/test/000165,165,data/ai2d/raw/images/ai2d_test_000165.png,cached,487,419,
ai2d,ai2d_test_000166,hf://lmms-lab/ai2d-no-mask/test/000166,166,data/ai2d/raw/images/ai2d_test_000166.png,cached,487,419,
ai2d,ai2d_test_000167,hf://lmms-lab/ai2d-no-mask/test/000167,167,data/ai2d/raw/images/ai2d_test_000167.png,cached,300,167,
ai2d,ai2d_test_000168,hf://lmms-lab/ai2d-no-mask/test/000168,168,data/ai2d/raw/images/ai2d_test_000168.png,cached,300,167,
ai2d,ai2d_test_000169,hf://lmms-lab/ai2d-no-mask/test/000169,169,data/ai2d/raw/images/ai2d_test_000169.png,cached,300,167,
ai2d,ai2d_test_000170,hf://lmms-lab/ai2d-no-mask/test/000170,170,data/ai2d/raw/images/ai2d_test_000170.png,cached,300,167,
ai2d,ai2d_test_000171,hf://lmms-lab/ai2d-no-mask/test/000171,171,data/ai2d/raw/images/ai2d_test_000171.png,cached,300,167,
ai2d,ai2d_test_000172,hf://lmms-lab/ai2d-no-mask/test/000172,172,data/ai2d/raw/images/ai2d_test_000172.png,cached,300,167,
ai2d,ai2d_test_000173,hf://lmms-lab/ai2d-no-mask/test/000173,173,data/ai2d/raw/images/ai2d_test_000173.png,cached,300,167,
ai2d,ai2d_test_000174,hf://lmms-lab/ai2d-no-mask/test/000174,174,data/ai2d/raw/images/ai2d_test_000174.png,cached,300,167,
ai2d,ai2d_test_000175,hf://lmms-lab/ai2d-no-mask/test/000175,175,data/ai2d/raw/images/ai2d_test_000175.png,cached,300,167,
ai2d,ai2d_test_000176,hf://lmms-lab/ai2d-no-mask/test/000176,176,data/ai2d/raw/images/ai2d_test_000176.png,cached,421,281,
ai2d,ai2d_test_000177,hf://lmms-lab/ai2d-no-mask/test/000177,177,data/ai2d/raw/images/ai2d_test_000177.png,cached,421,281,
ai2d,ai2d_test_000178,hf://lmms-lab/ai2d-no-mask/test/000178,178,data/ai2d/raw/images/ai2d_test_000178.png,cached,421,281,
ai2d,ai2d_test_000179,hf://lmms-lab/ai2d-no-mask/test/000179,179,data/ai2d/raw/images/ai2d_test_000179.png,cached,400,353,
ai2d,ai2d_test_000180,hf://lmms-lab/ai2d-no-mask/test/000180,180,data/ai2d/raw/images/ai2d_test_000180.png,cached,400,353,
ai2d,ai2d_test_000181,hf://lmms-lab/ai2d-no-mask/test/000181,181,data/ai2d/raw/images/ai2d_test_000181.png,cached,960,720,
ai2d,ai2d_test_000182,hf://lmms-lab/ai2d-no-mask/test/000182,182,data/ai2d/raw/images/ai2d_test_000182.png,cached,960,720,
ai2d,ai2d_test_000183,hf://lmms-lab/ai2d-no-mask/test/000183,183,data/ai2d/raw/images/ai2d_test_000183.png,cached,400,400,
ai2d,ai2d_test_000184,hf://lmms-lab/ai2d-no-mask/test/000184,184,data/ai2d/raw/images/ai2d_test_000184.png,cached,400,400,
ai2d,ai2d_test_000185,hf://lmms-lab/ai2d-no-mask/test/000185,185,data/ai2d/raw/images/ai2d_test_000185.png,cached,245,297,
ai2d,ai2d_test_000186,hf://lmms-lab/ai2d-no-mask/test/000186,186,data/ai2d/raw/images/ai2d_test_000186.png,cached,245,297,
ai2d,ai2d_test_000187,hf://lmms-lab/ai2d-no-mask/test/000187,187,data/ai2d/raw/images/ai2d_test_000187.png,cached,245,297,
